Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
Наименование Избирательной комиссии:    Белореченская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №699					
1	"Число избирателей, внесенных в списки избирателей"	76010	991	1954	1803	2196	1785	1850	1072	1765	1983	2271	2176	2311	2126	1935	2249	2312	2271	1111	2099	2170	2354	680	730	1667	479	1592	1098	958	567	451	339	539	1035	1016	640	177	281	1360	1427	1219	402	290	782	195	440	124	336	1315	1313	1352	282	617	777	278	198	856	1130	433	348	371	514	404	515	1178	171	193	1643	1132	561	547	274					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76760	950	2000	1850	2100	1750	1950	1000	1700	2050	2150	2050	2350	2350	2050	2200	2200	2200	1000	2050	2050	2250	650	760	1760	500	1690	1070	1020	550	440	360	580	1070	1030	660	175	320	1350	1420	1150	390	290	920	195	440	130	350	1350	1360	1370	270	620	780	270	200	930	1160	450	380	360	450	410	520	1190	220	190	1720	1170	580	950	340					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	60984	908	1916	1708	1099	1550	1803	599	907	1791	1899	1961	2160	1100	1852	2056	2077	1712	552	1738	1657	1780	521	651	962	319	1439	586	910	540	379	215	308	614	658	589	133	145	1228	1319	953	319	250	754	164	288	91	267	1168	1027	1134	169	505	723	233	182	777	1000	404	235	234	346	250	280	805	159	120	1462	1054	496	520	274					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3381	35	38	22	51	28	13	13	29	85	74	45	71	62	34	36	37	100	50	87	97	56	27	60	188	26	105	35	10	0	0	31	18	45	100	51	32	82	66	74	43	29	21	27	5	36	5	66	40	53	88	88	64	51	35	0	46	35	20	23	33	93	27	80	85	12	17	111	75	33	27	0					
6	Число погашенных избирательных бюллетеней	12395	7	46	120	950	172	134	388	764	174	177	44	119	1188	164	108	86	388	398	225	296	414	102	49	610	155	146	449	100	10	61	114	254	411	272	20	10	93	56	27	154	42	19	139	26	116	34	17	142	280	148	13	51	6	2	18	107	125	26	122	93	11	133	160	300	49	53	147	41	51	403	66					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3381	35	38	22	51	28	13	13	29	85	74	45	71	62	34	36	37	100	50	87	97	56	27	60	188	26	105	35	10	0	0	31	18	45	100	51	32	82	66	74	43	29	21	27	5	36	5	66	40	53	88	88	64	51	35	0	46	35	20	23	33	93	27	80	85	12	17	111	75	33	27	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60776	908	1916	1708	1099	1549	1801	599	907	1791	1841	1961	2160	1100	1851	2052	2077	1712	552	1738	1655	1767	506	648	962	319	1439	586	910	540	379	215	308	591	658	589	133	145	1228	1314	953	319	250	754	164	288	91	267	1128	1027	1134	169	505	723	233	182	776	1000	404	235	234	346	250	280	805	159	120	1462	1054	496	480	274					
9	Число недействительных избирательных бюллетеней	883	1	10	16	22	15	3	16	19	21	19	33	38	29	17	23	5	12	14	21	9	34	5	24	3	16	21	11	0	1	2	8	25	0	40	11	1	1	10	14	25	0	2	9	5	11	5	4	23	29	7	6	3	5	2	1	4	15	8	21	6	9	20	19	16	5	7	19	4	9	14	0					
10	Число действительных избирательных бюллетеней	63274	942	1944	1714	1128	1562	1811	596	917	1855	1896	1973	2193	1133	1868	2065	2109	1800	588	1804	1743	1789	528	684	1147	329	1523	610	920	539	377	238	301	636	718	629	164	226	1284	1374	971	348	269	772	164	313	91	329	1145	1051	1215	251	566	769	266	181	818	1020	416	237	261	430	257	341	874	166	130	1554	1125	520	493	274					
