Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Иланская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №2197					
1	"Число избирателей, внесенных в списки избирателей"	17523	1226	1483	976	1207	968	877	2330	983	590	355	129	60	555	204	160	290	62	78	50	390	56	67	402	132	109	88	205	653	49	95	50	53	935	166	308	147	326	709					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19161	1360	1600	1160	1270	1100	930	2500	1100	670	400	145	60	630	220	190	300	65	80	50	400	60	80	430	140	110	100	220	710	50	100	50	60	1040	180	310	160	335	796					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10909	626	835	571	578	521	353	1517	454	329	257	86	49	443	168	120	222	62	78	50	246	52	67	339	111	90	79	149	411	49	77	34	44	659	130	248	118	299	388					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1239	49	29	65	70	33	47	213	66	67	37	20	6	27	13	31	7	0	0	0	48	4	0	10	7	10	0	19	116	0	12	16	9	38	4	31	13	3	119					
6	Число погашенных избирательных бюллетеней	7013	685	736	524	622	546	530	770	580	274	106	39	5	160	39	39	71	3	2	0	106	4	13	81	22	10	21	52	183	1	11	0	7	343	46	31	29	33	289					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1239	49	29	65	70	33	47	213	66	67	37	20	6	27	13	31	7	0	0	0	48	4	0	10	7	10	0	19	116	0	12	16	9	38	4	31	13	3	119					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10909	626	835	571	578	521	353	1517	454	329	257	86	49	443	168	120	222	62	78	50	246	52	67	339	111	90	79	149	411	49	77	34	44	659	130	248	118	299	388					
9	Число недействительных избирательных бюллетеней	106	7	6	2	4	11	2	14	6	10	5	0	1	14	1	1	0	1	1	0	2	2	1	0	2	0	0	0	0	0	5	0	0	4	0	2	0	1	1					
10	Число действительных избирательных бюллетеней	12042	668	858	634	644	543	398	1716	514	386	289	106	54	456	180	150	229	61	77	50	292	54	66	349	116	100	79	168	527	49	84	50	53	693	134	277	131	301	506					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	326	15	16	15	15	10	10	30	7	4	6	4	5	10	5	5	8	5	3	3	8	5	5	12	5	5	5	10	18	3	5	3	3	25	10	10	5	5	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	326	15	16	15	15	10	10	30	7	4	6	4	5	10	5	5	8	5	3	3	8	5	5	12	5	5	5	10	18	3	5	3	3	25	10	10	5	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	93	5	6	4	5	2	2	13	0	2	4	0	0	4	2	2	2	0	0	0	3	2	2	0	1	0	0	2	6	4	1	3	3	3	0	3	0	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	0	4	2	2	1	2	2	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	1.Политическая партия «Аграрная партия России»	338	15	11	14	12	10	12	35	10	4	9	6	0	35	1	6	8	2	4	2	5	2	3	41	17	4	6	4	22	1	9	0	1	10	3	1	0	2	11					
		2.78%	2.22%	1.27%	2.20%	1.85%	1.81%	3.00%	2.02%	1.92%	1.01%	3.06%	5.66%	0.00%	7.45%	0.55%	3.97%	3.49%	3.23%	5.13%	4.00%	1.70%	3.57%	4.48%	11.75%	14.41%	4.00%	7.59%	2.38%	4.17%	2.04%	10.11%	0.00%	1.89%	1.43%	2.24%	0.36%	0.00%	0.66%	2.17%					
