Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
"Наименование Избирательной комиссии:    г. Ростов-на-Дону, Ленинская "																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665					
1	"Число избирателей, внесенных в списки"	53203	1665	1958	1694	1589	2000	1763	2151	2000	1996	1710	1628	2308	2248	2490	2080	2647	2441	2243	2595	2292	2054	2355	2200	2325	2528	243					
2	"Число бюллетеней, полученных участковыми комиссиями"	49810	1600	1800	1600	1400	1900	1600	1900	1900	1800	1500	1700	2300	2200	2300	1900	2500	2300	2100	2500	2100	1900	2200	2100	2200	2300	210					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24414	859	938	708	717	798	828	1176	856	843	762	889	1149	1298	1313	813	1175	940	1357	1106	990	876	803	1003	998	1126	93					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4151	86	127	216	188	199	140	132	174	124	225	220	107	56	80	242	292	262	154	213	140	216	148	180	112	73	45					
6	Число погашенных бюллетеней	21245	655	735	676	495	903	632	592	870	833	513	591	1044	846	907	845	1033	1098	589	1181	970	808	1249	917	1090	1101	72					
7	Число бюллетеней в переносных ящиках для голосования	4143	86	127	216	188	191	140	132	174	124	225	220	107	56	80	242	292	262	154	213	140	216	148	180	112	73	45					
8	Число бюллетеней в стационарных ящиках для голосования	24164	859	933	706	716	798	828	1176	856	843	762	888	1149	1298	1233	813	1175	940	1203	1106	990	876	803	1003	991	1126	93					
9	Число недействительных бюллетеней	218	5	1	4	11	10	10	7	17	7	6	0	8	15	8	4	8	14	10	3	17	15	2	18	16	2	0					
10	Число действительных бюллетеней	28089	940	1059	918	893	979	958	1301	1013	960	981	1108	1248	1339	1305	1051	1459	1188	1347	1316	1113	1077	949	1165	1087	1197	138					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1494	59	59	59	60	59	59	60	60	59	60	60	59	59	60	60	60	60	59	59	60	60	60	60	59	59	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	704	29	28	24	21	29	28	25	20	31	18	32	59	38	43	25	58	32	27	23	12	13	17	19	18	35	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	506	17	25	17	46	25	48	14	8	32	42	80	8	6	9	15	16	16	6	0	11	19	16	5	11	5	9					
14	Число погашенных открепительных удостоверений	790	30	31	35	39	30	31	35	40	28	42	28	0	21	17	35	2	28	32	36	48	47	43	41	41	24	6					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
