Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																			
Дата голосования: 04.12.2011																			
																			
Наименование Избирательной комиссии:    Галичская городская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136					
1	"Число избирателей, внесенных в список избирателей"	14346	1272	992	1604	1464	953	913	1362	1427	668	1604	1443	644					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13000	1100	900	1500	1400	900	850	1200	1300	600	1400	1300	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8341	658	643	995	976	546	479	847	782	354	838	829	394					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	940	155	48	67	54	53	60	151	98	31	134	61	28					
6	Число погашенных избирательных бюллетеней	3719	287	209	438	370	301	311	202	420	215	428	410	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	940	155	48	67	54	53	60	151	98	31	134	61	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8341	658	643	995	976	546	479	847	782	354	838	829	394					
9	Число недействительных избирательных бюллетеней	141	7	15	13	13	9	10	22	9	4	16	15	8					
10	Число действительных избирательных бюллетеней	9140	806	676	1049	1017	590	529	976	871	381	956	875	414					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	6	25	18	13	35	10	20	15	10	15	25	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	151	3	14	18	10	21	8	15	15	7	13	23	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	122	15	10	5	13	3	20	7	10	4	20	11	4					
14	Число погашенных неиспользованных открепительных удостоверений	45	3	11	0	3	14	2	5	0	3	2	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	1	7	2	1	3	2	1	1	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1525	158	112	170	169	87	79	174	153	64	171	126	62					
		16.43%	19.43%	16.21%	16.01%	16.41%	14.52%	14.66%	17.43%	17.39%	16.62%	17.59%	14.16%	14.69%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	210	34	10	11	5	17	21	5	13	18	50	25	1					
		2.26%	4.18%	1.45%	1.04%	0.49%	2.84%	3.90%	0.50%	1.48%	4.68%	5.14%	2.81%	0.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3	1	2	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.12%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2666	171	168	356	363	168	132	334	245	103	228	254	144					
		28.73%	21.03%	24.31%	33.52%	35.24%	28.05%	24.49%	33.47%	27.84%	26.75%	23.46%	28.54%	34.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	19	1	6	1	0	2	2	2	0	1	3	1	0					
		0.20%	0.12%	0.87%	0.09%	0.00%	0.33%	0.37%	0.20%	0.00%	0.26%	0.31%	0.11%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4715	441	376	511	480	316	295	461	460	195	504	469	207					
		50.80%	54.24%	54.41%	48.12%	46.60%	52.75%	54.73%	46.19%	52.27%	50.65%	51.85%	52.70%	49.05%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	2	0	2	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
