Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    ТИК Индустриального района г.Перми																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965					
1	"Число избирателей, внесенных в списки избирателей"	125560	1688	1678	1768	1919	1696	2088	1952	1634	2542	2428	2149	2508	2015	2114	2035	1310	1911	2072	1044	1879	2345	2375	2623	2164	2103	2074	1816	1735	1550	1413	1304	1855	1050	1947	1365	1320	2305	2622	2855	2695	2491	2345	2457	2705	2286	2283	2438	2592	1314	2087	2342	2295	1418	1607	2349	2590	1900	1733	1851	667	2296	1663	542	641	722					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	122750	1600	1600	1700	1900	1600	2000	1900	1600	2500	2400	2100	2500	2000	2100	2000	1300	1900	2000	1000	1800	2300	2300	2300	2100	2100	2000	1800	1700	1400	1400	1300	1800	1000	1900	1300	1300	2300	2600	2800	2700	2500	2300	2500	2700	2200	2200	2400	2500	1300	2100	2300	2200	1400	1600	2400	2600	1900	1600	1800	500	2300	1600	600	600	750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	64144	800	847	960	955	890	1171	1109	776	1416	1217	1105	1401	1108	1107	994	689	813	1076	538	959	1208	1300	1195	1099	945	1052	878	883	715	661	651	883	543	961	681	684	1089	1378	1576	1526	1266	1197	1248	1524	1147	1169	1228	1350	684	1076	1123	1219	689	779	1194	1178	657	740	730	295	1334	966	449	341	722					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1897	28	17	33	40	24	29	22	41	15	50	27	34	23	18	13	10	5	25	19	26	38	35	56	23	16	30	30	40	29	33	37	29	23	24	20	24	34	17	17	25	13	22	42	26	33	38	26	40	26	34	33	18	12	33	18	34	43	15	22	14	24	21	17	214	0					
6	Число погашенных избирательных бюллетеней	56708	772	736	707	905	686	800	769	783	1069	1133	968	1065	869	975	993	601	1082	899	443	815	1054	965	1049	978	1139	918	892	777	655	706	612	888	434	915	599	592	1177	1205	1207	1149	1221	1081	1210	1150	1020	993	1146	1110	590	990	1144	963	699	788	1188	1388	1200	845	1048	191	942	613	134	45	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1897	28	17	33	40	24	29	22	41	15	50	27	34	23	18	13	10	5	25	19	26	38	35	56	23	16	30	30	40	29	33	37	29	23	24	20	24	34	17	17	25	13	22	42	26	33	38	26	40	26	34	33	18	12	33	18	34	43	15	22	14	24	21	17	214	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	64092	800	846	958	955	887	1161	1107	776	1413	1217	1105	1399	1108	1107	994	689	813	1075	538	959	1204	1297	1195	1097	944	1052	878	883	715	660	651	883	543	958	681	683	1089	1378	1576	1526	1265	1196	1248	1524	1147	1169	1228	1350	684	1076	1122	1218	689	779	1189	1175	657	740	730	295	1334	965	449	341	722					
9	Число недействительных избирательных бюллетеней	720	9	7	8	16	13	14	5	7	18	14	21	10	20	11	8	7	13	13	6	9	16	14	11	11	16	13	6	1	16	6	6	13	12	8	15	9	11	11	14	29	20	10	9	28	12	17	15	16	10	10	11	5	9	10	0	13	12	4	6	3	12	7	5	3	6					
10	Число действительных избирательных бюллетеней	65269	819	856	983	979	898	1176	1124	810	1410	1253	1111	1423	1111	1114	999	692	805	1087	551	976	1226	1318	1240	1109	944	1069	902	922	728	687	682	899	554	974	686	698	1112	1384	1579	1522	1258	1208	1281	1522	1168	1190	1239	1374	700	1100	1144	1231	692	802	1207	1196	688	751	746	306	1346	979	461	552	716					
