Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Калачинская																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296					
1	"Число избирателей, внесенных в список"	34792	1444	349	162	111	192	1149	161	98	607	176	106	501	136	67	385	228	1001	362	74	66	552	245	525	49	77	986	143	356	204	1220	570	534	74	582	149	250	386	707	88	585	1058	1032	1203	1241	658	1166	674	1040	1068	1050	1252	1265	1262	1353	979	1389	1279	166					
2	Число полученных избирательных бюллетеней	34088	1300	375	169	116	212	1100	175	103	649	191	106	516	140	69	429	230	1000	384	73	61	579	254	563	58	76	1000	157	370	216	1150	600	595	78	640	173	265	397	700	94	600	1000	1000	1100	1200	700	1100	700	1000	1100	1000	1150	1150	1150	1200	1000	1200	1200	175					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22277	839	233	118	56	131	797	119	96	445	150	93	352	54	52	248	168	669	314	73	53	432	198	383	43	57	647	106	233	153	822	454	369	62	443	144	208	325	542	78	382	680	614	644	738	420	671	413	569	662	620	737	742	777	717	604	794	679	55					
5	"Число избирательных бюллетеней, выданных вне помещения"	2296	84	41	23	30	23	116	14	1	55	0	4	55	74	15	22	14	153	20	0	6	55	28	63	5	11	100	26	24	18	64	41	58	12	61	5	23	39	34	10	38	64	76	40	33	19	34	32	42	19	55	32	30	58	56	41	43	46	111					
6	Число погашенных избирательных бюллетеней	9515	377	101	28	30	58	187	42	6	149	41	9	109	12	2	159	48	178	50	0	2	92	28	117	10	8	253	25	113	45	264	105	168	4	136	24	34	33	124	6	180	256	310	416	429	261	395	255	389	419	325	381	378	315	427	355	363	475	9					
7	Число избирательных бюллетеней в переносных ящиках	2296	84	41	23	30	23	116	14	1	55	0	4	55	74	15	22	14	153	20	0	6	55	28	63	5	11	100	26	24	18	64	41	58	12	61	5	23	39	34	10	38	64	76	40	33	19	34	32	42	19	55	32	30	58	56	41	43	46	111					
8	Число бюллетеней в стационарных ящиках для голосования	22275	839	233	118	56	131	797	119	96	445	150	93	352	54	52	248	168	669	314	73	53	432	198	383	43	57	647	106	233	153	822	454	369	62	443	144	208	325	542	78	382	680	612	644	738	420	671	413	569	662	620	737	742	777	717	604	794	679	55					
9	Число недействительных избирательных бюллетеней	141	7	0	2	1	1	3	0	0	7	0	0	0	0	1	0	2	7	1	2	1	5	0	5	0	2	9	0	1	1	3	6	8	1	8	0	0	3	3	0	4	3	7	3	0	0	2	3	1	1	7	0	6	0	1	4	4	5	0					
10	Число действительных избирательных бюллетеней	24430	916	274	139	85	153	910	133	97	493	150	97	407	128	66	270	180	815	333	71	58	482	226	441	48	66	738	132	256	170	883	489	419	73	496	149	231	361	573	88	416	741	681	681	771	439	703	442	610	680	668	769	766	835	772	641	833	720	166					
11	Число полученных открепительных  удостоверений	754	20	10	5	5	10	20	5	5	20	10	5	20	5	5	10	10	20	10	5	5	10	10	10	5	5	20	5	10	10	20	10	14	5	10	10	10	10	10	5	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	0					
