Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Бузулукская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356					
1	"Число избирателей, внесенных в список избирателей"	27341	516	402	585	87	158	417	345	125	344	151	1074	548	619	409	129	1686	734	166	969	358	100	506	556	161	585	628	1436	437	369	352	176	1609	432	755	212	579	731	562	508	1089	286	429	462	631	1599	1419	646	155	109					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27464	519	404	585	90	159	416	348	128	344	148	1075	558	626	414	128	1695	736	167	981	364	98	506	562	160	588	630	1435	444	370	358	176	1610	433	738	212	579	739	559	523	1102	286	431	464	634	1609	1419	640	160	114					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11894	221	75	264	38	84	205	143	53	201	66	498	279	216	180	55	684	225	79	378	142	69	263	313	53	238	272	641	161	141	180	84	738	157	336	60	263	352	289	287	422	118	254	231	285	607	471	317	104	102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2424	50	172	74	22	18	65	58	37	18	28	56	74	64	69	27	70	35	15	58	79	15	50	21	4	68	145	20	17	20	27	21	68	28	23	48	101	46	38	85	127	32	21	60	64	79	79	22	6	0					
6	Число погашенных избирательных бюллетеней	13146	248	157	247	30	57	146	147	38	125	54	521	205	346	165	46	941	476	73	545	143	14	193	228	103	282	213	774	266	209	151	71	804	248	379	104	215	341	232	151	553	136	156	173	285	923	869	301	50	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2424	50	172	74	22	18	65	58	37	18	28	56	74	64	69	27	70	35	15	58	79	15	50	21	4	68	145	20	17	20	27	21	68	28	23	48	101	46	38	85	127	32	21	60	64	79	79	22	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11894	221	75	264	38	84	205	143	53	201	66	498	279	216	180	55	684	225	79	378	142	69	263	313	53	238	272	641	161	141	180	84	738	157	336	60	263	352	289	287	422	118	254	231	285	607	471	317	104	102					
9	Число недействительных избирательных бюллетеней	174	1	2	2	0	1	4	1	1	0	0	10	8	7	1	0	9	5	0	4	3	1	2	8	0	2	1	8	0	0	2	0	18	2	5	0	3	2	4	5	8	2	2	5	8	18	3	4	0	2					
10	Число действительных избирательных бюллетеней	14144	270	245	336	60	101	266	200	89	219	94	544	345	273	248	82	745	255	94	432	218	83	311	326	57	304	416	653	178	161	205	105	788	183	354	108	361	396	323	367	541	148	273	286	341	668	547	335	110	100					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	244	3	6	3	3	3	5	4	2	3	2	6	9	4	3	2	10	1	2	6	4	1	5	6	3	3	5	11	6	3	8	3	5	5	7	1	6	6	3	12	11	2	10	5	4	15	10	4	2	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	235	3	6	3	3	3	5	4	2	3	2	6	9	4	3	2	10	1	2	6	4	1	5	6	3	3	5	11	6	3	8	3	5	5	7	1	6	6	3	12	11	2	6	5	4	14	6	4	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	145	1	4	4	1	2	4	4	0	0	3	7	0	2	0	4	6	1	1	4	0	3	2	5	2	6	3	7	2	4	1	1	4	3	6	1	5	2	6	1	7	4	1	2	3	5	8	3	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	4	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
