Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Бузулукская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356					
1	"Число избирателей, внесенных в списки избирателей"	26637	533	392	536	104	155	424	360	134	291	140	1013	529	603	408	131	1695	734	165	962	370	94	482	575	140	613	655	1209	423	352	262	168	1509	419	736	203	577	691	575	510	978	269	400	433	613	1685	1417	665	158	147					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25846	530	375	520	100	140	410	350	130	270	130	925	520	535	390	120	1670	725	160	960	360	90	470	550	140	610	635	1160	400	315	340	160	1480	400	710	180	560	670	560	510	960	260	380	410	605	1660	1380	650	151	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12914	333	93	286	36	76	201	173	66	200	72	449	272	268	210	69	796	227	87	350	174	81	262	333	79	255	242	556	231	180	251	108	779	172	337	75	215	333	297	304	402	116	231	249	292	950	517	400	99	130					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1958	37	162	67	27	23	67	65	34	19	19	24	82	62	55	20	40	50	11	57	84	0	25	12	5	61	153	5	9	9	11	14	80	32	25	41	67	11	12	24	82	24	20	31	53	64	56	21	6	0					
6	Число погашенных избирательных бюллетеней	10974	160	120	167	37	41	142	112	30	51	39	452	166	205	125	31	834	448	62	553	102	9	183	205	56	294	240	599	160	126	78	38	621	196	348	64	278	326	251	182	476	120	129	130	260	646	807	229	46	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1958	37	162	67	27	23	67	65	34	19	19	24	82	62	55	20	40	50	11	57	84	0	25	12	5	61	153	5	9	9	11	14	80	32	25	41	67	11	12	24	82	24	20	31	53	64	56	21	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12913	333	93	286	36	76	201	173	66	200	72	449	272	268	210	69	796	227	87	350	174	81	262	333	79	255	242	556	231	180	251	108	779	172	337	75	215	333	297	304	402	116	231	249	292	950	517	399	99	130					
9	Число недействительных избирательных бюллетеней	122	4	3	5	0	0	2	1	0	1	0	1	4	3	4	0	8	4	1	6	3	3	6	3	0	2	1	5	6	4	4	1	7	1	1	2	2	2	2	0	5	0	0	1	3	7	3	1	0	0					
10	Число действительных избирательных бюллетеней	14749	366	252	348	63	99	266	237	100	218	91	472	350	327	261	89	828	273	97	401	255	78	281	342	84	314	394	556	234	185	258	121	852	203	361	114	280	342	307	328	479	140	251	279	342	1007	570	419	105	130					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	150	2	3	3	2	2	2	2	2	3	2	4	4	3	3	2	3	4	1	3	3	2	4	2	2	4	4	10	1	1	4	1	4	4	4	2	4	4	4	4	3	2	4	4	4	6	2	3	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	70	0	3	0	0	0	1	1	0	3	0	4	2	0	1	0	3	4	0	2	3	0	0	2	0	4	1	10	0	0	4	0	4	1	0	0	2	2	2	0	1	0	0	0	0	6	2	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	70	0	3	2	0	0	2	1	0	2	1	3	1	5	5	1	1	1	0	3	0	0	3	5	0	1	1	0	0	1	4	0	3	0	0	2	0	0	0	0	3	1	0	0	0	6	3	1	0	5					
14	Число погашенных неиспользованных открепительных удостоверений	80	2	0	3	2	2	1	1	2	0	2	0	2	3	2	2	0	0	1	1	0	2	4	0	2	0	3	0	1	1	0	1	0	3	4	2	2	2	2	4	2	2	4	4	4	0	0	1	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
