Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Ершовская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32075	1187	1496	1072	865	1231	1200	1099	1396	1336	1055	1160	1156	898	1370	622	404	211	271	467	275	211	773	417	278	242	185	372	204	144	268	329	401	507	325	335	209	640	929	259	207	604	284	602	385	539	439	451	752	365	723	542	383									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33150	1300	1500	1100	900	1200	1100	1200	1300	1300	1200	1300	1100	900	1300	1000	400	200	250	450	300	250	900	400	250	250	200	450	250	150	300	300	450	500	300	300	400	600	1000	300	200	700	300	700	350	500	400	450	800	350	700	500	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15537	542	614	404	363	576	431	518	555	597	705	631	416	315	490	514	224	120	138	277	142	114	415	226	177	130	101	222	158	135	175	225	232	185	129	143	173	301	700	162	126	310	140	325	221	149	286	214	308	220	232	183	148									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2056	44	122	42	58	60	32	36	79	35	27	51	20	51	42	108	16	8	25	25	9	30	33	0	15	40	20	46	16	6	31	2	32	24	52	20	36	61	98	27	26	24	28	29	39	73	0	0	71	87	74	70	56									
6	Число погашенных избирательных бюллетеней	15557	714	764	654	479	564	637	646	666	668	468	618	664	534	768	378	160	72	87	148	149	106	452	174	58	80	79	182	76	9	94	73	186	291	119	137	191	238	202	111	48	366	132	346	90	278	114	236	421	43	394	247	146									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2054	44	122	42	58	60	31	36	79	35	27	51	20	51	41	108	16	8	25	25	9	30	33	0	15	40	20	46	16	6	31	2	32	24	52	20	36	61	98	27	26	24	28	29	39	73	0	0	71	87	74	70	56									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15530	542	614	404	363	576	430	518	555	597	705	628	416	315	488	514	224	120	138	277	142	114	415	226	177	130	101	222	158	135	175	225	232	185	129	143	173	301	700	161	126	310	140	325	221	149	286	214	308	220	232	183	148									
9	Число недействительных избирательных бюллетеней	168	12	2	5	3	9	6	5	7	8	11	3	8	1	5	6	2	1	1	1	0	3	3	5	0	1	0	1	0	0	0	3	2	3	0	0	0	4	1	0	0	0	9	1	0	9	5	6	8	0	5	2	1									
10	Число действительных избирательных бюллетеней	17416	574	734	441	418	627	455	549	627	624	721	676	428	365	524	616	238	127	162	301	151	141	445	221	192	169	121	267	174	141	206	224	262	206	181	163	209	358	797	188	152	334	159	353	260	213	281	208	371	307	301	251	203									
