Выборы Президента Российской Федерации																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Щелковская																																																																																																			
																																																																																																			
Итоги голосования 																																																																																																			
																																																																																																			
		Сумма	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172					
1	"Число избирателей, внесенных в список"	160310	2144	2549	2631	1407	2440	2229	1737	2109	2775	1980	2238	2021	2245	827	2606	1739	1966	1682	1583	1776	1714	2075	2624	1985	2976	2057	1583	1603	2450	2870	559	586	254	2141	2265	2295	3157	2776	2621	2427	2730	2608	2830	2222	2803	662	458	340	2803	3904	2934	3076	1662	2459	1598	1659	2060	1539	2228	2451	1215	2438	1722	2397	1373	947	1717	1774	1664	913	370	387	1680	606	609	459	2067	829	1660	2719	434	1362	275	509	542	475	367	335	890	2178	244	425					
2	Число полученных избирательных бюллетеней	155167	2114	2436	2234	1374	2246	2181	1715	2108	2740	1956	2249	2053	2275	816	2531	1738	1960	1647	1608	1773	1559	2075	2594	1955	2792	2087	1608	1482	2450	2719	529	601	235	2191	2273	2327	2800	2700	2611	2427	2709	2639	2755	2238	2722	603	416	311	2110	2750	2745	2538	1810	2326	1257	1735	2050	1415	2299	2451	1212	2459	1788	2411	1406	925	1635	1832	1527	877	374	406	1717	622	637	426	2056	805	1914	2514	414	1315	253	474	562	501	358	348	840	2160	261	490					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	88832	1249	1460	1779	718	1151	1314	909	1224	1614	1058	1235	1117	1295	388	1432	1027	940	826	852	998	843	1064	1454	1064	1631	1166	833	829	1416	1461	219	298	124	1091	1384	1394	2052	1665	1463	1269	1473	1480	1532	1412	1712	320	230	165	1713	2722	1607	1585	930	1405	1094	992	1127	802	1080	1288	597	1216	927	1171	784	443	965	989	725	530	227	171	820	341	279	206	1136	429	931	1725	221	692	142	288	245	266	225	176	503	1040	133	314					
5	"Число избирательных бюллетеней, выданных вне помещения"	3407	13	21	7	9	45	26	16	9	16	22	38	26	24	11	19	14	42	43	29	29	132	53	35	37	32	10	31	97	24	37	69	33	0	28	24	30	22	9	19	144	18	24	37	16	19	38	54	25	30	28	35	33	12	11	20	11	20	62	43	55	42	37	27	23	14	21	54	18	84	20	16	104	39	23	80	69	73	41	22	16	54	147	64	44	62	11	63	42	28	42	111	0					
6	Число погашенных избирательных бюллетеней	62883	852	955	448	647	1050	841	790	875	1107	876	976	910	956	417	1080	697	978	778	727	746	582	958	1105	854	1129	911	744	556	1010	1221	241	270	111	1072	865	903	707	1026	1129	1014	1218	1135	1186	810	991	245	132	121	355	0	1103	920	868	910	143	732	903	551	1176	1108	573	1206	834	1217	608	461	616	825	718	327	131	131	856	258	278	151	840	335	961	773	139	476	47	142	255	224	70	130	309	1078	17	176					
7	Число избирательных бюллетеней в переносных ящиках	3407	13	21	7	9	45	26	16	9	16	22	38	26	24	11	19	14	42	43	29	29	132	53	35	37	32	10	31	97	24	37	69	33	0	28	24	30	22	9	19	144	18	24	37	16	19	38	54	25	30	28	35	33	12	11	20	11	20	62	43	55	42	37	27	23	14	21	54	18	84	20	16	104	39	23	80	69	73	41	22	16	54	147	64	44	62	11	63	42	28	42	111	0					
8	Число бюллетеней в стационарных ящиках для голосования	88567	1237	1446	1778	718	1143	1314	905	1224	1614	1055	1235	1088	1295	388	1431	1027	937	826	851	998	838	1064	1454	1064	1631	1164	833	829	1416	1459	219	298	124	1089	1378	1376	2052	1662	1458	1269	1467	1456	1495	1406	1712	319	229	165	1708	2714	1600	1584	930	1388	1074	992	1125	802	1080	1288	597	1216	927	1171	784	443	965	989	722	530	227	171	816	341	279	206	1135	428	931	1725	221	692	142	288	245	266	225	176	503	1038	133	314					
9	Число недействительных избирательных бюллетеней	826	9	14	6	5	15	3	6	7	10	14	15	10	7	9	10	11	3	6	10	13	4	10	9	8	4	8	23	9	11	16	2	6	0	4	1	7	0	6	5	5	10	12	25	6	6	4	0	2	7	14	5	23	2	3	6	9	11	17	19	22	6	37	16	15	15	3	16	13	14	9	5	3	12	9	0	3	20	4	17	9	0	19	0	11	1	6	6	3	5	19	6	0					
10	Число действительных избирательных бюллетеней	91148	1241	1453	1779	722	1173	1337	915	1226	1620	1063	1258	1104	1312	390	1440	1030	976	863	870	1014	966	1107	1480	1093	1659	1166	841	917	1429	1480	286	325	124	1113	1401	1399	2074	1665	1472	1408	1475	1468	1507	1416	1725	353	283	188	1731	2728	1630	1594	940	1396	1088	994	1134	847	1104	1321	633	1216	938	1179	783	461	1003	994	792	541	238	272	843	355	359	272	1188	465	936	1732	275	820	206	321	306	271	282	215	526	1061	238	314					
