Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва											
Дата голосования: 07.12.2003 0:00:00											
											
Наименование Избирательной комиссии:    Заозерская											
											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)											
											
		Сумма	УИК  180	УИК  181	УИК  182	УИК  183					
1	"Число избирателей, внесенных в списки"	9618	2256	2885	2245	2232					
2	"Число бюллетеней, полученных участковыми комиссиями"	8800	2100	2500	2100	2100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	28	0	28	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4624	1025	1548	1032	1019					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	87	4	72	5	6					
6	Число погашенных бюллетеней	4061	1071	852	1063	1075					
7	Число бюллетеней в переносных ящиках для голосования	115	4	100	5	6					
8	Число бюллетеней в стационарных ящиках для голосования	4633	1025	1558	1031	1019					
9	Число недействительных бюллетеней	6	2	1	1	2					
10	Число действительных бюллетеней	4742	1027	1657	1035	1023					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	234	30	104	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	188	22	88	45	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	8	30	15	16					
14	Число погашенных открепительных удостоверений	46	8	16	5	17					
15	Число открепительных удостоверений выданных ТИК	146	15	62	28	41					
16	Число утраченных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0					
											
18	"1. ""ЕДИНЕНИЕ"""	61	16	27	10	8					
		1.28%	1.55%	1.62%	0.96%	0.78%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	95	13	37	25	20					
		2.00%	1.26%	2.23%	2.41%	1.95%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	102	20	36	21	25					
		2.14%	1.94%	2.17%	2.02%	2.43%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	133	25	56	28	24					
		2.80%	2.42%	3.37%	2.70%	2.34%					
22	"5. ""За Русь Святую"""	11	1	7	2	1					
		0.23%	0.09%	0.42%	0.19%	0.09%					
23	"6. ""Объединенная Российская партия ""Русь"""	7	2	3	1	1					
		0.14%	0.19%	0.18%	0.09%	0.09%					
24	"7. ""Новый курс - Автомобильная Россия"""	44	11	17	8	8					
		0.92%	1.06%	1.02%	0.77%	0.78%					
25	"8. ""Народно-республиканская партия России"""	11	3	4	2	2					
		0.23%	0.29%	0.24%	0.19%	0.19%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	5	12	8	2					
		0.56%	0.48%	0.72%	0.77%	0.19%					
27	"10. ""Аграрная партия России"""	41	5	10	11	15					
		0.86%	0.48%	0.60%	1.06%	1.46%					
28	"11. ""Истинные патриоты России"""	10	2	8	0	0					
		0.21%	0.19%	0.48%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	76	29	17	14	16					
		1.60%	2.81%	1.02%	1.35%	1.56%					
30	"13. ""Демократическая партия России"""	14	3	8	2	1					
		0.29%	0.29%	0.48%	0.19%	0.09%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	0	4	0	2					
		0.12%	0.0%	0.24%	0.0%	0.19%					
32	"15. ""Партия СЛОН"""	3	0	3	0	0					
		0.06%	0.0%	0.18%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	358	74	117	84	83					
		7.54%	7.19%	7.05%	8.10%	8.09%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	0	8	3	2					
		0.27%	0.0%	0.48%	0.28%	0.19%					
35	"18. ""ЛДПР"""	1225	236	473	263	253					
		25.80%	22.93%	28.52%	25.38%	24.68%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	34	8	14	6	6					
		0.71%	0.77%	0.84%	0.57%	0.58%					
37	"20. ""Политическая партия ""Единая Россия"""	1946	461	597	437	451					
		40.98%	44.80%	36.00%	42.18%	44.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	2	0	1	0	1					
		0.04%	0.0%	0.06%	0.0%	0.09%					
39	"22. ""Развитие предпринимательства"""	15	2	5	6	2					
		0.31%	0.19%	0.30%	0.57%	0.19%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	199	42	60	45	52					
		4.19%	4.08%	3.61%	4.34%	5.07%					
											
41	Против всех	309	69	133	59	48					
		6.50%	6.70%	8.02%	5.69%	4.68%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
