Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Михайловская городская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44823	1786	1847	2235	1860	1827	1056	1385	2600	2395	1086	1078	1292	1029	863	1353	2308	1744	1681	1485	2245	1787	2506	1224	1294	2531	2326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44550	1800	1800	2200	1800	1800	1100	1300	2500	2500	1200	1100	1200	1100	850	1350	2300	1800	1700	1500	2250	1800	2500	1200	1200	2400	2300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16734	723	749	893	717	659	431	484	933	825	403	379	433	380	306	459	801	665	710	629	928	736	866	388	433	967	837									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	861	32	21	16	54	82	20	23	36	35	28	27	33	55	33	8	42	29	29	9	10	10	71	21	54	38	45									
6	Число погашенных избирательных бюллетеней	26955	1045	1030	1291	1029	1059	649	793	1531	1640	769	694	734	665	511	883	1457	1106	961	862	1312	1054	1563	791	713	1395	1418									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	860	32	21	16	54	81	20	23	36	35	28	27	33	55	33	8	42	29	29	9	10	10	71	21	54	38	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16734	723	749	893	717	659	431	484	933	825	403	379	433	380	306	459	801	665	710	629	928	736	866	388	433	967	837									
9	Число недействительных избирательных бюллетеней	298	9	12	8	11	14	11	10	19	22	11	7	13	6	4	8	14	11	12	13	11	7	10	9	9	19	18									
10	Число действительных избирательных бюллетеней	17296	746	758	901	760	726	440	497	950	838	420	399	453	429	335	459	829	683	727	625	927	739	927	400	478	986	864									
