Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Сапожковская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504					
1	"Число избирателей, внесенных в список избирателей"	9186	1154	678	911	458	678	894	1114	247	213	230	151	358	174	123	184	202	231	273	82	607	224					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8988	1134	661	874	449	668	884	1110	243	207	227	148	345	174	123	177	193	226	269	80	591	205					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3918	547	313	411	195	281	345	487	120	90	63	71	176	69	49	48	85	89	143	37	208	91					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1060	62	52	76	54	63	103	88	47	35	42	24	34	27	18	64	48	44	29	13	105	32					
6	Число погашенных избирательных бюллетеней	4010	525	296	387	200	324	436	535	76	82	122	53	135	78	56	65	60	93	97	30	278	82					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1060	62	52	76	54	63	103	88	47	35	42	24	34	27	18	64	48	44	29	13	105	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3918	547	313	411	195	281	345	487	120	90	63	71	176	69	49	48	85	89	143	37	208	91					
9	Число недействительных избирательных бюллетеней	99	10	4	13	4	9	7	19	3	2	3	1	5	1	1	4	6	2	1	0	4	0					
10	Число действительных избирательных бюллетеней	4879	599	361	474	245	335	441	556	164	123	102	94	205	95	66	108	127	131	171	50	309	123					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	289	30	20	24	15	15	25	30	10	10	10	5	10	10	10	5	10	10	10	5	20	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	57	10	3	10	3	1	2	7	0	0	0	3	6	2	2	0	0	1	1	1	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	59	9	8	3	4	2	3	3	2	2	2	2	5	0	0	1	2	0	2	1	4	4					
14	Число погашенных неиспользованных открепительных удостоверений	232	20	17	14	12	14	23	23	10	10	10	2	4	8	8	5	10	9	9	4	16	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	606	78	59	58	29	51	63	67	16	9	9	12	22	14	2	18	22	9	24	2	25	17					
		12.17%	12.81%	16.16%	11.91%	11.65%	14.83%	14.06%	11.65%	9.58%	7.20%	8.57%	12.63%	10.48%	14.58%	2.99%	16.07%	16.54%	6.77%	13.95%	4.00%	7.99%	13.82%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	592	57	35	46	37	35	42	88	20	21	10	14	21	14	18	9	15	21	33	10	26	20					
		11.89%	9.36%	9.59%	9.45%	14.86%	10.17%	9.38%	15.30%	11.98%	16.80%	9.52%	14.74%	10.00%	14.58%	26.87%	8.04%	11.28%	15.79%	19.19%	20.00%	8.31%	16.26%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	9	5	4	3	4	2	8	1	0	2	1	0	2	1	2	1	3	1	2	3	0					
		1.08%	1.48%	1.37%	0.82%	1.20%	1.16%	0.45%	1.39%	0.60%	0.00%	1.90%	1.05%	0.00%	2.08%	1.49%	1.79%	0.75%	2.26%	0.58%	4.00%	0.96%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1235	170	98	142	69	88	133	139	30	29	6	17	66	23	17	15	27	16	37	5	58	50					
		24.81%	27.91%	26.85%	29.16%	27.71%	25.58%	29.69%	24.17%	17.96%	23.20%	5.71%	17.89%	31.43%	23.96%	25.37%	13.39%	20.30%	12.03%	21.51%	10.00%	18.53%	40.65%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	84	10	17	23	4	8	6	6	1	2	1	1	0	0	1	0	1	0	0	0	1	2					
		1.69%	1.64%	4.66%	4.72%	1.61%	2.33%	1.34%	1.04%	0.60%	1.60%	0.95%	1.05%	0.00%	0.00%	1.49%	0.00%	0.75%	0.00%	0.00%	0.00%	0.32%	1.63%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2281	270	147	198	99	147	189	244	96	62	74	49	96	42	27	64	60	82	75	31	195	34					
		45.82%	44.33%	40.27%	40.66%	39.76%	42.73%	42.19%	42.43%	57.49%	49.60%	70.48%	51.58%	45.71%	43.75%	40.30%	57.14%	45.11%	61.65%	43.60%	62.00%	62.30%	27.64%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	27	5	0	3	4	2	6	4	0	0	0	0	0	0	0	0	1	0	1	0	1	0					
		0.54%	0.82%	0.00%	0.62%	1.61%	0.58%	1.34%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.58%	0.00%	0.32%	0.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
