Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																														
Дата голосования: 04.12.2011																																																																														
																																																																														
Наименование Избирательной комиссии:    Каменск-Уральская городская 																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912					
1	"Число избирателей, внесенных в список избирателей"	149336	537	1415	1472	894	2681	1873	2036	2883	1457	1298	1334	1368	1968	1839	2753	2112	2168	2309	1936	2469	2149	2050	2377	2313	2088	1797	1713	2538	2459	2987	2472	1294	2413	2702	2562	1957	2490	2823	2568	2653	2768	2784	1880	2337	2814	2980	2613	2417	2646	2679	2730	2312	2550	1804	2338	1855	2015	2752	1693	1977	2660	1968	1785	2780	1938	2039	1665	279	815	358	1898					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106650	400	1050	1050	650	1900	1350	1450	2050	1050	950	950	1000	1350	1450	1950	1450	1550	1650	1400	1750	1550	1450	1700	1650	1400	1300	1250	1850	1800	2100	1850	850	1650	1950	1850	1400	1800	2000	1850	1900	2000	2000	1350	1650	2000	2000	1800	1750	1900	1900	1950	1650	1800	1300	1650	1300	1450	1950	1200	1400	1900	1400	1250	2000	1400	1450	1200	200	600	350	1350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	69885	204	511	620	441	1278	921	968	1498	569	431	630	695	1048	896	1429	1072	1157	1056	1049	1253	1098	1137	1169	1071	643	761	904	1262	1304	1464	1152	580	1283	1466	1323	926	1136	1323	1228	1270	1360	1329	928	1014	1260	1288	1064	1153	1271	1245	1348	932	924	858	1132	890	1014	1181	833	916	1269	937	543	1203	849	610	627	113	320	282	966					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3032	28	17	15	16	32	84	40	33	50	51	35	12	94	80	69	138	33	38	8	22	28	17	48	23	147	9	20	20	26	33	123	110	83	23	33	13	59	29	19	39	17	13	21	31	18	174	107	50	14	52	42	33	12	34	49	25	25	51	11	208	9	6	12	22	39	65	10	1	29	34	21					
6	Число погашенных избирательных бюллетеней	33731	168	522	415	193	590	345	442	519	431	468	285	293	206	474	452	240	360	556	343	475	424	296	483	556	610	530	326	568	470	603	575	160	284	461	494	461	605	648	603	591	623	658	401	605	722	538	629	547	615	603	560	685	864	408	469	385	411	718	356	276	622	457	695	775	512	775	563	86	251	34	363					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3031	28	17	15	16	32	84	40	33	50	51	35	12	94	80	69	138	33	38	8	22	28	17	48	23	147	9	20	20	26	33	123	110	83	23	33	13	59	29	19	39	17	13	21	31	18	174	107	50	14	52	42	33	12	34	49	25	25	51	11	207	9	6	12	22	39	65	10	1	29	34	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	69868	204	511	620	441	1278	921	968	1498	569	431	630	695	1048	896	1429	1072	1157	1056	1049	1253	1098	1137	1169	1070	643	762	904	1262	1304	1464	1152	579	1283	1466	1320	926	1136	1323	1220	1270	1360	1328	928	1012	1260	1288	1064	1153	1271	1245	1348	932	924	858	1132	889	1014	1181	833	916	1269	937	542	1203	849	610	627	113	320	282	966					
9	Число недействительных избирательных бюллетеней	1697	7	21	20	16	28	29	27	23	11	13	25	21	16	16	34	33	27	32	18	28	27	24	28	31	22	17	26	20	31	41	32	19	21	33	23	18	36	33	18	23	35	29	17	16	21	42	28	22	29	49	36	24	31	17	22	16	33	28	14	28	18	13	12	26	38	12	23	2	13	15	20					
10	Число действительных избирательных бюллетеней	71202	225	507	615	441	1282	976	981	1508	608	469	640	686	1126	960	1464	1177	1163	1062	1039	1247	1099	1130	1189	1062	768	754	898	1262	1299	1456	1243	670	1345	1456	1330	921	1159	1319	1221	1286	1342	1312	932	1027	1257	1420	1143	1181	1256	1248	1354	941	905	875	1159	898	1006	1204	830	1095	1260	930	542	1199	850	663	614	112	336	301	967					
