Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Болотнинская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №303									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22855	259	333	605	156	527	223	507	83	512	187	487	94	439	76	88	77	203	355	102	354	55	693	333	402	624	141	445	573	102	1877	1602	1033	1761	891	1867	872	1903	870	333	811									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21425	200	300	500	150	450	200	400	85	400	150	400	90	350	75	85	75	200	350	100	350	50	650	325	400	600	140	425	600	100	1800	1600	900	1600	850	1800	800	1900	850	325	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7757	90	154	271	82	182	86	197	46	295	90	154	43	164	38	47	38	103	140	34	149	28	251	122	115	202	44	161	247	42	598	577	302	587	276	455	236	506	246	153	206									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	843	16	16	33	7	44	10	31	3	27	5	9	2	17	3	2	4	12	16	15	30	1	44	33	18	13	9	31	56	12	36	23	38	54	14	44	10	45	21	18	21									
6	Число погашенных избирательных бюллетеней	12825	94	130	196	61	224	104	172	36	78	55	237	45	169	34	36	33	85	194	51	171	21	355	170	267	385	87	233	297	46	1166	1000	560	959	560	1301	554	1349	583	154	573									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	843	16	16	33	7	44	10	31	3	27	5	9	2	17	3	2	4	12	16	15	30	1	44	33	18	13	9	31	56	12	36	23	38	54	14	44	10	45	21	18	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7757	90	154	271	82	182	86	197	46	295	90	154	43	164	38	47	38	103	140	34	149	28	251	122	115	202	44	161	247	42	598	577	302	587	276	455	236	506	246	153	206									
9	Число недействительных избирательных бюллетеней	292	1	3	15	5	5	3	6	1	8	2	6	0	1	0	0	0	10	9	2	3	1	9	5	3	5	0	3	11	0	21	23	9	27	16	26	8	25	12	3	5									
10	Число действительных избирательных бюллетеней	8308	105	167	289	84	221	93	222	48	314	93	157	45	180	41	49	42	105	147	47	176	28	286	150	130	210	53	189	292	54	613	577	331	614	274	473	238	526	255	168	222									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	582	6	8	15	14	14	5	13	3	13	5	12	3	11	2	3	2	5	9	3	8	2	48	14	30	36	4	11	25	3	39	21	24	24	22	27	21	28	22	7	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	437	4	8	15	13	14	5	13	3	13	5	0	3	11	2	3	2	5	0	0	8	2	48	14	20	24	4	0	25	3	28	16	5	24	8	27	5	28	15	7	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	176	6	2	5	3	2	2	1	2	8	2	2	1	4	4	5	1	2	2	4	4	5	5	2	4	2	4	9	2	3	12	6	13	8	7	9	5	3	4	3	8									
14	Число погашенных неиспользованных открепительных удостоверений	145	2	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	9	3	0	0	0	0	10	12	0	11	0	0	11	5	19	0	14	0	16	0	7	0	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	3	1	0	1	2	2	2	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	175	0	6	2	1	2	2	1	1	3	0	5	0	4	0	2	0	6	2	1	2	0	8	1	0	3	0	5	4	1	27	15	9	18	4	11	7	4	6	4	8									
		2.03%	0.00%	3.53%	0.66%	1.12%	0.88%	2.08%	0.44%	2.04%	0.93%	0.00%	3.07%	0.00%	2.21%	0.00%	4.08%	0.00%	5.22%	1.28%	2.04%	1.12%	0.00%	2.71%	0.65%	0.00%	1.40%	0.00%	2.60%	1.32%	1.85%	4.26%	2.50%	2.65%	2.81%	1.38%	2.20%	2.85%	0.73%	2.25%	2.34%	3.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	270	6	6	2	3	10	3	6	2	12	1	7	4	4	3	2	4	4	5	1	8	1	8	12	2	9	3	5	10	0	24	24	10	13	7	8	8	19	4	3	7									
