Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Провиденская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2046	169	1098	242	152	178	207									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2552	226	1212	316	230	250	318									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	28	0	12	16	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1538	142	684	209	146	168	189									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	56	6	31	5	5	5	4									
6	Число погашенных избирательных бюллетеней	930	78	485	86	79	77	125									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	84	6	43	21	5	5	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1538	142	684	209	146	168	189									
9	Число недействительных избирательных бюллетеней	62	8	40	0	5	3	6									
10	Число действительных избирательных бюллетеней	1560	140	687	230	146	170	187									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	88	0	15	30	2	7	34									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	64	0	9	13	2	6	34									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	0	43	1	0	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	24	0	6	17	0	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	112	11	22	35	32	7	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	0	3	0	1	5	1									
		0.62%	0.00%	0.41%	0.00%	0.66%	2.89%	0.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	15	0	9	0	0	3	3									
		0.92%	0.00%	1.24%	0.00%	0.00%	1.73%	1.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	35	0	28	0	1	0	6									
		2.16%	0.00%	3.85%	0.00%	0.66%	0.00%	3.11%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1136	117	415	202	121	140	141									
		70.04%	79.05%	57.08%	87.83%	80.13%	80.92%	73.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	0	2	1	0	1	1									
		0.31%	0.00%	0.28%	0.43%	0.00%	0.58%	0.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	1	0	0	1	1									
		0.18%	0.00%	0.14%	0.00%	0.00%	0.58%	0.52%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	209	18	134	18	12	10	17									
		12.89%	12.16%	18.43%	7.83%	7.95%	5.78%	8.81%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	0	4	0	0	0	0									
		0.25%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	10	0	7	2	1	0	0									
		0.62%	0.00%	0.96%	0.87%	0.66%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3	0	2	0	0	0	1									
		0.18%	0.00%	0.28%	0.00%	0.00%	0.00%	0.52%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	91	5	58	4	7	8	9									
		5.61%	3.38%	7.98%	1.74%	4.64%	4.62%	4.66%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	0	3	2	0	0	0									
		0.31%	0.00%	0.41%	0.87%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	34	0	21	1	3	2	7									
		2.10%	0.00%	2.89%	0.43%	1.99%	1.16%	3.63%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
