Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва									
Дата голосования: 04.12.2011									
									
Наименование Избирательной комиссии:    Михайловская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №1821	УИК №1822					
1	"Число избирателей, внесенных в список избирателей"	1503	702	801					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1350	670	680					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	862	455	407					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	106	15	91					
6	Число погашенных избирательных бюллетеней	382	200	182					
7	Число избирательных бюллетеней в переносных ящиках для голосования	106	15	91					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	862	455	407					
9	Число недействительных избирательных бюллетеней	15	0	15					
10	Число действительных избирательных бюллетеней	953	470	483					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	97	50	47					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	14	7	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	89	19	70					
14	Число погашенных неиспользованных открепительных удостоверений	83	43	40					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	2	1					
16	Число утраченных открепительных удостоверений	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	81	25	56					
		8.37%	5.32%	11.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	70	13	57					
		7.23%	2.77%	11.45%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	2	5					
		0.72%	0.43%	1.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	87	22	65					
		8.99%	4.68%	13.05%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	4	6					
		1.03%	0.85%	1.20%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	691	402	289					
		71.38%	85.53%	58.03%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	7	2	5					
		0.72%	0.43%	1.00%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
