Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Самойловская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082					
1	"Число избирателей, внесенных в списки"	18540	1885	1762	1929	1257	507	601	596	123	540	142	158	497	470	395	100	460	86	644	188	549	213	127	91	309	45	1751	119	141	207	165	111	149	290	202	581	840	240	70					
2	"Число бюллетеней, полученных участковыми комиссиями"	18202	1806	1690	1760	1200	520	610	600	123	540	140	156	495	450	401	102	585	86	634	189	549	204	123	87	308	45	1690	121	141	205	160	109	145	290	225	580	825	232	76					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12368	989	1230	1069	829	403	324	359	96	384	118	130	318	348	271	75	357	72	410	170	398	147	96	87	242	37	1014	111	128	147	124	86	111	214	174	482	542	207	69					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1670	99	87	117	121	47	83	124	19	60	18	10	74	28	31	10	103	0	108	5	10	11	4	0	33	8	142	0	0	23	14	11	22	30	28	48	118	24	0					
6	Число погашенных бюллетеней	4164	718	373	574	250	70	203	117	8	96	4	16	103	74	99	17	125	14	116	14	141	46	23	0	33	0	534	10	13	35	22	12	12	46	23	50	165	1	7					
7	Число бюллетеней в переносных ящиках для голосования	1670	99	87	117	121	47	83	124	19	60	18	10	74	28	31	10	103	0	108	5	10	11	4	0	33	8	142	0	0	23	14	11	22	30	28	48	118	24	0					
8	Число бюллетеней в стационарных ящиках для голосования	12368	989	1230	1069	829	403	324	359	96	384	118	130	318	348	271	75	357	72	410	170	398	147	96	87	242	37	1014	111	128	147	124	86	111	214	174	482	542	207	69					
9	Число недействительных бюллетеней	343	11	29	17	20	1	14	4	0	10	2	4	8	9	5	0	10	0	20	0	7	3	2	0	18	1	43	2	5	2	10	2	0	5	0	47	24	6	2					
10	Число действительных бюллетеней	13695	1077	1288	1169	930	449	393	479	115	434	134	136	384	367	297	85	450	72	498	175	401	155	98	87	257	44	1113	109	123	168	128	95	133	239	202	483	636	225	67					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	323	19	20	50	20	10	10	10	3	4	5	4	10	15	5	5	5	2	9	5	10	4	4	4	0	0	26	5	5	4	5	5	5	4	4	10	9	5	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	179	14	15	41	13	10	10	7	0	3	0	0	4	11	2	0	5	0	5	0	6	0	1	1	0	0	18	0	0	0	0	0	0	2	1	5	4	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	4	0	4	5	1	2	0	0	2	2	2	5	4	2	0	2	2	1	6	2	1	2	4	1	0	7	0	2	1	2	2	1	2	0	2	3	1	1					
14	Число погашенных открепительных удостоверений	144	5	5	9	7	0	0	3	3	1	5	4	6	4	3	5	0	2	4	5	4	4	3	3	0	0	8	5	5	4	5	5	5	2	3	5	5	4	3					
15	Число открепительных удостоверений выданных ТИК	22	5	0	3	1	0	0	0	0	1	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	175	10	11	15	12	3	0	7	0	2	2	0	8	6	5	4	5	3	7	2	9	5	7	1	2	0	11	0	1	3	1	2	1	3	3	7	8	6	3					
		1.24%	0.91%	0.83%	1.26%	1.26%	0.66%	0.0%	1.44%	0.0%	0.45%	1.47%	0.0%	2.04%	1.59%	1.65%	4.70%	1.08%	4.16%	1.35%	1.14%	2.20%	3.16%	7.0%	1.14%	0.72%	0.0%	0.95%	0.0%	0.78%	1.76%	0.72%	2.06%	0.75%	1.22%	1.48%	1.32%	1.21%	2.59%	4.34%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	183	25	25	38	9	4	22	2	0	1	0	0	3	4	0	2	3	0	3	0	3	1	0	1	0	0	14	0	2	0	4	1	0	1	1	1	13	0	0					
