Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Тула, Центральная"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	75453	1799	1935	1976	2119	2156	2105	2040	2021	2323	1467	1504	747	1426	989	1733	1206	1978	815	1873	1582	1009	1390	2684	1567	1704	1982	1223	1638	1769	1742	1698	1804	2151	1516	1417	2711	2066	1827	251	984	1996	1159	1058	1920	2043	350									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52800	1270	1380	1400	1500	1500	1470	1450	1420	1620	1020	1010	500	1000	580	1200	850	1400	630	1150	1110	650	1000	1890	1090	1200	1400	680	1160	1240	1230	1190	1280	1520	1150	1000	1910	1460	1280	170	700	1400	810	750	1340	1440	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28439	700	852	699	796	811	896	806	786	930	501	512	311	404	376	742	485	863	523	984	595	324	526	1013	563	635	821	617	579	673	600	598	713	855	561	352	880	738	609	126	261	541	354	318	567	693	350									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1582	10	15	16	19	30	16	9	32	19	29	12	12	20	126	20	14	40	10	46	26	74	26	24	19	15	20	10	33	25	19	15	37	24	32	87	43	50	90	8	77	86	30	11	134	72	0									
6	Число погашенных избирательных бюллетеней	22779	560	513	685	685	659	558	635	602	671	490	486	177	576	78	438	351	497	97	120	489	252	448	853	508	550	559	53	548	542	611	577	530	641	557	561	987	672	581	36	362	773	426	421	639	675	50									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1582	10	15	16	19	30	16	9	32	19	29	12	12	20	126	20	14	40	10	46	26	74	26	24	19	15	20	10	33	25	19	15	37	24	32	87	43	50	90	8	77	86	30	11	134	72	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28416	700	847	699	796	811	896	806	786	930	501	512	311	404	376	742	485	862	521	982	595	324	526	1013	558	635	817	617	579	673	599	598	712	855	561	352	880	737	609	126	261	541	354	318	567	693	349									
9	Число недействительных избирательных бюллетеней	673	21	23	13	13	25	21	15	15	18	18	10	7	25	19	21	11	21	6	22	6	13	22	21	9	11	19	8	20	15	14	10	16	24	8	5	7	21	13	3	4	18	11	9	17	17	8									
10	Число действительных избирательных бюллетеней	29325	689	839	702	802	816	891	800	803	931	512	514	316	399	483	741	488	881	525	1006	615	385	530	1016	568	639	818	619	592	683	604	603	733	855	585	434	916	766	686	131	334	609	373	320	684	748	341									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	816	25	25	20	30	20	15	25	30	20	15	10	10	10	15	20	20	25	15	20	15	10	15	50	10	20	25	10	10	10	20	20	20	20	20	10	30	20	30	5	10	11	10	10	20	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	654	24	25	14	24	14	13	25	20	13	11	8	7	2	13	18	16	21	10	16	13	6	9	29	9	19	23	9	10	10	16	9	16	16	18	9	27	17	30	4	5	11	6	10	16	13	0									
