Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Красногвардейская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74					
1	"Число избирателей, внесенных в списки"	22808	1458	2085	848	2047	2369	1929	1014	991	2140	541	717	547	270	361	785	762	479	1210	590	399	1266					
2	"Число бюллетеней, полученных участковыми комиссиями"	22670	1470	2110	820	2032	2295	1901	1014	990	2135	545	715	537	265	360	780	754	477	1215	595	395	1265					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12388	928	1169	323	1067	1018	941	955	403	839	298	361	270	142	202	378	329	227	765	531	297	945					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	821	7	28	42	28	101	66	10	45	33	24	26	18	23	30	71	83	62	50	40	21	13					
6	Число погашенных бюллетеней	9461	535	913	455	937	1176	894	49	542	1263	223	328	249	100	128	331	342	188	400	24	77	307					
7	Число бюллетеней в переносных ящиках для голосования	821	7	28	42	28	101	66	10	45	33	24	26	18	23	30	71	83	62	50	40	21	13					
8	Число бюллетеней в стационарных ящиках для голосования	12386	928	1169	323	1065	1018	941	955	403	839	298	361	270	142	202	378	329	227	765	531	297	945					
9	Число недействительных бюллетеней	150	0	24	0	8	15	8	0	15	11	8	5	7	8	0	7	2	3	6	0	9	14					
10	Число действительных бюллетеней	13057	935	1173	365	1085	1104	999	965	433	861	314	382	281	157	232	442	410	286	809	571	309	944					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	85	5	5	3	5	11	5	3	3	5	3	3	3	3	3	3	3	3	5	3	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	27	1	2	0	5	9	2	0	1	1	1	1	1	0	0	0	0	0	2	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	0	1	2	4	3	1	0	0	4	0	0	0	0	1	3	0	1	2	0	4	1					
14	Число погашенных открепительных удостоверений	55	4	3	3	0	2	3	3	2	4	2	2	2	3	3	0	3	3	3	3	3	4					
15	Число открепительных удостоверений выданных ТИК	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	147	5	13	6	10	16	6	3	12	4	8	8	4	5	1	8	10	3	4	6	2	13					
		1.11%	0.53%	1.08%	1.64%	0.91%	1.42%	0.59%	0.31%	2.67%	0.45%	2.48%	2.06%	1.38%	3.03%	0.43%	1.78%	2.42%	1.03%	0.49%	1.05%	0.62%	1.35%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	52	0	11	4	7	8	4	0	2	4	2	0	2	1	0	2	3	0	2	0	0	0					
		0.39%	0.0%	0.91%	1.09%	0.64%	0.71%	0.39%	0.0%	0.44%	0.45%	0.62%	0.0%	0.69%	0.60%	0.0%	0.44%	0.72%	0.0%	0.24%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	127	8	11	7	27	8	14	0	4	17	3	0	5	2	5	1	3	0	7	2	3	0					
		0.96%	0.85%	0.91%	1.91%	2.47%	0.71%	1.39%	0.0%	0.89%	1.94%	0.93%	0.0%	1.73%	1.21%	2.15%	0.22%	0.72%	0.0%	0.85%	0.35%	0.94%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	117	8	12	3	21	14	15	0	3	5	8	6	0	5	1	0	4	1	4	1	1	5					
		0.88%	0.85%	1.00%	0.82%	1.92%	1.25%	1.48%	0.0%	0.66%	0.57%	2.48%	1.55%	0.0%	3.03%	0.43%	0.0%	0.97%	0.34%	0.49%	0.17%	0.31%	0.52%					
22	"5. ""За Русь Святую"""	50	0	0	7	8	6	5	0	2	5	2	2	0	1	2	4	4	0	2	0	0	0					
		0.37%	0.0%	0.0%	1.91%	0.73%	0.53%	0.49%	0.0%	0.44%	0.57%	0.62%	0.51%	0.0%	0.60%	0.86%	0.89%	0.97%	0.0%	0.24%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	0	2	1	2	7	3	0	2	2	0	3	0	0	0	0	0	0	1	0	0	0					
