Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
"Наименование Избирательной комиссии:    Улан-Удэ, Железнодорожная"																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686					
1	"Число избирателей, внесенных в списки избирателей"	106545	1688	1878	1524	2059	2104	1561	2589	1206	2658	1370	1630	2448	2485	239	2328	1394	2250	2409	2524	2351	2472	1613	2195	2135	2417	2869	2398	1980	2135	1570	1904	965	2171	1088	2316	1046	1641	1717	1014	977	3171	1366	2353	2616	2805	2637	1841	1407	1778	2560	2711	2827	2804	207	144					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	79077	1212	1338	1120	1530	1552	1125	1820	900	2026	1021	1212	1748	1860	164	1511	1013	1399	1792	1830	1731	1830	1187	1661	1574	1763	2081	1791	1455	1590	1159	1369	740	1610	1680	1769	796	1171	1233	796	730	2232	1014	1754	1948	2085	1972	1407	1040	1320	1862	2033	2160	1989	228	144					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	54936	609	655	679	1095	1182	749	978	677	1562	788	948	1339	1397	139	1124	668	1253	1325	1427	1318	1374	909	1202	1213	1366	1190	1136	1016	1100	826	754	522	1396	1066	769	281	584	656	372	330	1473	641	1353	1290	1447	1115	1076	658	1103	1586	1688	1779	1522	98	133					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1885	15	24	25	37	25	26	22	27	28	24	25	29	51	11	30	19	30	39	47	51	35	33	52	29	50	32	21	29	24	24	23	24	46	22	28	12	36	36	24	17	179	16	51	32	63	36	37	28	26	25	32	60	27	84	7					
6	Число погашенных избирательных бюллетеней	22247	588	659	416	398	345	350	813	196	436	209	239	380	412	14	357	326	116	428	356	362	421	245	407	332	347	859	634	410	466	309	592	194	168	592	972	503	551	541	400	383	580	357	350	626	575	821	294	354	191	251	313	321	438	46	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1884	15	24	25	37	25	26	22	27	28	24	25	29	51	11	30	19	30	38	47	51	35	33	52	29	50	32	21	29	24	24	23	24	46	22	28	12	36	36	24	17	179	16	51	32	63	36	37	28	26	25	32	60	27	84	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54814	609	655	678	1095	1181	749	978	677	1561	788	948	1336	1397	139	1124	667	1253	1325	1425	1318	1374	909	1202	1213	1366	1190	1136	1016	1100	824	754	522	1301	1066	769	281	584	656	372	330	1473	641	1353	1290	1446	1115	1074	658	1093	1585	1686	1779	1522	98	133					
9	Число недействительных избирательных бюллетеней	1402	30	15	19	18	67	22	51	16	26	11	23	45	38	12	11	17	30	27	16	28	23	26	40	28	21	29	28	71	27	26	14	8	72	27	15	7	1	15	16	6	23	5	24	22	46	34	33	26	37	19	45	26	30	8	2					
10	Число действительных избирательных бюллетеней	55296	594	664	684	1114	1139	753	949	688	1563	801	950	1320	1410	138	1143	669	1253	1336	1456	1341	1386	916	1214	1214	1395	1193	1129	974	1097	822	763	538	1275	1061	782	286	619	677	380	341	1629	652	1380	1300	1463	1117	1078	660	1082	1591	1673	1813	1519	174	138					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3896	50	68	56	79	93	53	87	44	98	53	60	94	96	8	73	54	73	97	95	84	93	61	82	81	96	94	90	67	85	57	64	36	82	84	78	46	53	53	37	31	110	48	88	99	93	93	69	51	65	86	100	110	99	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	963	8	11	17	24	20	15	20	12	23	11	20	25	31	3	23	9	43	35	18	40	34	8	44	15	26	18	16	20	13	6	9	14	20	17	15	6	15	15	6	8	25	16	15	14	17	15	13	9	10	22	20	26	28	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	765	18	7	18	17	12	13	9	4	13	4	13	65	24	20	12	14	23	13	23	14	24	11	13	16	38	6	5	4	10	12	12	8	5	9	12	7	9	8	10	6	15	10	14	14	14	13	4	15	5	14	10	8	13	37	18					
14	Число погашенных неиспользованных открепительных удостоверений	2933	42	57	39	55	73	38	67	32	75	42	40	69	65	5	50	45	30	62	77	44	59	53	38	66	70	76	74	47	72	51	55	22	62	67	63	40	38	38	31	23	85	32	73	85	76	78	56	42	55	64	80	84	71	0	0					
