Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
"Наименование Избирательной комиссии:    Улан-Удэ, Железнодорожная"																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694					
1	"Число избирателей, внесенных в список избирателей"	99896	1743	1733	1255	1186	2038	1569	1316	1128	1967	1704	1235	1473	2133	2056	270	926	2611	1566	2265	2187	1923	2396	1609	2067	1452	2180	1276	1601	2142	1654	1706	1426	1993	876	1994	1921	2108	1022	2193	2231	858	842	2315	1345	175	1756	1698	2070	1977	1110	1613	1783	1948	2178	1913	861	1916	820	2207	1949	208	223					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86396	1676	1613	1213	1017	1784	1510	1120	1017	1745	1488	1005	1184	1872	1952	233	750	2049	1348	1824	1858	1775	1920	1438	1591	1280	1933	1159	1441	1902	1540	1614	1330	1592	752	1760	1702	1868	841	2010	1990	786	665	1849	1057	177	1372	1372	1875	1635	978	1268	1405	1659	1795	1560	807	1587	708	1915	1805	208	217					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	49585	570	682	522	654	1118	710	505	424	1208	990	632	758	1269	1163	106	488	1438	1016	1156	1349	1114	1211	825	1014	812	1315	535	668	976	889	1005	737	648	516	1206	860	1034	260	832	800	330	339	982	452	175	743	848	1011	938	572	579	893	967	1184	1001	502	1022	459	1213	1073	81	206					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2405	27	26	24	29	56	45	13	26	34	36	38	35	44	65	16	15	35	53	45	23	51	39	37	59	41	61	38	45	37	33	42	32	93	25	49	55	37	23	45	56	26	10	40	15	0	60	46	59	47	26	11	69	57	52	31	14	34	14	47	26	127	11					
6	Число погашенных избирательных бюллетеней	34406	1079	905	667	334	610	755	602	567	503	462	335	391	559	724	111	247	576	279	623	486	610	670	576	518	427	557	586	728	889	618	567	561	851	211	505	787	797	558	1133	1134	430	316	827	590	2	569	478	805	650	380	678	443	635	559	528	291	531	235	655	706	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2405	27	26	24	29	56	45	13	26	34	36	38	35	44	65	16	15	35	53	45	23	51	39	37	59	41	61	38	45	37	33	42	32	93	25	49	55	37	23	45	56	26	10	40	15	0	60	46	59	47	26	11	69	57	52	31	14	34	14	47	26	127	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49572	570	682	522	654	1118	710	505	424	1208	990	632	758	1269	1163	106	488	1438	1016	1153	1349	1114	1210	825	1014	810	1315	535	668	976	889	1005	737	648	516	1205	860	1034	260	832	800	330	339	982	452	175	743	848	1010	938	572	579	893	965	1184	1001	502	1021	459	1213	1071	81	206					
9	Число недействительных избирательных бюллетеней	801	10	9	9	12	23	11	10	3	16	13	5	12	11	17	1	5	11	12	18	19	11	21	14	21	10	14	5	13	6	13	22	5	14	8	10	14	23	66	5	11	8	2	11	9	1	9	26	11	18	16	12	11	29	14	20	2	17	10	17	12	10	3					
10	Число действительных избирательных бюллетеней	51176	587	699	537	671	1151	744	508	447	1226	1013	665	781	1302	1211	121	498	1462	1057	1180	1353	1154	1228	848	1052	841	1362	568	700	1007	909	1025	764	727	533	1244	901	1048	217	872	845	348	347	1011	458	174	794	868	1058	967	582	578	951	993	1222	1012	514	1038	463	1243	1085	198	214					
