Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																		
Дата голосования: 02.12.2007																																		
																																		
Наименование Избирательной комиссии:    Сортавальская городская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №547	УИК №555					
1	"Число избирателей, внесенных в списки избирателей"	27165	1378	790	977	2493	2009	2553	2556	1034	546	2041	2555	550	109	493	275	427	603	2267	1133	137	401	327	248	783	56	245	179					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26380	1400	750	1000	2500	2000	2500	2500	1000	500	2000	2500	500	100	450	250	400	600	2200	1100	100	350	300	200	750	80	200	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14588	763	504	577	1413	1042	1283	1530	495	279	1114	1325	313	38	249	101	181	280	1285	537	78	202	150	152	448	41	96	112					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	821	27	18	17	35	19	49	30	15	4	35	82	10	15	24	18	38	31	97	124	17	35	0	4	36	15	20	6					
6	Число погашенных избирательных бюллетеней	10971	610	228	406	1052	939	1168	940	490	217	851	1093	177	47	177	131	181	289	818	439	5	113	150	44	266	24	84	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	821	27	18	17	35	19	49	30	15	4	35	82	10	15	24	18	38	31	97	124	17	35	0	4	36	15	20	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14584	763	504	577	1413	1042	1282	1528	495	279	1114	1325	313	38	249	101	181	280	1285	536	78	202	150	152	448	41	96	112					
9	Число недействительных избирательных бюллетеней	153	12	5	2	15	16	21	11	3	2	10	15	1	0	1	2	6	0	10	12	1	0	0	1	4	0	2	1					
10	Число действительных избирательных бюллетеней	15252	778	517	592	1433	1045	1310	1547	507	281	1139	1392	322	53	272	117	213	311	1372	648	94	237	150	155	480	56	114	117					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	288	10	10	33	20	10	15	10	10	10	15	15	5	5	5	5	5	10	25	15	5	10	10	5	10	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	170	9	7	32	20	6	11	10	3	1	7	15	2	0	1	1	5	5	17	11	0	2	0	0	4	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	131	3	6	11	5	6	3	7	3	1	10	5	1	2	1	2	2	4	34	8	0	4	4	3	3	2	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	118	1	3	1	0	4	4	0	7	9	8	0	3	5	4	4	0	5	8	4	5	8	10	5	6	4	5	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	1	4	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	1.Политическая партия «Аграрная партия России»	318	16	11	9	37	21	31	33	5	2	25	21	21	1	17	2	4	5	11	7	0	2	3	4	29	0	0	1					
		2.06%	2.03%	2.11%	1.52%	2.56%	1.98%	2.33%	2.12%	0.98%	0.71%	2.18%	1.49%	6.50%	1.89%	6.23%	1.68%	1.83%	1.61%	0.80%	1.06%	0.00%	0.84%	2.00%	2.56%	5.99%	0.00%	0.00%	0.85%					
19	2.Всероссийская политическая партия «Гражданская Сила»	202	15	13	16	18	14	21	18	6	3	19	17	0	0	4	0	4	1	21	5	0	0	4	2	0	0	1	0					
		1.31%	1.90%	2.49%	2.69%	1.24%	1.32%	1.58%	1.16%	1.18%	1.06%	1.65%	1.21%	0.00%	0.00%	1.47%	0.00%	1.83%	0.32%	1.52%	0.76%	0.00%	0.00%	2.67%	1.28%	0.00%	0.00%	0.86%	0.00%					
20	3.Политическая партия «Демократическая партия России»	22	3	1	0	1	4	4	0	2	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0					
		0.14%	0.38%	0.19%	0.00%	0.07%	0.38%	0.30%	0.00%	0.39%	0.00%	0.17%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1593	92	70	61	189	171	138	166	50	26	155	146	52	4	7	1	8	28	104	37	3	12	6	14	39	2	9	3					
		10.34%	11.65%	13.41%	10.27%	13.05%	16.12%	10.37%	10.65%	9.80%	9.19%	13.49%	10.38%	16.10%	7.55%	2.56%	0.84%	3.65%	9.00%	7.53%	5.61%	3.16%	5.06%	4.00%	8.97%	8.06%	3.57%	7.76%	2.54%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	60	9	2	3	5	12	8	4	2	1	4	2	1	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0					
		0.39%	1.14%	0.38%	0.51%	0.35%	1.13%	0.60%	0.26%	0.39%	0.35%	0.35%	0.14%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.15%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	47	4	1	3	3	3	1	4	1	2	5	10	3	0	1	0	0	1	1	3	0	0	0	0	1	0	0	0					
		0.31%	0.51%	0.19%	0.51%	0.21%	0.28%	0.08%	0.26%	0.20%	0.71%	0.44%	0.71%	0.93%	0.00%	0.37%	0.00%	0.00%	0.32%	0.07%	0.45%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1536	85	51	73	128	99	139	153	50	43	120	140	23	5	36	10	13	23	121	72	9	27	14	18	55	2	14	13					
		9.97%	10.76%	9.77%	12.29%	8.84%	9.33%	10.44%	9.82%	9.80%	15.19%	10.44%	9.95%	7.12%	9.43%	13.19%	8.40%	5.94%	7.40%	8.76%	10.91%	9.47%	11.39%	9.33%	11.54%	11.36%	3.57%	12.07%	11.02%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1580	107	82	62	182	143	168	180	58	26	128	143	34	6	19	4	9	26	70	58	6	3	8	11	32	3	8	4					
		10.26%	13.54%	15.71%	10.44%	12.57%	13.48%	12.62%	11.55%	11.37%	9.19%	11.14%	10.16%	10.53%	11.32%	6.96%	3.36%	4.11%	8.36%	5.07%	8.79%	6.32%	1.27%	5.33%	7.05%	6.61%	5.36%	6.90%	3.39%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	145	3	7	8	18	7	18	17	5	0	13	15	2	0	1	1	4	4	10	4	0	0	3	1	4	0	0	0					
		0.94%	0.38%	1.34%	1.35%	1.24%	0.66%	1.35%	1.09%	0.98%	0.00%	1.13%	1.07%	0.62%	0.00%	0.37%	0.84%	1.83%	1.29%	0.72%	0.61%	0.00%	0.00%	2.00%	0.64%	0.83%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9390	418	254	345	792	530	729	919	323	176	640	881	184	37	185	98	168	223	1013	460	75	192	108	105	308	49	82	96					
		60.95%	52.91%	48.66%	58.08%	54.70%	49.95%	54.77%	58.99%	63.33%	62.19%	55.70%	62.62%	56.97%	69.81%	67.77%	82.35%	76.71%	71.70%	73.30%	69.70%	78.95%	81.01%	72.00%	67.31%	63.64%	87.50%	70.69%	81.36%					
