Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Щучанская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096	УИК  1097	УИК  1098	УИК  1099	УИК  1100	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116					
1	"Число избирателей, внесенных в списки"	19842	898	692	776	559	620	821	612	544	965	545	1124	512	335	157	325	660	212	136	456	467	126	239	309	186	346	119	843	215	484	228	206	93	400	368	133	110	571	40	382	132	96	443	78	260	160	75	364	104	69	992	255					
2	"Число бюллетеней, полученных участковыми комиссиями"	17894	770	590	660	480	530	690	540	460	830	480	1100	460	290	155	290	590	200	141	410	420	124	220	280	183	310	121	760	200	440	200	182	95	360	320	130	114	510	51	350	134	96	400	78	230	154	77	330	107	82	930	240					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11501	400	329	405	319	314	441	287	256	488	267	779	337	192	106	208	371	151	101	322	309	98	136	182	133	262	62	466	133	290	145	114	66	191	170	103	62	342	28	235	87	69	309	56	171	119	50	207	69	60	557	147					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	955	25	19	19	20	12	51	48	13	7	25	51	29	24	15	28	40	9	5	0	0	0	14	26	4	7	29	75	32	26	8	10	5	30	13	0	14	29	4	12	0	0	18	7	0	9	4	32	8	0	79	20					
6	Число погашенных бюллетеней	5438	345	242	236	141	204	198	205	191	335	188	270	94	74	34	54	179	40	35	88	111	26	70	72	46	41	30	219	35	124	47	58	24	139	137	27	38	139	19	103	47	27	73	15	59	26	23	91	30	22	294	73					
7	Число бюллетеней в переносных ящиках для голосования	955	25	19	19	20	12	51	48	13	7	25	51	29	24	15	28	40	9	5	0	0	0	14	26	4	7	29	75	32	26	8	10	5	30	13	0	14	29	4	12	0	0	18	7	0	9	4	32	8	0	79	20					
8	Число бюллетеней в стационарных ящиках для голосования	11500	400	329	405	319	314	441	287	256	488	267	779	337	192	106	208	371	151	101	322	309	98	136	182	133	262	62	466	133	290	145	114	66	191	170	103	62	341	28	235	87	69	309	56	171	119	50	207	69	60	557	147					
9	Число недействительных бюллетеней	164	9	2	6	3	4	4	1	5	9	3	9	0	0	4	1	10	5	4	8	6	4	4	0	0	1	1	4	3	1	0	1	4	6	8	3	0	4	0	9	0	1	0	1	0	0	0	7	0	0	8	1					
10	Число действительных бюллетеней	12291	416	346	418	336	322	488	334	264	486	289	821	366	216	117	235	401	155	102	314	303	94	146	208	137	268	90	537	162	315	153	123	67	215	175	100	76	366	32	238	87	68	327	62	171	128	54	232	77	60	628	166					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	380	16	13	13	12	12	14	12	12	16	10	21	10	6	3	6	11	4	3	9	9	2	5	6	4	7	3	16	4	9	5	4	2	9	8	3	3	11	1	8	2	2	9	2	5	3	2	7	2	2	17	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	111	7	6	4	1	0	5	2	0	1	1	10	1	3	0	0	1	1	1	3	1	0	1	0	0	0	0	12	0	7	2	0	0	4	1	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	17	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	114	0	6	1	5	1	5	0	3	6	3	1	3	2	1	0	4	0	0	0	6	2	0	0	3	2	0	9	1	1	0	1	0	4	0	0	1	22	2	1	0	1	3	0	0	1	0	0	0	0	13	0					
14	Число погашенных открепительных удостоверений	269	9	7	9	11	12	9	10	12	15	9	11	9	3	3	6	10	3	2	6	8	2	4	6	4	7	3	4	4	2	3	4	2	5	7	3	3	2	1	8	2	2	3	2	5	3	2	7	2	2	0	1					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
