Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Целинная																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13971	1143	928	1109	1273	335	485	212	240	449	182	518	136	193	547	133	117	588	768	87	144	100	120	510	168	264	271	894	169	177	510	105	85	873	138									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13500	1100	900	1100	1300	350	450	200	200	450	150	450	130	150	550	130	120	600	750	80	130	100	120	500	150	250	250	850	150	170	500	90	90	850	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5549	423	327	404	495	132	159	113	129	220	90	214	108	136	181	51	40	259	259	49	22	50	64	166	85	164	116	233	94	99	190	39	37	327	74									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	861	34	68	42	17	21	23	10	11	35	11	85	5	11	23	0	4	39	83	4	38	0	0	27	7	0	18	65	19	21	70	2	0	68	0									
6	Число погашенных избирательных бюллетеней	7090	643	505	654	788	197	268	77	60	195	49	151	17	3	346	79	76	302	408	27	70	50	56	307	58	86	116	552	37	50	240	49	53	455	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	861	34	68	42	17	21	23	10	11	35	11	85	5	11	23	0	4	39	83	4	38	0	0	27	7	0	18	65	19	21	70	2	0	68	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5549	423	327	404	495	132	159	113	129	220	90	214	108	136	181	51	40	259	259	49	22	50	64	166	85	164	116	233	94	99	190	39	37	327	74									
9	Число недействительных избирательных бюллетеней	104	11	10	13	7	4	4	1	0	6	6	6	3	1	3	0	0	5	2	0	0	0	2	7	0	0	2	4	0	0	3	0	0	4	0									
10	Число действительных избирательных бюллетеней	6306	446	385	433	505	149	178	122	140	249	95	293	110	146	201	51	44	293	340	53	60	50	62	186	92	164	132	294	113	120	257	41	37	391	74									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	20	20	20	30	10	10	5	10	20	5	10	5	5	10	2	2	30	30	2	2	2	3	10	3	5	5	15	3	10	20	2	2	20	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	80	8	4	5	11	6	2	0	0	8	0	1	0	0	1	0	1	3	0	2	1	0	2	2	0	1	5	1	0	0	13	0	0	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	55	6	2	3	5	1	1	1	3	4	2	3	1	2	0	0	1	2	2	1	0	1	1	3	0	1	0	0	3	0	2	1	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	270	12	16	15	19	4	8	5	10	12	5	9	5	5	9	2	1	27	30	0	1	2	1	8	3	4	0	14	3	10	7	2	2	18	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	1	2	6	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	70	4	6	10	2	4	2	1	0	0	6	1	1	1	2	0	1	2	6	3	1	0	0	3	0	1	1	2	0	0	4	2	0	4	0									
		1.09%	0.88%	1.52%	2.24%	0.39%	2.61%	1.10%	0.81%	0.00%	0.00%	5.94%	0.33%	0.88%	0.68%	0.98%	0.00%	2.27%	0.67%	1.75%	5.66%	1.67%	0.00%	0.00%	1.55%	0.00%	0.61%	0.75%	0.67%	0.00%	0.00%	1.54%	4.88%	0.00%	1.01%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	279	18	10	27	24	8	8	6	9	13	4	12	0	4	7	2	1	9	18	7	0	3	1	11	6	2	1	17	8	2	13	1	3	24	0									
		4.35%	3.94%	2.53%	6.05%	4.69%	5.23%	4.40%	4.88%	6.43%	5.10%	3.96%	4.01%	0.00%	2.72%	3.43%	3.92%	2.27%	3.02%	5.26%	13.21%	0.00%	6.00%	1.56%	5.70%	6.52%	1.22%	0.75%	5.70%	7.08%	1.67%	5.00%	2.44%	8.11%	6.08%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	137	8	4	9	12	1	2	2	0	4	1	3	6	4	4	1	0	11	11	4	4	2	0	3	0	0	5	8	1	5	5	0	2	14	1									
		2.14%	1.75%	1.01%	2.02%	2.34%	0.65%	1.10%	1.63%	0.00%	1.57%	0.99%	1.00%	5.31%	2.72%	1.96%	1.96%	0.00%	3.69%	3.22%	7.55%	6.67%	4.00%	0.00%	1.55%	0.00%	0.00%	3.73%	2.68%	0.88%	4.17%	1.92%	0.00%	5.41%	3.54%	1.35%									
