Выборы Президента Российской Федерации																																																																																																									
																																																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Ленинская"																																																																																																									
																																																																																																									
Итоги голосования 																																																																																																									
																																																																																																									
		Сумма	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818					
1	"Число избирателей, внесенных в список"	218383	1483	623	1954	2728	2682	1490	1389	1496	1759	2285	2357	1633	1538	1756	2851	2921	2445	1797	1730	1728	2267	2011	1776	2283	1938	1985	2405	1672	2421	2415	1744	1189	2408	1017	849	1060	1779	2495	2745	2718	2860	2651	2647	2866	1758	1776	1028	2429	2570	2390	2599	2688	2581	1611	1877	1988	1585	1787	2649	2714	2912	2861	2854	2932	2218	2369	2581	2781	2781	2551	2490	2654	2972	2826	2935	2349	2575	2412	2374	2416	2807	2794	2664	2336	2869	2682	2892	2870	2754	2838	2822	2463	2378	2565	2536	1979	280	135					
2	Число полученных избирательных бюллетеней	212835	1400	1060	1900	2700	2600	1500	1300	1400	1700	2200	2300	1600	1500	1700	2800	2900	2400	1700	1700	1600	2200	1900	1700	2200	1900	1900	2400	1600	2400	2300	1600	1100	2400	1000	800	1000	1700	2400	2700	2700	2800	2600	2600	2800	1700	1700	1000	2400	2500	2300	2500	2700	2500	1500	1700	2000	1500	1700	2600	2700	2900	2800	2800	2900	2200	2300	2600	2800	2800	2500	2400	2600	2700	2800	2800	2300	2500	2400	2300	2400	2700	2700	2600	2300	2800	2600	2800	2800	2700	2800	2800	2200	2300	2500	2500	1900	265	110					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	118944	801	614	1012	1390	1062	859	762	856	963	1281	1301	991	824	1027	1603	1346	1268	1013	1032	1022	1283	1253	932	1048	1041	1150	1551	1075	1278	1368	883	504	1271	411	414	566	1082	1469	1149	1675	1706	1459	1561	1723	927	993	516	1325	1337	1271	1453	1542	1519	819	1135	860	763	771	1498	1397	1502	1588	1540	1654	1223	1309	1380	1498	1504	1383	1373	1452	1626	1586	1528	1083	1458	1325	1399	1220	1510	1371	1468	1028	1645	1517	1620	1628	1548	1590	1590	1120	1409	1415	1505	1201	61	82					
5	"Число избирательных бюллетеней, выданных вне помещения"	4307	41	9	37	30	0	42	37	48	44	61	70	34	46	40	33	54	61	61	18	38	35	35	36	40	35	26	37	41	37	37	42	38	75	50	9	14	35	50	122	36	38	30	43	45	11	36	17	51	50	68	50	59	30	34	37	42	49	78	35	29	53	44	57	47	23	27	33	34	39	16	40	39	103	40	97	44	38	39	37	33	28	31	40	92	25	32	21	27	29	40	19	238	29	41	21	17	204	24					
6	Число погашенных избирательных бюллетеней	89584	558	437	851	1280	1538	599	501	496	693	858	929	575	630	633	1164	1500	1071	626	650	540	882	612	732	1112	824	724	812	484	1085	895	675	558	1054	539	377	420	583	881	1429	989	1056	1111	996	1032	762	671	467	1024	1113	961	997	1099	951	647	528	1098	688	851	1067	1274	1345	1168	1203	1199	954	964	1187	1268	1257	1101	987	1109	971	1174	1175	1173	1004	1036	864	1147	1162	1298	1092	1180	1130	1051	1159	1145	1123	1170	1191	842	862	1044	974	682	0	4					
7	Число избирательных бюллетеней в переносных ящиках	4307	41	9	37	30	0	42	37	48	44	61	70	34	46	40	33	54	61	61	18	38	35	35	36	40	35	26	37	41	37	37	42	38	75	50	9	14	35	50	122	36	38	30	43	45	11	36	17	51	50	68	50	59	30	34	37	42	49	78	35	29	53	44	57	47	23	27	33	34	39	16	40	39	103	40	97	44	38	39	37	33	28	31	40	92	25	32	21	27	29	40	19	238	29	41	21	17	204	24					
8	Число бюллетеней в стационарных ящиках для голосования	118673	801	613	1003	1379	1062	859	761	852	961	1281	1301	990	824	1026	1603	1345	1256	1012	1032	1022	1279	1253	932	1048	1041	1146	1550	1073	1278	1294	881	503	1271	411	414	566	1080	1468	1148	1671	1704	1459	1561	1723	927	993	516	1325	1337	1271	1453	1542	1519	819	1135	859	763	771	1498	1397	1502	1583	1540	1649	1221	1309	1380	1497	1504	1383	1371	1452	1603	1586	1527	1083	1458	1318	1346	1220	1508	1371	1468	1028	1643	1504	1615	1626	1548	1586	1590	1120	1408	1415	1505	1201	61	82					
9	Число недействительных избирательных бюллетеней	1052	2	0	7	9	0	8	9	6	12	5	11	4	7	9	7	23	16	6	11	6	14	9	5	10	20	4	11	9	13	9	14	3	19	5	4	10	9	16	14	8	1	14	16	15	3	12	6	13	11	0	9	8	10	10	9	18	6	11	10	19	18	18	17	8	5	13	12	20	10	25	11	18	23	8	17	9	19	15	9	6	12	11	13	16	7	8	9	8	14	7	21	9	29	20	17	3	0	2					
10	Число действительных избирательных бюллетеней	121928	840	622	1033	1400	1062	893	789	894	993	1337	1360	1020	863	1057	1629	1376	1301	1067	1039	1054	1300	1279	963	1078	1056	1168	1576	1105	1302	1322	909	538	1327	456	419	570	1106	1502	1256	1699	1741	1475	1588	1753	935	1017	527	1363	1376	1339	1494	1593	1539	843	1163	883	806	838	1523	1407	1537	1609	1580	1688	1239	1323	1401	1511	1533	1374	1400	1473	1683	1618	1607	1118	1477	1342	1374	1247	1524	1391	1495	1104	1661	1528	1627	1645	1563	1619	1588	1349	1408	1436	1509	1215	265	104					
