Выборы Президента Российской Федерации																																																																																																																							
Дата голосования: 04.03.2012																																																																																																																							
																																																																																																																							
Наименование Избирательной комиссии:    Новосибирск, Ленинская 																																																																																																																							
																																																																																																																							
Сводная таблица итогов голосования																																																																																																																							
																																																																																																																							
	Число участковых избирательных комиссий	108																																																																																																																					
	Число участковых избирательных комиссий, приступивших к передаче сведений	108																																																																																																																					
																																																																																																																							
		Сумма	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836									
1	Число избирателей, включенных в список избирателей	223004	285	96	2577	2672	2491	2848	1978	1834	1261	1210	1225	1468	2389	2039	1617	2789	2932	2600	2163	1546	2572	1138	883	2836	1369	1074	1695	2530	2519	2749	2828	1906	2315	2278	2216	2577	2628	2379	2281	2749	2732	2239	3026	2248	2354	2301	2175	2601	2283	204	1606	2689	1661	2504	1603	2650	2818	1561	1738	1744	1872	2045	1613	2224	2441	2404	2697	2634	2599	2767	2395	1852	2651	2711	2336	2506	2251	2122	1450	1553	1548	1759	1496	2534	1753	1657	2381	1680	1859	2119	1484	2498	2567	2265	2439	2510	1704	1608	925	2368	2774	2229	2386	2552	2442	1574	367	124									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	199662	280	120	2300	2400	2200	2500	1700	1500	1100	1100	1100	1300	2100	1800	1400	2500	2600	2300	1900	1400	2300	1000	800	2500	1200	1000	1500	2300	2300	2500	2500	1700	2000	2000	2000	2400	2400	2200	2100	2500	2500	2000	2600	2000	2100	2100	2000	2300	2100	207	1400	2400	1500	2300	1400	2300	2500	1400	1600	1600	1700	1800	1400	2000	2200	2200	2400	2400	2300	2500	2200	1700	2400	2400	2100	2300	2000	1900	1300	1400	1400	1500	1300	2300	1600	1500	2000	1500	1700	1900	1300	2300	2300	2000	2200	2300	1500	1400	800	2100	2500	2000	2200	2300	2200	1400	330	125									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	134675	278	96	1506	1741	1623	1700	1285	1300	787	710	786	916	1443	1248	997	1828	1663	1404	1182	815	1492	579	429	1783	816	611	802	1547	1532	1659	1887	1255	1407	1358	1362	1547	1650	1381	1381	1637	1719	1435	1954	1170	1465	1401	1294	1522	1438	143	890	1535	1099	1553	1089	1724	1502	778	973	1030	986	1270	927	1344	1422	1478	1536	1572	1640	1725	1500	1140	1664	1584	1395	1721	1420	1318	870	946	922	1081	850	1576	1185	945	1320	949	1122	1327	992	1397	1526	1487	1511	1546	980	994	507	1430	1621	1280	1483	1523	1522	865	98	41									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	4026	0	0	41	14	18	12	13	0	44	24	33	39	50	65	38	48	48	48	66	46	73	35	7	20	31	13	103	20	24	39	19	16	69	35	28	39	32	41	34	23	43	35	27	46	43	32	55	24	27	35	77	32	28	32	21	28	63	33	20	21	30	35	33	41	50	37	60	34	15	37	24	18	39	32	29	24	32	22	51	41	40	31	18	28	46	16	24	24	35	50	37	41	31	41	39	43	22	29	52	52	41	59	46	38	41	33	232	83									
6	Число погашенных избирательных бюллетеней	60961	2	24	753	645	559	788	402	200	269	366	281	345	607	487	365	624	889	848	652	539	735	386	364	697	353	376	595	733	744	802	594	429	524	607	610	814	718	778	685	840	738	530	619	784	592	667	651	754	635	29	433	833	373	715	290	548	935	589	607	549	684	495	440	615	728	685	804	794	645	738	676	542	697	784	676	555	548	560	379	413	438	388	432	696	369	539	656	527	543	523	271	862	743	472	650	711	498	377	241	618	838	661	671	739	637	502	0	1									
