Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Чухломская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645					
1	"Число избирателей, внесенных в списки избирателей"	10016	2131	2212	248	189	149	281	160	130	116	380	374	341	725	875	68	160	218	122	107	314	73	65	278	300					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10175	2155	2200	255	200	165	290	165	135	120	390	400	360	730	890	65	170	215	130	110	310	75	65	270	310					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5441	1167	1186	127	91	111	173	84	95	80	192	242	139	320	391	42	109	130	83	78	156	51	45	152	197					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	991	97	116	64	53	19	38	31	14	14	68	28	92	52	60	17	29	25	10	9	80	7	9	38	21					
6	Число погашенных избирательных бюллетеней	3743	891	898	64	56	35	79	50	26	26	130	130	129	358	439	6	32	60	37	23	74	17	11	80	92					
7	Число избирательных бюллетеней в переносных ящиках для голосования	991	97	116	64	53	19	38	31	14	14	68	28	92	52	60	17	29	25	10	9	80	7	9	38	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5441	1167	1186	127	91	111	173	84	95	80	192	242	139	320	391	42	109	130	83	78	156	51	45	152	197					
9	Число недействительных избирательных бюллетеней	49	19	12	0	2	0	1	1	0	2	2	1	1	1	3	0	0	0	0	1	2	0	0	0	1					
10	Число действительных избирательных бюллетеней	6383	1245	1290	191	142	130	210	114	109	92	258	269	230	371	448	59	138	155	93	86	234	58	54	190	217					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	132	19	16	4	4	4	4	4	3	3	4	8	5	7	7	3	7	4	3	3	5	3	3	4	5					
