Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    район Некрасовка															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №3314					
1	"Число избирателей, внесенных в список избирателей"	10216	1020	2482	1099	398	1212	1410	2221	374					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9830	1000	2500	1100	350	1100	1300	2100	380					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5476	514	1393	439	171	717	801	1117	324					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	187	22	26	10	6	32	23	32	36					
6	Число погашенных избирательных бюллетеней	4167	464	1081	651	173	351	476	951	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	187	22	26	10	6	32	23	32	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5470	513	1393	434	171	717	801	1117	324					
9	Число недействительных избирательных бюллетеней	85	4	26	6	4	7	12	17	9					
10	Число действительных избирательных бюллетеней	5572	531	1393	438	173	742	812	1132	351					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	25	60	30	15	35	35	60	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	222	20	49	28	10	29	29	57	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	390	25	41	22	59	62	67	62	52					
14	Число погашенных неиспользованных открепительных удостоверений	38	5	11	2	5	6	6	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	1	5	3	0	2	3	4	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	760	94	157	73	24	113	127	169	3					
		13.43%	17.57%	11.06%	16.44%	13.56%	15.09%	15.41%	14.71%	0.83%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	858	97	228	81	23	119	113	194	3					
		15.17%	18.13%	16.07%	18.24%	12.99%	15.89%	13.71%	16.88%	0.83%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	90	9	19	12	1	14	9	26	0					
		1.59%	1.68%	1.34%	2.70%	0.56%	1.87%	1.09%	2.26%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	889	106	213	68	25	110	158	206	3					
		15.72%	19.81%	15.01%	15.32%	14.12%	14.69%	19.17%	17.93%	0.83%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	320	46	35	28	10	60	51	90	0					
		5.66%	8.60%	2.47%	6.31%	5.65%	8.01%	6.19%	7.83%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2603	173	723	168	90	323	343	441	342					
		46.01%	32.34%	50.95%	37.84%	50.85%	43.12%	41.63%	38.38%	95.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	52	6	18	8	0	3	11	6	0					
		0.92%	1.12%	1.27%	1.80%	0.00%	0.40%	1.33%	0.52%	0.00%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
