Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    район Некрасовка												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №3221					
1	"Число избирателей, внесенных в списки избирателей"	7400	1811	1744	1776	1782	287					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5900	1400	1400	1400	1400	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4975	1310	1154	1094	1182	235					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	152	19	24	34	37	38					
6	Число погашенных избирательных бюллетеней	773	71	222	272	181	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	152	19	24	34	37	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4950	1291	1154	1094	1176	235					
9	Число недействительных избирательных бюллетеней	122	31	28	35	24	4					
10	Число действительных избирательных бюллетеней	4980	1279	1150	1093	1189	269					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	180	45	45	45	45	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	106	32	24	28	22	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	341	89	52	82	84	34					
14	Число погашенных неиспользованных открепительных удостоверений	74	13	21	17	23	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	159	43	31	41	34	10					
		3.12%	3.28%	2.63%	3.63%	2.80%	3.66%					
19	2.Всероссийская политическая партия «Гражданская Сила»	91	27	18	17	24	5					
		1.78%	2.06%	1.53%	1.51%	1.98%	1.83%					
20	3.Политическая партия «Демократическая партия России»	10	2	2	4	0	2					
		0.20%	0.15%	0.17%	0.35%	0.00%	0.73%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	473	120	86	138	98	31					
		9.27%	9.16%	7.30%	12.23%	8.08%	11.36%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	28	8	6	5	7	2					
		0.55%	0.61%	0.51%	0.44%	0.58%	0.73%					
23	6.Политическая партия «Партия социальной справедливости»	21	3	5	6	5	2					
		0.41%	0.23%	0.42%	0.53%	0.41%	0.73%					
24	7.Политическая партия «Либерально-демократическая партия России»	486	133	126	76	128	23					
		9.53%	10.15%	10.70%	6.74%	10.55%	8.42%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	346	99	78	67	81	21					
		6.78%	7.56%	6.62%	5.94%	6.68%	7.69%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	68	19	10	20	16	3					
		1.33%	1.45%	0.85%	1.77%	1.32%	1.10%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3180	795	757	690	777	161					
		62.33%	60.69%	64.26%	61.17%	64.06%	58.97%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	118	30	31	29	19	9					
		2.31%	2.29%	2.63%	2.57%	1.57%	3.30%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
