Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Верхнетоемская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №237	УИК №238	УИК №239	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15130	199	274	153	486	142	142	749	224	1478	2162	594	1416	844	545	414	218	781	932	599	443	282	280	1773									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15000	190	260	150	480	140	140	750	220	1470	2150	600	1410	840	540	420	210	780	910	580	420	280	280	1780									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	369	0	0	0	13	0	0	40	0	27	0	29	0	14	85	43	0	0	8	0	0	0	0	110									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3879	58	82	54	130	58	64	187	95	382	634	84	396	162	62	73	86	183	272	126	129	98	86	378									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	662	4	23	11	10	9	14	55	2	40	40	51	6	15	53	36	9	69	83	63	23	22	4	20									
6	Число погашенных избирательных бюллетеней	10090	128	155	85	327	73	62	468	123	1021	1476	436	1008	649	340	268	115	528	547	391	268	160	190	1272									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1031	4	23	11	23	9	14	95	2	67	40	80	6	29	138	79	9	69	91	63	23	22	4	130									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3879	58	82	54	130	58	64	187	95	382	634	84	396	162	62	73	86	183	272	126	129	98	86	378									
9	Число недействительных избирательных бюллетеней	80	1	0	0	0	1	0	7	0	7	27	0	7	1	3	1	0	4	5	2	2	3	1	8									
10	Число действительных избирательных бюллетеней	4830	61	105	65	153	66	78	275	97	442	647	164	395	190	197	151	95	248	358	187	150	117	89	500									
