Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Киясовская 																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  2301	УИК  2302	УИК  2303	УИК  2304	УИК  2305	УИК  2306	УИК  2307	УИК  2308	УИК  2309	УИК  2310	УИК  2311	УИК  2312	УИК  2313	УИК  2314	УИК  2315	УИК  2316	УИК  2317	УИК  2318	УИК  2319	УИК  2320	УИК  2321					
1	"Число избирателей, внесенных в списки"	8271	2464	1188	379	529	119	94	107	182	259	162	358	128	538	132	387	251	145	187	155	65	442					
2	"Число бюллетеней, полученных участковыми комиссиями"	7845	2200	1100	350	500	115	95	120	195	270	160	340	115	500	140	400	270	145	190	175	65	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5343	1521	723	219	364	84	71	93	143	155	120	204	103	375	105	186	173	116	116	115	62	295					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	712	143	36	51	49	9	7	12	16	38	19	56	4	48	13	131	30	15	11	10	0	14					
6	Число погашенных бюллетеней	1790	536	341	80	87	22	17	15	36	77	21	80	8	77	22	83	67	14	63	50	3	91					
7	Число бюллетеней в переносных ящиках для голосования	712	143	36	51	49	9	7	12	16	38	19	56	4	48	13	131	30	15	11	10	0	14					
8	Число бюллетеней в стационарных ящиках для голосования	5341	1519	723	219	364	84	71	93	143	155	120	204	103	375	105	186	173	116	116	115	62	295					
9	Число недействительных бюллетеней	95	21	18	4	2	1	2	1	2	0	1	4	3	7	0	10	2	0	2	3	1	11					
10	Число действительных бюллетеней	5958	1641	741	266	411	92	76	104	157	193	138	256	104	416	118	307	201	131	125	122	61	298					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	155	40	20	8	4	2	2	2	4	5	3	4	3	14	8	15	4	3	3	3	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	92	36	13	5	1	2	1	0	1	0	0	1	3	10	2	15	1	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	27	4	1	2	3	1	2	2	1	2	4	2	5	1	1	3	1	1	1	1	5					
14	Число погашенных открепительных удостоверений	63	4	7	3	3	0	1	2	3	5	3	3	0	4	6	0	3	3	3	3	3	4					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	147	58	16	3	3	2	3	2	3	6	2	0	1	11	2	10	0	3	6	5	0	11					
		2.42%	3.48%	2.10%	1.11%	0.72%	2.15%	3.84%	1.90%	1.88%	3.10%	1.43%	0.0%	0.93%	2.60%	1.69%	3.15%	0.0%	2.29%	4.72%	4.0%	0.0%	3.55%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	105	41	3	3	1	4	0	6	5	3	1	7	6	8	2	0	1	1	1	3	4	5					
		1.73%	2.46%	0.39%	1.11%	0.24%	4.30%	0.0%	5.71%	3.14%	1.55%	0.71%	2.69%	5.60%	1.89%	1.69%	0.0%	0.49%	0.76%	0.78%	2.4%	6.45%	1.61%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	77	19	17	2	2	3	1	2	2	3	0	6	0	4	2	1	2	9	0	0	2	0					
		1.27%	1.14%	2.23%	0.74%	0.48%	3.22%	1.28%	1.90%	1.25%	1.55%	0.0%	2.30%	0.0%	0.94%	1.69%	0.31%	0.98%	6.87%	0.0%	0.0%	3.22%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	31	11	1	3	1	0	1	0	0	3	1	1	1	4	0	0	2	0	2	0	0	0					
		0.51%	0.66%	0.13%	1.11%	0.24%	0.0%	1.28%	0.0%	0.0%	1.55%	0.71%	0.38%	0.93%	0.94%	0.0%	0.0%	0.98%	0.0%	1.57%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	13	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	2	2					
