Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Усть-Абаканская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32027	634	1454	1565	1463	1746	1568	1057	1372	479	412	278	1071	1461	1245	2140	726	1363	1106	726	1596	930	247	755	134	1016	128	1413	133	1008	115	1060	844	530	252									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31167	640	1400	1500	1400	1700	1500	1000	1300	470	410	270	1000	1400	1200	2000	730	1300	1000	730	1580	930	265	750	140	1010	129	1430	135	1010	115	1070	860	540	253									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11908	270	494	580	508	660	733	492	426	211	167	135	582	628	508	690	230	452	351	203	428	334	72	266	68	419	36	619	54	337	58	365	254	188	90									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	998	12	11	28	17	31	46	10	28	8	5	5	24	10	44	17	9	32	11	52	156	46	63	38	23	59	12	72	12	33	20	43	12	9	0									
6	Число погашенных избирательных бюллетеней	18261	358	895	892	875	1009	721	498	846	251	238	130	394	762	648	1293	491	816	638	475	996	550	130	446	49	532	81	739	69	640	37	662	594	343	163									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	998	12	11	28	17	31	46	10	28	8	5	5	24	10	44	17	9	32	11	52	156	46	63	38	23	59	12	72	12	33	20	43	12	9	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11904	270	494	580	508	660	733	491	426	211	167	135	582	628	508	690	230	450	351	203	428	334	72	266	68	419	36	619	54	337	58	365	253	188	90									
9	Число недействительных избирательных бюллетеней	302	8	10	12	41	13	9	8	5	8	5	4	10	11	8	18	7	3	10	3	13	8	0	2	1	8	1	23	3	8	10	11	12	6	3									
10	Число действительных избирательных бюллетеней	12600	274	495	596	484	678	770	493	449	211	167	136	596	627	544	689	232	479	352	252	571	372	135	302	90	470	47	668	63	362	68	397	253	191	87									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	10	17	17	10	15	18	10	10	2	5	3	10	10	10	15	5	20	5	9	15	10	15	5	5	10	12	10	5	10	2	10	11	4	5									
