Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Фатежская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116					
1	"Число избирателей, внесенных в список"	18091	1625	2759	482	723	839	135	1454	289	503	434	714	166	208	187	451	317	313	379	245	194	741	461	280	121	164	200	814	183	403	506	417	585	448	126	225					
2	Число полученных избирательных бюллетеней	16360	1450	2460	440	650	770	125	1290	270	450	400	650	150	190	175	420	290	280	350	220	180	670	420	255	110	150	180	735	165	370	460	380	530	410	110	205					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9435	887	1456	265	384	396	78	801	133	201	259	342	87	111	104	206	184	177	138	150	77	363	298	184	52	80	119	355	65	206	328	221	360	192	50	126					
5	"Число избирательных бюллетеней, выданных вне помещения"	3129	66	74	70	222	194	32	121	60	210	62	204	34	45	62	43	61	63	169	69	60	210	87	53	40	59	52	136	63	96	88	71	54	100	56	43					
6	Число погашенных избирательных бюллетеней	3796	497	930	105	44	180	15	368	77	39	79	104	29	34	9	171	45	40	43	1	43	97	35	18	18	11	9	244	37	68	44	88	116	118	4	36					
7	Число избирательных бюллетеней в переносных ящиках	3129	66	74	70	222	194	32	121	60	210	62	204	34	45	62	43	61	63	169	69	60	210	87	53	40	59	52	136	63	96	88	71	54	100	56	43					
8	Число бюллетеней в стационарных ящиках для голосования	9430	887	1452	265	384	396	78	801	133	201	259	342	87	111	104	206	184	177	138	150	77	363	298	184	52	80	119	355	65	206	328	221	359	192	50	126					
9	Число недействительных избирательных бюллетеней	119	8	10	1	6	6	2	13	1	2	3	13	0	2	2	4	1	3	4	2	0	6	2	3	0	1	1	5	0	4	0	6	4	3	1	0					
10	Число действительных избирательных бюллетеней	12440	945	1516	334	600	584	108	909	192	409	318	533	121	154	164	245	244	237	303	217	137	567	383	234	92	138	170	486	128	298	416	286	409	289	105	169					
11	Число полученных открепительных  удостоверений	180	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	32	5	10	0	1	3	0	3	0	2	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	10	10	2	3	4	0	3	0	4	3	1	1	2	0	0	1	3	1	0	0	3	0	2	1	1	0	2	1	2	0	1	4	1	3	1					
14	Число неиспользованных открепительных удостоверений	148	0	0	5	4	2	5	2	5	3	5	5	5	4	5	5	3	5	5	5	4	5	5	5	5	5	5	4	5	3	5	5	4	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	10	2	2	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	251	33	51	2	10	10	3	33	0	11	12	7	4	4	0	2	0	2	0	0	2	6	6	0	1	5	1	7	1	3	6	4	11	11	2	1					
		2.00%	3.46%	3.34%	0.60%	1.65%	1.69%	2.73%	3.58%	0.00%	2.68%	3.74%	1.28%	3.31%	2.56%	0.00%	0.80%	0.00%	0.83%	0.00%	0.00%	1.46%	1.05%	1.56%	0.00%	1.09%	3.60%	0.58%	1.43%	0.78%	0.99%	1.44%	1.37%	2.66%	3.77%	1.89%	0.59%					
19	. Малышкин Олег Александрович	269	10	43	9	29	13	0	28	5	1	9	9	3	1	4	5	2	8	5	2	3	13	7	3	2	4	1	10	4	8	3	12	8	2	1	2					
		2.14%	1.05%	2.82%	2.69%	4.79%	2.20%	0.00%	3.04%	2.59%	0.24%	2.80%	1.65%	2.48%	0.64%	2.41%	2.01%	0.82%	3.33%	1.63%	0.91%	2.19%	2.27%	1.82%	1.27%	2.17%	2.88%	0.58%	2.04%	3.12%	2.65%	0.72%	4.11%	1.94%	0.68%	0.94%	1.18%					
20	. Миронов Сергей Михайлович	100	14	12	0	7	1	0	5	3	2	3	5	2	1	2	1	2	3	3	0	1	2	6	1	0	2	2	4	0	5	2	1	2	5	0	1					
		0.80%	1.47%	0.79%	0.00%	1.16%	0.17%	0.00%	0.54%	1.55%	0.49%	0.93%	0.92%	1.65%	0.64%	1.20%	0.40%	0.82%	1.25%	0.98%	0.00%	0.73%	0.35%	1.56%	0.42%	0.00%	1.44%	1.17%	0.81%	0.00%	1.66%	0.48%	0.34%	0.48%	1.71%	0.00%	0.59%					
21	. Путин Владимир Владимирович	8557	606	1002	262	346	406	46	518	116	313	216	389	82	112	145	180	130	178	228	141	104	409	312	175	59	79	143	322	86	206	359	185	305	234	84	79					
		68.13%	63.59%	65.66%	78.21%	57.10%	68.81%	41.82%	56.18%	60.10%	76.16%	67.29%	71.25%	67.77%	71.79%	87.35%	72.29%	53.06%	74.17%	74.27%	64.38%	75.91%	71.38%	81.04%	73.84%	64.13%	56.83%	83.63%	65.58%	67.19%	68.21%	86.30%	63.36%	73.85%	80.14%	79.25%	46.75%					
22	. Хакамада Ирина Муцуовна	225	28	45	4	13	3	2	18	3	4	4	14	3	0	3	4	2	1	4	7	2	11	5	5	0	4	3	9	2	6	1	5	3	6	1	0					
		1.79%	2.94%	2.95%	1.19%	2.15%	0.51%	1.82%	1.95%	1.55%	0.97%	1.25%	2.56%	2.48%	0.00%	1.81%	1.61%	0.82%	0.42%	1.30%	3.20%	1.46%	1.92%	1.30%	2.11%	0.00%	2.88%	1.75%	1.83%	1.56%	1.99%	0.24%	1.71%	0.73%	2.05%	0.94%	0.00%					
23	. Харитонов Николай Михайлович	2821	222	317	49	181	137	55	292	63	73	66	100	26	33	10	52	104	41	63	65	25	113	47	49	29	43	18	125	34	65	40	77	75	30	17	85					
		22.46%	23.29%	20.77%	14.63%	29.87%	23.22%	50.00%	31.67%	32.64%	17.76%	20.56%	18.32%	21.49%	21.15%	6.02%	20.88%	42.45%	17.08%	20.52%	29.68%	18.25%	19.72%	12.21%	20.68%	31.52%	30.94%	10.53%	25.46%	26.56%	21.52%	9.62%	26.37%	18.16%	10.27%	16.04%	50.30%					
																																										
24	Против всех	217	32	46	8	14	14	2	15	2	5	8	9	1	3	0	1	4	4	0	2	0	13	0	1	1	1	2	9	1	5	5	2	5	1	0	1					
		1.73%	3.36%	3.01%	2.39%	2.31%	2.37%	1.82%	1.63%	1.04%	1.22%	2.49%	1.65%	0.83%	1.92%	0.00%	0.40%	1.63%	1.67%	0.00%	0.91%	0.00%	2.27%	0.00%	0.42%	1.09%	0.72%	1.17%	1.83%	0.78%	1.66%	1.20%	0.68%	1.21%	0.34%	0.00%	0.59%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
