Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Немецкая																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133					
1	"Число избирателей, внесенных в списки избирателей"	13880	1344	1097	1175	1332	198	443	907	1235	996	962	1795	1047	1018	331					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11900	1100	1000	1000	1100	200	400	800	1100	900	700	1500	900	900	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9083	946	722	703	885	141	323	622	782	631	505	1145	758	725	195					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	303	28	22	13	23	10	6	19	27	19	22	52	28	24	10					
6	Число погашенных избирательных бюллетеней	2514	126	256	284	192	49	71	159	291	250	173	303	114	151	95					
7	Число избирательных бюллетеней в переносных ящиках для голосования	303	28	22	13	23	10	6	19	27	19	22	52	28	24	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9083	946	722	703	885	141	323	622	782	631	505	1145	758	725	195					
9	Число недействительных избирательных бюллетеней	81	12	17	3	8	4	1	5	6	8	1	6	2	8	0					
10	Число действительных избирательных бюллетеней	9305	962	727	713	900	147	328	636	803	642	526	1191	784	741	205					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	95	14	7	7	8	3	4	6	8	5	5	11	7	7	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	86	13	4	7	8	3	1	4	8	5	5	11	7	7	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	23	4	2	1	0	1	1	1	1	1	3	2	0	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	9	1	3	0	0	0	3	2	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	867	65	36	43	71	11	58	63	30	55	50	203	90	86	6					
		9.24%	6.67%	4.84%	6.01%	7.82%	7.28%	17.63%	9.83%	3.71%	8.46%	9.49%	16.96%	11.45%	11.48%	2.93%					
19	2.Всероссийская политическая партия «Гражданская Сила»	35	6	0	4	4	0	2	0	2	2	3	2	2	8	0					
		0.37%	0.62%	0.00%	0.56%	0.44%	0.00%	0.61%	0.00%	0.25%	0.31%	0.57%	0.17%	0.25%	1.07%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	0	0	0	0	0	0	0	1	1	0	2	1	1	0					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.15%	0.00%	0.17%	0.13%	0.13%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	482	79	47	32	42	1	11	19	36	47	51	38	35	37	7					
		5.14%	8.11%	6.32%	4.47%	4.63%	0.66%	3.34%	2.96%	4.45%	7.23%	9.68%	3.17%	4.45%	4.94%	3.41%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	105	13	13	5	7	0	3	4	16	13	6	17	0	8	0					
		1.12%	1.33%	1.75%	0.70%	0.77%	0.00%	0.91%	0.62%	1.98%	2.00%	1.14%	1.42%	0.00%	1.07%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	10	0	1	0	1	0	0	0	2	0	2	3	1	0	0					
		0.11%	0.00%	0.13%	0.00%	0.11%	0.00%	0.00%	0.00%	0.25%	0.00%	0.38%	0.25%	0.13%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	796	57	89	64	102	8	26	100	56	39	26	103	46	65	15					
		8.48%	5.85%	11.96%	8.94%	11.23%	5.30%	7.90%	15.60%	6.92%	6.00%	4.93%	8.60%	5.85%	8.68%	7.32%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	898	76	97	75	132	10	30	45	94	52	35	114	72	51	15					
		9.57%	7.80%	13.04%	10.47%	14.54%	6.62%	9.12%	7.02%	11.62%	8.00%	6.64%	9.52%	9.16%	6.81%	7.32%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	59	9	5	3	7	0	2	0	5	7	3	7	5	5	1					
		0.63%	0.92%	0.67%	0.42%	0.77%	0.00%	0.61%	0.00%	0.62%	1.08%	0.57%	0.58%	0.64%	0.67%	0.49%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5986	640	430	483	523	117	194	404	559	425	346	699	530	476	160					
		63.78%	65.71%	57.80%	67.46%	57.60%	77.48%	58.97%	63.03%	69.10%	65.38%	65.65%	58.40%	67.43%	63.55%	78.05%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	61	17	9	4	11	0	2	1	2	1	4	3	2	4	1					
