Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Великолукская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522					
1	"Число избирателей, внесенных в список"	19134	714	503	157	339	307	767	650	376	212	156	559	732	1004	1252	271	424	161	1759	224	641	154	317	1248	257	347	265	460	485	132	462	484	365	394	898	1499	159					
2	Число полученных избирательных бюллетеней	19210	725	515	165	340	325	780	655	375	218	158	560	740	1010	1265	270	445	165	1720	228	655	153	325	1220	260	350	270	465	495	130	470	485	325	395	895	1500	158					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8567	401	243	58	188	142	412	321	182	92	67	250	326	467	472	149	234	57	742	87	270	46	177	486	105	100	84	174	115	54	207	274	202	156	477	662	88					
5	"Число избирательных бюллетеней, выданных вне помещения"	4111	140	154	68	75	80	172	85	90	67	53	97	139	95	272	85	123	43	222	36	110	51	41	339	81	125	82	204	265	50	175	35	75	89	77	178	38					
6	Число погашенных избирательных бюллетеней	6532	184	118	39	77	103	196	249	103	59	38	213	275	448	521	36	88	65	756	105	275	56	107	395	74	125	104	87	115	26	88	176	48	150	341	660	32					
7	Число избирательных бюллетеней в переносных ящиках	4110	140	154	68	75	80	172	85	90	67	53	97	139	95	272	85	123	43	222	36	109	51	41	339	81	125	82	204	265	50	175	35	75	89	77	178	38					
8	Число бюллетеней в стационарных ящиках для голосования	8566	401	243	58	188	142	412	321	182	92	67	250	326	467	471	149	234	57	742	87	270	46	177	486	105	100	84	174	115	54	207	274	202	156	477	662	88					
9	Число недействительных избирательных бюллетеней	85	3	4	0	1	0	3	8	3	1	1	2	3	4	7	1	2	2	7	0	2	1	0	7	0	2	0	1	1	0	1	0	3	1	0	12	2					
10	Число действительных избирательных бюллетеней	12591	538	393	126	262	222	581	398	269	158	119	345	462	558	736	233	355	98	957	123	377	96	218	818	186	223	166	377	379	104	381	309	274	244	554	828	124					
11	Число полученных открепительных  удостоверений	290	10	10	5	5	5	10	10	5	5	5	10	10	15	15	5	5	5	25	5	10	5	5	15	5	5	5	5	5	5	5	5	5	5	15	20	5					
12	Число выданных открепительных удостоверений	55	7	5	0	0	3	1	4	0	0	0	0	0	0	3	0	2	0	7	0	7	0	0	3	0	2	0	4	1	0	0	0	2	1	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	7	2	2	3	0	2	5	4	1	1	3	0	0	3	3	2	1	4	1	0	2	0	3	4	5	0	4	3	3	0	0	4	1	0	0	4					
14	Число неиспользованных открепительных удостоверений	235	3	5	5	5	2	9	6	5	5	5	10	10	15	12	5	3	5	18	5	3	5	5	12	5	3	5	1	4	5	5	5	3	4	15	17	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	319	10	7	5	5	6	19	5	8	2	4	11	16	20	22	2	8	0	28	6	16	2	5	18	6	11	1	13	5	1	6	3	3	2	17	24	2					
		2.52%	1.85%	1.76%	3.97%	1.90%	2.70%	3.25%	1.23%	2.94%	1.26%	3.33%	3.17%	3.44%	3.56%	2.96%	0.85%	2.24%	0.00%	2.90%	4.88%	4.22%	2.06%	2.29%	2.18%	3.23%	4.89%	0.60%	3.44%	1.32%	0.96%	1.57%	0.97%	1.08%	0.82%	3.07%	2.86%	1.59%					
19	. Малышкин Олег Александрович	275	9	11	3	10	4	3	5	0	7	2	12	10	5	21	1	7	3	23	2	5	0	8	25	4	5	5	5	5	3	8	7	5	9	12	25	6					
		2.17%	1.66%	2.77%	2.38%	3.80%	1.80%	0.51%	1.23%	0.00%	4.40%	1.67%	3.46%	2.15%	0.89%	2.83%	0.43%	1.96%	3.00%	2.39%	1.63%	1.32%	0.00%	3.67%	3.03%	2.15%	2.22%	3.01%	1.32%	1.32%	2.88%	2.09%	2.27%	1.81%	3.67%	2.17%	2.98%	4.76%					
