Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Малгобекская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32425	1584	1075	2340	1151	1379	1101	863	2106	1371	2169	376	880	1687	1600	1524	1509	1609	1320	1171	2046	1448	1482	634									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31862	1540	1050	2305	1120	1350	1075	859	2085	1345	2140	370	880	1660	1575	1500	1485	1585	1290	1145	2008	1410	1460	625									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27084	1304	937	1951	983	1195	958	778	1786	1144	1664	335	617	1501	1337	1300	1262	1326	1011	988	1651	1277	1200	579									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	264	15	10	12	15	13	12	10	17	12	15	5	18	11	13	15	12	14	10	12	15	0	0	8									
6	Число погашенных избирательных бюллетеней	4514	221	103	342	122	142	105	71	282	189	461	30	245	148	225	185	211	245	269	145	342	133	260	38									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	264	15	10	12	15	13	12	10	17	12	15	5	18	11	13	15	12	14	10	12	15	0	0	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27084	1304	937	1951	983	1195	958	778	1786	1144	1664	335	617	1501	1337	1300	1262	1326	1011	988	1651	1277	1200	579									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	27348	1319	947	1963	998	1208	970	788	1803	1156	1679	340	635	1512	1350	1315	1274	1340	1021	1000	1666	1277	1200	587									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	247	10	10	15	10	10	10	10	15	10	15	7	10	10	10	10	10	10	10	10	15	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	25	0	0	0	0	2	0	0	0	0	0	0	2	1	0	4	2	2	0	0	1	2	9	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	222	10	10	15	10	8	10	10	15	10	15	7	8	9	10	6	8	8	10	10	14	8	1	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	744	39	28	52	29	36	29	23	48	34	50	11	23	45	40	38	38	40	34	30	49	7	4	17									
		2.72%	2.96%	2.96%	2.65%	2.91%	2.98%	2.99%	2.92%	2.66%	2.94%	2.98%	3.24%	3.62%	2.98%	2.96%	2.89%	2.98%	2.99%	3.33%	3.00%	2.94%	0.55%	0.33%	2.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	33	1	2	1	1	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	2	4	1	1									
		0.12%	0.08%	0.21%	0.05%	0.10%	0.17%	0.10%	0.13%	0.06%	0.09%	0.12%	0.59%	0.31%	0.07%	0.07%	0.08%	0.16%	0.07%	0.10%	0.10%	0.12%	0.31%	0.08%	0.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	32	1	1	2	1	2	1	1	2	1	1	2	2	1	1	1	1	2	1	1	2	3	1	1									
