Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Дзержинская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35699	1904	1784	1678	1706	1761	1864	1718	2001	2352	1785	1678	1713	1729	1716	1757	1740	1630	1758	1662	1763									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35000	1850	1750	1650	1650	1750	1800	1700	2000	2300	1750	1650	1700	1700	1700	1700	1700	1600	1700	1650	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12102	686	522	556	586	600	695	588	698	791	580	542	661	695	613	594	570	535	573	494	523									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	160	8	11	7	6	11	4	6	2	18	1	2	6	2	3	6	11	13	35	2	6									
6	Число погашенных избирательных бюллетеней	22738	1156	1217	1087	1058	1139	1101	1106	1300	1491	1169	1106	1033	1003	1084	1100	1119	1052	1092	1154	1171									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	159	8	11	7	6	11	4	6	2	18	1	2	6	2	3	6	11	13	34	2	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12077	686	522	556	586	600	694	588	698	784	580	542	654	690	613	594	570	534	570	494	522									
9	Число недействительных избирательных бюллетеней	409	23	23	24	25	24	19	21	22	19	20	13	23	22	21	26	12	17	34	8	13									
10	Число действительных избирательных бюллетеней	11827	671	510	539	567	587	679	573	678	783	561	531	637	670	595	574	569	530	570	488	515									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	269	17	12	9	12	10	18	8	19	14	13	10	23	19	16	9	14	10	7	16	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	231	21	16	7	14	3	11	24	13	10	5	8	10	10	16	10	4	4	23	4	18									
14	Число погашенных неиспользованных открепительных удостоверений	231	8	13	16	13	15	7	17	6	11	12	15	2	6	9	16	11	15	18	9	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	134	10	14	3	7	2	9	4	12	11	10	2	8	10	7	3	8	6	3	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
