Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    район Аэропорт																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №3139	УИК №3140	УИК №3141					
1	"Число избирателей, внесенных в списки избирателей"	46617	2610	2854	2721	2363	2483	2600	2903	2535	1808	2683	2780	2756	2253	2602	2531	2332	2590	2754	196	79	184					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37050	1950	2250	2150	1850	1950	2050	2250	2000	1350	2100	2150	2100	1750	2050	2000	1850	2050	2200	300	200	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	23570	1262	1793	1374	1148	1197	1335	1388	1332	930	1307	1414	1433	1044	1175	1299	1144	1285	1444	187	79	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	990	55	26	53	65	57	85	47	29	33	31	48	39	34	36	44	34	50	44	0	0	180					
6	Число погашенных избирательных бюллетеней	12490	633	431	723	637	696	630	815	639	387	762	688	628	672	839	657	672	715	712	113	121	320					
7	Число избирательных бюллетеней в переносных ящиках для голосования	989	55	26	53	65	57	85	47	29	33	31	48	39	33	36	44	34	50	44	0	0	180					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23433	1262	1790	1366	1146	1184	1305	1382	1324	929	1303	1393	1424	1040	1175	1294	1141	1277	1432	187	79	0					
9	Число недействительных избирательных бюллетеней	408	21	52	23	17	22	14	25	18	10	30	16	36	19	23	20	18	8	27	2	0	7					
10	Число действительных избирательных бюллетеней	24014	1296	1764	1396	1194	1219	1376	1404	1335	952	1304	1425	1427	1054	1188	1318	1157	1319	1449	185	79	173					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1094	48	350	68	28	48	36	58	48	33	55	51	48	28	43	33	38	33	48	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1007	48	345	60	26	40	32	52	42	25	52	48	45	28	41	26	35	30	32	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	788	27	31	69	23	27	48	102	44	47	31	36	62	34	35	47	23	30	24	31	7	10					
14	Число погашенных неиспользованных открепительных удостоверений	87	0	5	8	2	8	4	6	6	8	3	3	3	0	2	7	3	3	16	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	530	0	316	176	2	4	2	5	4	2	0	4	3	2	4	1	3	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	724	38	55	40	51	30	29	36	35	27	50	51	39	37	25	36	35	40	56	9	1	4					
		2.96%	2.89%	3.03%	2.82%	4.21%	2.42%	2.09%	2.52%	2.59%	2.81%	3.75%	3.54%	2.67%	3.45%	2.06%	2.69%	2.98%	3.01%	3.79%	4.81%	1.27%	2.22%					
19	2.Всероссийская политическая партия «Гражданская Сила»	760	56	28	39	36	34	44	53	36	32	35	42	58	36	51	39	43	40	53	1	3	1					
		3.11%	4.25%	1.54%	2.75%	2.97%	2.74%	3.17%	3.71%	2.66%	3.33%	2.62%	2.91%	3.96%	3.36%	4.21%	2.91%	3.66%	3.01%	3.59%	0.53%	3.80%	0.56%					
20	3.Политическая партия «Демократическая партия России»	66	1	3	1	3	6	4	5	0	5	3	3	8	4	3	5	1	4	4	0	1	2					
		0.27%	0.08%	0.17%	0.07%	0.25%	0.48%	0.29%	0.35%	0.00%	0.52%	0.22%	0.21%	0.55%	0.37%	0.25%	0.37%	0.09%	0.30%	0.27%	0.00%	1.27%	1.11%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4055	261	199	297	192	216	270	238	282	142	172	244	216	155	163	252	214	207	283	34	3	15					
		16.60%	19.82%	10.96%	20.93%	15.85%	17.41%	19.42%	16.66%	20.84%	14.76%	12.89%	16.93%	14.76%	14.45%	13.46%	18.83%	18.21%	15.60%	19.17%	18.18%	3.80%	8.33%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1461	75	52	86	66	197	135	101	66	41	69	62	105	55	45	82	58	66	92	1	6	1					
		5.98%	5.69%	2.86%	6.06%	5.45%	15.87%	9.71%	7.07%	4.88%	4.26%	5.17%	4.30%	7.18%	5.13%	3.72%	6.13%	4.94%	4.97%	6.23%	0.53%	7.59%	0.56%					
23	6.Политическая партия «Партия социальной справедливости»	119	5	8	4	7	6	6	8	7	6	4	8	6	4	6	4	4	8	14	0	3	1					
		0.49%	0.38%	0.44%	0.28%	0.58%	0.48%	0.43%	0.56%	0.52%	0.62%	0.30%	0.56%	0.41%	0.37%	0.50%	0.30%	0.34%	0.60%	0.95%	0.00%	3.80%	0.56%					
24	7.Политическая партия «Либерально-демократическая партия России»	1594	69	212	81	72	49	63	68	74	66	105	85	85	69	121	81	81	85	76	15	11	26					
		6.53%	5.24%	11.67%	5.71%	5.95%	3.95%	4.53%	4.76%	5.47%	6.86%	7.87%	5.90%	5.81%	6.43%	9.99%	6.05%	6.89%	6.41%	5.15%	8.02%	13.92%	14.44%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2105	112	112	122	121	80	114	123	131	88	119	135	144	87	94	112	112	130	123	28	7	11					
		8.62%	8.50%	6.17%	8.60%	9.99%	6.45%	8.20%	8.61%	9.68%	9.15%	8.92%	9.37%	9.84%	8.11%	7.76%	8.37%	9.53%	9.80%	8.33%	14.97%	8.86%	6.11%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	343	27	22	26	10	11	9	32	16	9	14	27	18	16	15	13	33	16	25	1	1	2					
		1.40%	2.05%	1.21%	1.83%	0.83%	0.89%	0.65%	2.24%	1.18%	0.94%	1.05%	1.87%	1.23%	1.49%	1.24%	0.97%	2.81%	1.21%	1.69%	0.53%	1.27%	1.11%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	10698	532	1006	550	540	406	547	623	550	444	627	653	609	525	583	564	474	616	617	90	39	103					
		43.80%	40.39%	55.40%	38.76%	44.59%	32.72%	39.35%	43.60%	40.65%	46.15%	47.00%	45.32%	41.63%	48.93%	48.14%	42.15%	40.34%	46.42%	41.80%	48.13%	49.37%	57.22%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2089	120	67	150	96	184	155	117	138	92	106	115	139	66	82	130	102	107	106	6	4	7					
		8.55%	9.11%	3.69%	10.57%	7.93%	14.83%	11.15%	8.19%	10.20%	9.56%	7.95%	7.98%	9.50%	6.15%	6.77%	9.72%	8.68%	8.06%	7.18%	3.21%	5.06%	3.89%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
