Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Белоглинская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521					
1	"Число избирателей, внесенных в список избирателей"	23564	1943	1250	1436	754	1251	1794	1614	1723	1568	123	514	866	305	136	1954	1380	690	786	1419	1473	585					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24830	1900	1297	1689	800	1257	1836	1547	1735	1635	140	549	995	403	149	2050	1490	746	800	1552	1640	620					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14614	972	659	1037	482	667	1200	911	1113	858	88	334	567	277	103	1577	959	468	461	723	741	417					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2087	191	112	90	54	84	131	88	111	78	4	16	85	28	16	133	147	105	122	172	267	53					
6	Число погашенных избирательных бюллетеней	8129	737	526	562	264	506	505	548	511	699	48	199	343	98	30	340	384	173	217	657	632	150					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2087	191	112	90	54	84	131	88	111	78	4	16	85	28	16	133	147	105	122	172	267	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14614	972	659	1037	482	667	1200	911	1113	858	88	334	567	277	103	1577	959	468	461	723	741	417					
9	Число недействительных избирательных бюллетеней	186	19	15	13	3	10	5	15	16	19	1	2	1	6	2	15	10	0	10	12	7	5					
10	Число действительных избирательных бюллетеней	16515	1144	756	1114	533	741	1326	984	1208	917	91	348	651	299	117	1695	1096	573	573	883	1001	465					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1423	56	55	60	38	50	64	52	150	58	22	30	90	50	22	110	81	60	36	150	159	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1423	56	55	60	38	50	64	52	150	58	22	30	90	50	22	110	81	60	36	150	159	30					
