Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №12																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №1724	УИК №1725	УИК №1726	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	128298	1129	1195	1224	1186	1234	2662	2667	2343	2485	2238	2621	2266	2014	2034	1997	1525	2085	1777	2591	1944	1181	2041	2097	1980	2042	2194	2491	2476	2708	1421	2076	2671	1790	1702	2130	2282	2758	1832	2697	2269	2344	2261	2046	2232	1988	2164	1926	1475	2217	1954	2150	1795	2007	2493	2353	2558	2001	2276	1991	2015	1913	2084									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	113000	1000	1000	1000	1000	1000	2500	2500	2000	2000	2000	2500	2000	2000	2000	2000	1500	2000	1500	2500	1500	1000	2000	2000	1500	2000	2000	2000	2000	2500	1000	2000	2000	1500	1500	1500	2000	2500	1500	2500	2000	2000	2000	2000	2000	1500	2000	1500	1000	2000	1500	2000	1500	2000	2500	2000	2500	1500	2000	1500	2000	1500	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39312	373	402	324	465	441	919	794	814	766	726	828	702	652	694	654	478	641	621	725	492	361	685	723	657	609	555	615	653	777	395	571	711	493	398	595	706	782	616	700	780	612	575	767	739	632	754	634	478	620	602	694	585	634	801	729	813	604	777	645	635	489	600									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	396	11	3	1	9	20	2	5	6	5	4	3	3	1	6	8	2	3	6	3	2	7	0	2	4	3	3	4	5	2	0	84	3	1	14	12	9	12	1	11	10	6	9	4	5	3	11	2	3	1	5	5	1	4	6	12	7	2	3	4	4	2	7									
6	Число погашенных избирательных бюллетеней	73292	616	595	675	526	539	1579	1701	1180	1229	1270	1669	1295	1347	1300	1338	1020	1356	873	1772	1006	632	1315	1275	839	1388	1442	1381	1342	1721	605	1345	1286	1006	1088	893	1285	1706	883	1789	1210	1382	1416	1229	1256	865	1235	864	519	1379	893	1301	914	1362	1693	1259	1680	894	1220	851	1361	1009	1393									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	396	11	3	1	9	20	2	5	6	5	4	3	3	1	6	8	2	3	6	3	2	7	0	2	4	3	3	4	5	2	0	84	3	1	14	12	9	12	1	11	10	6	9	4	5	3	11	2	3	1	5	5	1	4	6	12	7	2	3	4	4	2	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39108	373	402	324	439	441	919	788	793	766	724	828	686	652	694	654	478	632	619	725	487	361	685	709	657	606	550	614	646	771	393	566	708	492	398	593	704	782	616	700	775	610	575	767	739	629	749	634	478	596	602	691	585	623	800	729	810	603	775	645	631	489	598									
9	Число недействительных избирательных бюллетеней	929	14	11	7	14	18	21	11	33	23	26	22	13	10	14	17	18	19	17	20	4	9	20	15	6	13	14	14	24	20	13	20	13	8	6	12	19	15	11	11	21	11	13	29	21	9	22	13	12	7	11	15	18	16	14	12	20	8	21	12	10	8	11									
10	Число действительных избирательных бюллетеней	38575	370	394	318	434	443	900	782	766	748	702	809	676	643	686	645	462	616	608	708	485	359	665	696	655	596	539	604	627	753	380	630	698	485	406	593	694	779	606	700	764	605	571	742	723	623	738	623	469	590	596	681	568	611	792	729	797	597	757	637	625	483	594									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3720	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1214	10	13	10	6	7	21	18	19	21	13	30	17	22	29	29	13	25	14	25	9	13	23	21	19	20	16	15	18	29	8	32	19	15	18	19	22	19	17	39	50	27	25	10	19	18	22	18	9	22	27	17	24	21	27	21	25	19	19	20	17	9	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1308	12	35	8	36	36	62	74	68	24	21	17	22	20	36	21	11	21	31	17	7	9	16	43	60	57	4	10	18	13	12	32	23	20	17	44	18	18	13	15	10	20	15	26	11	8	7	6	10	22	8	34	13	4	8	4	5	7	22	17	7	11	12									
14	Число погашенных неиспользованных открепительных удостоверений	2506	50	47	50	54	53	39	42	41	39	47	30	43	38	31	31	47	35	46	35	51	47	37	39	41	40	44	45	42	31	52	28	41	45	42	41	38	41	43	21	10	33	35	50	41	42	38	42	51	38	33	43	36	39	33	39	35	41	41	40	43	51	45									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	270	0	3	1	3	4	6	2	4	3	3	5	2	1	7	6	6	5	3	4	3	3	10	3	6	12	5	9	6	4	2	4	5	6	7	4	1	2	3	8	3	2	5	4	4	2	8	4	4	6	4	2	2	6	6	9	11	3	3	5	1	2	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1178	16	4	7	9	14	15	24	21	26	22	20	29	22	26	21	11	20	30	26	9	10	11	13	10	20	20	24	17	29	22	9	26	16	19	13	32	19	25	18	22	17	22	31	16	31	22	22	16	23	7	13	15	14	23	23	25	20	24	16	15	14	22									
		2.98%	4.17%	0.99%	2.15%	2.01%	3.04%	1.63%	3.03%	2.63%	3.37%	3.02%	2.41%	4.21%	3.37%	3.71%	3.17%	2.29%	3.15%	4.80%	3.57%	1.84%	2.72%	1.61%	1.83%	1.51%	3.28%	3.62%	3.88%	2.61%	3.75%	5.60%	1.38%	3.66%	3.25%	4.61%	2.15%	4.49%	2.39%	4.05%	2.53%	2.80%	2.76%	3.77%	4.02%	2.15%	4.91%	2.89%	3.46%	3.33%	3.85%	1.15%	1.87%	2.56%	2.23%	2.85%	3.10%	3.06%	3.31%	3.08%	2.47%	2.36%	2.85%	3.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	471	3	7	5	1	7	11	9	10	10	13	8	6	9	8	6	7	1	12	7	7	5	3	8	11	7	4	4	10	11	3	8	7	2	1	7	8	15	7	8	13	9	2	9	7	8	7	12	9	4	8	3	2	7	21	13	11	11	9	7	13	5	5									
		1.19%	0.78%	1.73%	1.54%	0.22%	1.52%	1.19%	1.13%	1.25%	1.30%	1.79%	0.96%	0.87%	1.38%	1.14%	0.91%	1.46%	0.16%	1.92%	0.96%	1.43%	1.36%	0.44%	1.13%	1.66%	1.15%	0.72%	0.65%	1.54%	1.42%	0.76%	1.23%	0.98%	0.41%	0.24%	1.16%	1.12%	1.89%	1.13%	1.13%	1.66%	1.46%	0.34%	1.17%	0.94%	1.27%	0.92%	1.89%	1.87%	0.67%	1.32%	0.43%	0.34%	1.12%	2.61%	1.75%	1.35%	1.82%	1.16%	1.08%	2.05%	1.02%	0.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	849	13	9	2	8	10	26	19	3	13	23	20	3	14	21	22	8	11	18	17	13	8	22	10	11	11	7	13	16	16	12	18	19	8	7	4	14	17	9	13	16	14	12	17	16	10	25	26	13	6	19	15	12	8	21	9	16	17	13	11	15	15	15									
		2.15%	3.39%	2.22%	0.62%	1.79%	2.17%	2.82%	2.40%	0.38%	1.69%	3.16%	2.41%	0.44%	2.14%	3.00%	3.32%	1.67%	1.73%	2.88%	2.34%	2.66%	2.17%	3.21%	1.41%	1.66%	1.81%	1.27%	2.10%	2.46%	2.07%	3.05%	2.77%	2.67%	1.62%	1.70%	0.66%	1.96%	2.14%	1.46%	1.83%	2.04%	2.27%	2.05%	2.20%	2.15%	1.58%	3.29%	4.09%	2.70%	1.01%	3.13%	2.16%	2.05%	1.28%	2.61%	1.21%	1.96%	2.81%	1.67%	1.69%	2.36%	3.05%	2.48%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14496	159	147	106	164	178	324	272	311	252	298	309	247	235	262	227	174	235	218	266	195	120	272	235	279	217	194	240	263	254	118	276	237	161	152	329	292	333	238	309	350	236	190	260	234	187	289	204	156	190	228	266	195	255	277	298	257	193	299	215	226	189	204									
		36.70%	41.41%	36.30%	32.62%	36.61%	38.61%	35.18%	34.30%	38.92%	32.68%	40.93%	37.18%	35.85%	35.99%	37.43%	34.29%	36.25%	37.01%	34.88%	36.54%	39.88%	32.61%	39.71%	33.05%	42.21%	35.63%	35.08%	38.83%	40.40%	32.86%	30.03%	42.46%	33.33%	32.66%	36.89%	54.38%	40.95%	41.94%	38.57%	43.46%	44.59%	38.31%	32.53%	33.72%	31.45%	29.59%	38.03%	32.08%	32.43%	31.83%	37.56%	38.22%	33.28%	40.67%	34.37%	40.22%	31.46%	31.90%	38.43%	33.13%	35.59%	38.49%	33.72%									
