Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Петушинская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210					
1	"Число избирателей, внесенных в список избирателей"	54722	1458	1885	795	415	586	1650	1827	1877	896	914	627	493	551	193	253	471	927	636	332	602	710	798	893	309	123	154	96	343	217	192	147	1069	572	1466	1489	1458	1342	1624	1538	2554	1677	1432	1637	1338	334	2614	2709	726	360	434	289	307	91	257	189	645	2119	2676	100	306					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45140	1270	1600	740	430	640	1430	1570	1610	800	840	620	490	400	150	200	390	750	450	270	460	600	650	720	250	100	120	100	270	170	160	120	880	460	1180	1200	1200	1040	1300	1240	2050	1340	1170	1320	1070	270	2100	2200	580	280	350	230	240	90	210	140	510	1720	2030	100	270					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19241	335	728	260	144	180	694	692	563	239	253	227	175	112	70	114	197	277	342	74	231	202	284	301	93	53	88	49	87	65	56	67	360	114	480	529	529	642	497	598	908	580	696	587	391	144	1064	1005	268	90	81	89	60	43	93	64	205	790	874	5	203					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1845	26	12	18	13	3	21	19	44	64	24	8	20	89	8	27	3	66	22	64	18	78	26	76	25	11	13	17	91	17	23	13	73	61	25	71	54	29	38	2	21	44	14	30	13	5	22	22	26	16	70	28	44	12	26	34	57	24	25	0	0					
6	Число погашенных избирательных бюллетеней	24054	909	860	462	273	457	715	859	1003	497	563	385	295	199	72	59	190	407	86	132	211	320	340	343	132	36	19	34	92	88	81	40	447	285	675	600	617	369	765	640	1121	716	460	703	666	121	1014	1173	286	174	199	113	136	35	91	42	248	906	1131	95	67					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1845	26	12	18	13	3	21	19	44	64	24	8	20	89	8	27	3	66	22	64	18	78	26	76	25	11	13	17	91	17	23	13	73	61	25	71	54	29	38	2	21	44	14	30	13	5	22	22	26	16	70	28	44	12	26	34	57	24	25	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19222	335	712	260	144	180	694	692	563	239	253	227	175	112	70	114	196	277	342	74	231	202	284	301	93	53	88	49	87	65	56	67	360	114	480	529	529	641	497	598	908	580	696	587	391	144	1064	1005	268	90	81	89	60	43	93	64	205	789	874	5	203					
9	Число недействительных избирательных бюллетеней	470	13	16	6	1	3	19	7	2	4	4	9	1	2	1	2	4	5	13	1	4	1	3	3	1	0	0	0	1	0	1	1	12	2	14	16	13	23	31	17	27	7	15	19	20	2	28	37	4	2	4	2	1	3	3	0	4	7	26	0	3					
10	Число действительных избирательных бюллетеней	20597	348	708	272	156	180	696	704	605	299	273	226	194	199	77	139	195	338	351	137	245	279	307	374	117	64	101	66	177	82	78	79	421	173	491	584	570	647	504	583	902	617	695	598	384	147	1058	990	290	104	147	115	103	52	116	98	258	806	873	5	200					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	892	9	16	14	8	6	26	20	34	6	10	26	3	6	1	3	7	12	14	3	11	38	15	8	5	1	1	0	2	2	7	1	37	10	31	56	38	46	12	17	40	34	32	14	30	2	20	40	6	2	4	5	1	4	3	3	5	47	38	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	764	7	15	8	5	6	22	20	34	5	10	26	3	4	0	1	7	12	14	3	11	36	15	8	5	1	1	0	2	2	7	1	37	8	21	47	38	43	11	17	34	34	29	10	17	2	12	24	6	1	4	5	1	2	3	3	0	30	34	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	583	7	33	6	7	6	16	10	12	9	2	3	13	4	13	12	4	10	15	3	4	6	5	6	5	0	3	3	8	6	2	2	11	6	11	15	4	8	13	8	16	20	22	9	15	2	18	15	10	14	10	1	5	6	1	7	9	8	36	5	43					
14	Число погашенных неиспользованных открепительных удостоверений	128	2	1	6	3	0	4	0	0	1	0	0	0	2	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	10	9	0	3	1	0	6	0	3	4	13	0	8	16	0	1	0	0	0	2	0	0	5	17	4	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	76	4	6	1	0	3	11	4	4	0	2	5	4	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	3	2	0	0	3	6	1	0	2	0	1	3	2	1	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4712	73	154	59	27	54	186	173	150	57	52	76	35	25	12	32	38	79	67	33	49	49	55	92	16	7	16	15	39	18	20	34	113	43	141	129	140	149	115	127	207	143	173	149	90	28	270	251	66	19	18	23	17	6	16	22	55	184	184	2	40					
		22.37%	20.22%	21.27%	21.22%	17.20%	29.51%	26.01%	24.33%	24.71%	18.81%	18.77%	32.34%	17.95%	12.44%	15.38%	22.70%	19.10%	23.03%	18.41%	23.91%	19.68%	17.50%	17.74%	24.40%	13.56%	10.94%	15.84%	22.73%	21.91%	21.95%	25.32%	42.50%	26.10%	24.57%	27.92%	21.50%	24.01%	22.24%	21.50%	21.17%	22.28%	22.92%	24.37%	24.15%	22.28%	18.79%	24.86%	24.44%	22.45%	17.92%	11.92%	19.66%	16.35%	10.91%	13.45%	22.45%	20.99%	22.63%	20.47%	40.00%	19.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3115	52	104	32	19	25	107	103	103	59	52	34	22	35	13	24	45	51	72	21	54	27	41	55	25	5	14	9	34	19	17	9	48	29	73	81	72	213	72	92	127	80	62	80	66	16	137	104	41	12	15	20	14	4	14	18	20	139	161	0	23					
		14.79%	14.40%	14.36%	11.51%	12.10%	13.66%	14.97%	14.49%	16.97%	19.47%	18.77%	14.47%	11.28%	17.41%	16.67%	17.02%	22.61%	14.87%	19.78%	15.22%	21.69%	9.64%	13.23%	14.59%	21.19%	7.81%	13.86%	13.64%	19.10%	23.17%	21.52%	11.25%	11.09%	16.57%	14.46%	13.50%	12.35%	31.79%	13.46%	15.33%	13.67%	12.82%	8.73%	12.97%	16.34%	10.74%	12.62%	10.13%	13.95%	11.32%	9.93%	17.09%	13.46%	7.27%	11.76%	18.37%	7.63%	17.10%	17.91%	0.00%	11.33%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	251	3	13	5	0	1	4	7	6	6	4	1	10	1	1	0	4	2	10	1	3	4	2	1	0	0	0	0	2	0	1	0	2	1	5	8	8	8	6	13	14	16	11	4	5	2	13	7	6	1	2	0	2	1	0	0	1	6	15	0	2					
		1.19%	0.83%	1.80%	1.80%	0.00%	0.55%	0.56%	0.98%	0.99%	1.98%	1.44%	0.43%	5.13%	0.50%	1.28%	0.00%	2.01%	0.58%	2.75%	0.72%	1.20%	1.43%	0.65%	0.27%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	1.27%	0.00%	0.46%	0.57%	0.99%	1.33%	1.37%	1.19%	1.12%	2.17%	1.51%	2.56%	1.55%	0.65%	1.24%	1.34%	1.20%	0.68%	2.04%	0.94%	1.32%	0.00%	1.92%	1.82%	0.00%	0.00%	0.38%	0.74%	1.67%	0.00%	0.99%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4568	84	177	57	50	47	164	150	131	72	55	39	45	46	15	18	46	69	58	11	41	49	47	75	26	4	9	9	46	13	7	12	114	43	110	157	131	105	130	139	204	159	170	159	88	33	265	242	63	21	25	31	16	6	26	15	58	146	191	2	47					
		21.68%	23.27%	24.45%	20.50%	31.85%	25.68%	22.94%	21.10%	21.58%	23.76%	19.86%	16.60%	23.08%	22.89%	19.23%	12.77%	23.12%	20.12%	15.93%	7.97%	16.47%	17.50%	15.16%	19.89%	22.03%	6.25%	8.91%	13.64%	25.84%	15.85%	8.86%	15.00%	26.33%	24.57%	21.78%	26.17%	22.47%	15.67%	24.30%	23.17%	21.96%	25.48%	23.94%	25.77%	21.78%	22.15%	24.40%	23.56%	21.43%	19.81%	16.56%	26.50%	15.38%	10.91%	21.85%	15.31%	22.14%	17.96%	21.25%	40.00%	23.15%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	822	12	29	22	9	9	28	48	35	15	11	15	11	4	2	5	9	5	12	0	4	4	6	9	3	0	2	0	5	0	2	1	7	1	15	14	20	14	22	22	39	41	59	35	15	4	40	56	9	6	7	3	0	1	1	1	7	35	26	0	5					
		3.90%	3.32%	4.01%	7.91%	5.73%	4.92%	3.92%	6.75%	5.77%	4.95%	3.97%	6.38%	5.64%	1.99%	2.56%	3.55%	4.52%	1.46%	3.30%	0.00%	1.61%	1.43%	1.94%	2.39%	2.54%	0.00%	1.98%	0.00%	2.81%	0.00%	2.53%	1.25%	1.62%	0.57%	2.97%	2.33%	3.43%	2.09%	4.11%	3.67%	4.20%	6.57%	8.31%	5.67%	3.71%	2.68%	3.68%	5.45%	3.06%	5.66%	4.64%	2.56%	0.00%	1.82%	0.84%	1.02%	2.67%	4.31%	2.89%	0.00%	2.46%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6992	122	223	95	50	44	204	217	174	87	98	59	69	87	34	60	51	130	129	71	94	146	144	140	47	48	60	33	51	32	31	23	134	56	145	194	195	156	155	188	306	174	216	171	116	63	324	322	101	45	79	37	53	33	58	42	116	292	288	1	79					
		33.19%	33.80%	30.80%	34.17%	31.85%	24.04%	28.53%	30.52%	28.67%	28.71%	35.38%	25.11%	35.38%	43.28%	43.59%	42.55%	25.63%	37.90%	35.44%	51.45%	37.75%	52.14%	46.45%	37.14%	39.83%	75.00%	59.41%	50.00%	28.65%	39.02%	39.24%	28.75%	30.95%	32.00%	28.71%	32.33%	33.45%	23.28%	28.97%	31.33%	32.94%	27.88%	30.42%	27.71%	28.71%	42.28%	29.83%	31.35%	34.35%	42.45%	52.32%	31.62%	50.96%	60.00%	48.74%	42.86%	44.27%	35.92%	32.04%	20.00%	38.92%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	137	2	8	2	1	0	3	6	6	3	1	2	2	1	0	0	2	2	3	0	0	0	12	2	0	0	0	0	0	0	0	0	3	0	2	1	4	2	4	2	5	4	4	0	4	1	9	8	4	0	1	1	1	1	1	0	1	4	8	0	4					
		0.65%	0.55%	1.10%	0.72%	0.64%	0.00%	0.42%	0.84%	0.99%	0.99%	0.36%	0.85%	1.03%	0.50%	0.00%	0.00%	1.01%	0.58%	0.82%	0.00%	0.00%	0.00%	3.87%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.40%	0.17%	0.69%	0.30%	0.75%	0.33%	0.54%	0.64%	0.56%	0.00%	0.99%	0.67%	0.83%	0.78%	1.36%	0.00%	0.66%	0.85%	0.96%	1.82%	0.84%	0.00%	0.38%	0.49%	0.89%	0.00%	1.97%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
