Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Беловская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22253	1611	470	143	1634	945	816	274	128	933	121	239	247	265	55	602	179	382	509	374	884	224	524	955	1158	115	405	949	130	1123	86	450	205	98	206	175	113	385	562	1433	720	186	124	159	957									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22662	1620	480	145	1660	940	820	280	130	950	125	245	250	260	58	610	180	390	520	370	850	230	510	960	1170	120	415	1050	130	1170	90	480	205	99	230	175	115	405	560	1460	760	190	125	160	970									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18569	1494	378	122	1488	806	745	148	95	652	100	186	121	221	46	566	155	350	476	330	766	182	448	897	708	88	297	830	121	1048	84	376	160	84	163	167	107	334	463	1122	455	151	114	133	792									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2242	69	52	9	65	54	14	18	6	234	11	30	14	21	8	25	19	25	23	14	84	37	55	19	392	25	92	40	9	66	0	45	40	10	33	4	4	39	57	153	200	22	8	18	79									
6	Число погашенных избирательных бюллетеней	1851	57	50	14	107	80	61	114	29	64	14	29	115	18	4	19	6	15	21	26	0	11	7	44	70	7	26	180	0	56	6	59	5	5	34	4	4	32	40	185	105	17	3	9	99									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2242	69	52	9	65	54	14	18	6	234	11	30	14	21	8	25	19	25	23	14	84	37	55	19	392	25	92	40	9	66	0	45	40	10	33	4	4	39	57	153	200	22	8	18	79									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18569	1494	378	122	1488	806	745	148	95	652	100	186	121	221	46	566	155	350	476	330	766	182	448	897	708	88	297	830	121	1048	84	376	160	84	163	167	107	334	463	1122	455	151	114	133	792									
9	Число недействительных избирательных бюллетеней	16	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	20795	1563	430	131	1553	860	759	160	101	886	111	216	135	242	54	591	174	375	499	342	850	219	503	916	1099	113	389	870	130	1114	84	414	200	94	196	171	111	373	520	1275	655	173	122	151	871									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	598	40	14	6	45	15	15	10	4	25	9	10	10	10	4	15	6	10	10	10	15	10	10	25	25	4	10	25	6	32	4	10	4	4	10	6	4	15	15	40	15	6	4	6	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	598	40	14	6	45	15	15	10	4	25	9	10	10	10	4	15	6	10	10	10	15	10	10	25	25	4	10	25	6	32	4	10	4	4	10	6	4	15	15	40	15	6	4	6	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	103	0	3	0	0	3	3	1	1	4	2	1	3	2	2	4	1	0	1	2	36	0	18	0	1	0	0	0	1	2	2	0	0	0	0	1	4	0	2	0	0	2	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.05%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.88%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	81	4	0	0	0	16	0	9	0	0	0	3	2	0	0	0	0	0	0	2	0	0	0	0	18	3	2	4	0	5	0	5	2	0	0	0	0	1	0	2	0	3	0	0	0									
		0.39%	0.26%	0.00%	0.00%	0.00%	1.86%	0.00%	5.42%	0.00%	0.00%	0.00%	1.39%	1.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	1.64%	2.65%	0.51%	0.46%	0.00%	0.45%	0.00%	1.19%	1.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.16%	0.00%	1.73%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	47	5	0	0	0	0	0	1	3	4	0	0	1	0	1	0	0	2	2	1	0	3	3	0	10	1	0	1	0	0	0	0	1	0	0	0	1	0	2	3	0	0	2	0	0									
		0.23%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	2.97%	0.45%	0.00%	0.00%	0.74%	0.00%	1.85%	0.00%	0.00%	0.53%	0.40%	0.29%	0.00%	1.37%	0.60%	0.00%	0.91%	0.88%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.90%	0.00%	0.38%	0.24%	0.00%	0.00%	1.64%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16960	1270	351	109	1165	746	622	70	79	722	90	153	86	199	43	478	142	319	409	264	723	184	423	769	913	95	316	708	110	989	76	240	165	86	186	163	94	335	437	1030	510	142	99	122	728									
