Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Демянская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11153	2302	2348	271	265	305	188	195	202	1054	1386	192	136	354	230	136	108	444	449	588									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10170	2000	2000	250	250	300	195	175	200	1000	1350	150	125	350	200	125	100	400	450	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3809	780	785	71	93	87	82	60	81	340	442	84	58	125	100	48	48	201	119	205									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	562	23	18	54	22	30	21	17	12	54	68	13	12	53	30	13	19	34	46	23									
6	Число погашенных избирательных бюллетеней	5799	1197	1197	125	135	183	92	98	107	606	840	53	55	172	70	64	33	165	285	322									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	562	23	18	54	22	30	21	17	12	54	68	13	12	53	30	13	19	34	46	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3809	780	785	71	93	87	82	60	81	340	442	84	58	125	100	48	48	201	119	205									
9	Число недействительных избирательных бюллетеней	135	24	27	6	4	4	4	5	2	23	8	0	2	2	4	2	0	5	4	9									
10	Число действительных избирательных бюллетеней	4236	779	776	119	111	113	99	72	91	371	502	97	68	176	126	59	67	230	161	219									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	25	25	10	10	5	10	5	5	15	20	5	5	5	5	5	5	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	84	11	6	5	2	5	10	0	5	13	9	0	0	5	0	0	0	5	5	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	12	11	4	1	1	1	2	1	2	2	0	7	2	0	1	4	12	2	2									
