Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Красноармейская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34007	772	429	84	1150	299	221	310	370	514	282	245	1603	908	246	41	174	188	1159	1315	1129	300	342	140	429	1533	318	135	151	1709	441	410	815	144	1764	1867	2546	2007	355	239	1529	245	218	830	221	107	50	727	245	253	548	849	156	329	171	445									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29720	700	400	80	1100	300	200	300	300	500	200	200	1500	800	200	40	150	150	1000	1200	1000	250	300	100	400	1200	300	100	100	1500	400	350	700	100	1600	1700	2000	1600	300	200	1300	200	150	800	200	100	50	700	200	200	500	800	150	300	150	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12273	286	194	53	409	86	43	89	102	187	94	164	456	215	119	21	60	93	534	330	315	103	104	44	143	541	109	59	64	665	155	120	394	70	589	776	809	747	99	90	498	81	72	362	69	83	38	311	77	128	228	384	65	134	63	149									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1513	102	39	0	8	28	16	5	48	9	7	11	142	141	13	4	6	5	39	51	28	9	10	10	7	18	31	8	0	37	18	43	29	6	22	18	54	20	9	18	88	7	19	36	20	7	4	67	36	8	59	41	3	17	17	15									
6	Число погашенных избирательных бюллетеней	15934	312	167	27	683	186	141	206	150	304	99	25	902	444	68	15	84	52	427	819	657	138	186	46	250	641	160	33	36	798	227	187	277	24	989	906	1137	833	192	92	714	112	59	402	111	10	8	322	87	64	213	375	82	149	70	236									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1513	102	39	0	8	28	16	5	48	9	7	11	142	141	13	4	6	5	39	51	28	9	10	10	7	18	31	8	0	37	18	43	29	6	22	18	54	20	9	18	88	7	19	36	20	7	4	67	36	8	59	41	3	17	17	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12271	286	194	53	409	86	43	89	102	187	94	164	456	215	119	21	60	93	534	330	315	103	104	44	143	541	109	59	64	664	155	120	394	70	589	776	808	747	99	90	498	81	72	362	69	83	38	311	77	128	228	384	65	134	63	149									
9	Число недействительных избирательных бюллетеней	324	12	5	1	7	2	0	7	3	13	2	4	5	0	0	1	0	2	12	11	9	2	2	1	3	22	6	2	2	13	5	5	11	1	18	32	10	20	1	2	6	5	0	16	4	0	0	2	0	6	2	6	0	12	3	8									
10	Число действительных избирательных бюллетеней	13460	376	228	52	410	112	59	87	147	183	99	171	593	356	132	24	66	96	561	370	334	110	112	53	147	537	134	65	62	688	168	158	412	75	593	762	852	747	107	106	580	83	91	382	85	90	42	376	113	130	285	419	68	139	77	156									
