Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Киржачская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №1040	УИК №1041									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33655	541	855	799	827	1550	1534	857	1705	1151	1254	604	1795	1263	1390	1799	1579	1253	740	473	732	466	546	508	313	628	905	724	1407	670	815	323	342	281	660	1420	946									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34000	550	870	810	820	1570	1570	880	1700	1200	1300	610	1800	1270	1400	1810	1600	1300	740	470	750	480	550	510	320	630	910	650	1410	670	790	390	330	290	670	1430	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11350	178	516	234	302	544	444	270	518	349	393	245	573	342	407	645	523	340	276	170	238	125	145	198	108	158	314	434	575	205	325	168	131	63	198	404	292									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1262	8	79	7	13	19	32	20	34	17	25	12	30	8	11	22	7	39	13	38	143	91	91	19	24	64	18	9	29	100	92	47	52	4	20	20	5									
6	Число погашенных избирательных бюллетеней	21388	364	275	569	505	1007	1094	590	1148	834	882	353	1197	920	982	1143	1070	921	451	262	369	264	314	293	188	408	578	207	806	365	373	175	147	223	452	1006	653									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1262	8	79	7	13	19	32	20	34	17	25	12	30	8	11	22	7	39	13	38	143	91	91	19	24	64	18	9	29	100	92	47	52	4	20	20	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11347	178	516	234	302	544	444	270	518	348	393	245	573	342	407	645	523	340	276	170	238	125	145	198	108	158	314	434	575	205	325	168	131	63	198	402	292									
9	Число недействительных избирательных бюллетеней	307	8	6	6	8	18	13	6	15	7	8	3	15	13	6	22	17	17	7	2	6	1	7	5	1	7	9	13	15	5	10	6	2	3	4	8	8									
10	Число действительных избирательных бюллетеней	12302	178	589	235	307	545	463	284	537	358	410	254	588	337	412	645	513	362	282	206	375	215	229	212	131	215	323	430	589	300	407	209	181	64	214	414	289									
