Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Неверкинская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №804	УИК №805									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12791	954	334	504	314	434	500	856	212	479	288	297	532	144	255	870	1129	810	781	326	160	653	546	476	548	289	100									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13021	982	340	507	316	443	506	871	224	482	298	303	546	155	269	827	1155	822	793	329	161	666	558	486	584	296	102									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9352	578	257	366	208	372	356	810	190	325	216	221	319	76	225	681	918	604	339	208	95	592	486	230	374	250	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	898	45	14	44	45	35	20	20	11	31	44	17	74	24	29	81	19	27	24	21	15	15	22	87	80	31	23									
6	Число погашенных избирательных бюллетеней	2771	359	69	97	63	36	130	41	23	126	38	65	153	55	15	65	218	191	430	100	51	59	50	169	130	15	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	898	45	14	44	45	35	20	20	11	31	44	17	74	24	29	81	19	27	24	21	15	15	22	87	80	31	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9341	578	257	366	208	372	356	810	190	325	216	221	319	76	225	681	918	604	339	208	95	586	481	230	374	250	56									
9	Число недействительных избирательных бюллетеней	57	9	7	3	0	0	0	2	0	0	0	0	0	3	0	13	7	0	5	1	0	4	3	0	0	0	0									
10	Число действительных избирательных бюллетеней	10182	614	264	407	253	407	376	828	201	356	260	238	393	97	254	749	930	631	358	228	110	597	500	317	454	281	79									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	191	10	5	5	5	5	5	10	5	5	5	5	10	5	5	15	15	15	15	5	5	5	5	5	10	6	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	93	10	0	1	0	5	5	10	0	0	0	0	10	0	5	6	5	7	6	1	0	5	5	5	6	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	27	0	0	5	4	0	0	1	0	1	0	1	1	0	0	5	1	1	0	0	3	0	0	1	3	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	98	0	5	4	5	0	0	0	5	5	5	5	0	5	0	9	10	8	9	4	5	0	0	0	4	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	3	2	0	0	0	0	1	0	1	2	1	0	0	0	2	10	5	0	1	0	0	0	6	4	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	24	9	0	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	3	1	0	2	1	1	0	1	0									
		0.23%	1.44%	0.00%	0.49%	0.00%	0.00%	0.00%	0.36%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.44%	0.00%	0.33%	0.20%	0.32%	0.00%	0.36%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	126	28	3	3	3	0	0	6	4	0	0	0	0	1	0	13	11	0	10	13	4	0	0	2	21	1	3									
		1.23%	4.49%	1.11%	0.73%	1.19%	0.00%	0.00%	0.72%	1.99%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	1.71%	1.17%	0.00%	2.75%	5.68%	3.64%	0.00%	0.00%	0.63%	4.63%	0.36%	3.80%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	35	2	1	0	1	0	0	2	0	3	0	0	0	1	2	1	1	0	14	1	0	2	1	2	0	0	1									
		0.34%	0.32%	0.37%	0.00%	0.40%	0.00%	0.00%	0.24%	0.00%	0.84%	0.00%	0.00%	0.00%	1.00%	0.79%	0.13%	0.11%	0.00%	3.86%	0.44%	0.00%	0.33%	0.20%	0.63%	0.00%	0.00%	1.27%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7778	433	122	353	228	371	256	637	183	310	241	189	372	52	210	520	585	502	199	144	78	502	419	271	305	243	53									
		75.96%	69.50%	45.02%	86.10%	90.12%	91.15%	68.09%	76.75%	91.04%	87.08%	92.69%	79.41%	94.66%	52.00%	82.68%	68.24%	62.43%	79.56%	54.82%	62.88%	70.91%	83.53%	83.30%	85.49%	67.18%	86.48%	67.09%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1									
		0.07%	0.16%	0.00%	0.49%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.20%	0.00%	0.00%	0.00%	1.27%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0									
		0.13%	1.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	178	23	4	0	3	4	12	5	0	4	3	0	0	0	0	9	4	2	26	15	5	9	8	5	25	4	8									
		1.74%	3.69%	1.48%	0.00%	1.19%	0.98%	3.19%	0.60%	0.00%	1.12%	1.15%	0.00%	0.00%	0.00%	0.00%	1.18%	0.43%	0.32%	7.16%	6.55%	4.55%	1.50%	1.59%	1.58%	5.51%	1.42%	10.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	1									
		0.08%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.87%	0.00%	0.00%	0.20%	0.32%	0.00%	0.00%	1.27%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	2	0	0	0	0									
