Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Кораблинская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18934	526	1291	1817	1879	1950	1088	940	1012	131	147	533	339	206	464	548	294	258	590	191	1225	386	168	517	225	308	489	278	207	620	307									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17100	450	1160	1640	1700	1760	970	840	920	110	130	480	300	180	430	480	270	230	550	240	1100	350	150	470	200	280	450	250	180	560	270									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8856	187	571	670	691	628	380	336	545	44	78	393	192	141	299	348	196	126	385	180	621	175	70	244	92	185	376	110	132	320	141									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	974	26	10	13	18	11	14	37	59	11	25	34	62	5	19	54	12	29	26	11	64	20	15	62	34	87	47	22	28	63	56									
6	Число погашенных избирательных бюллетеней	7270	237	579	957	991	1121	576	467	316	55	27	53	46	34	112	78	62	75	139	49	415	155	65	164	74	8	27	118	20	177	73									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	974	26	10	13	18	11	14	37	59	11	25	34	62	5	19	54	12	29	26	11	64	20	15	62	34	87	47	22	28	63	56									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8856	187	571	670	691	628	380	336	545	44	78	393	192	141	299	348	196	126	385	180	621	175	70	244	92	185	376	110	132	320	141									
9	Число недействительных избирательных бюллетеней	121	3	9	1	7	14	4	7	10	3	0	0	1	1	4	2	1	5	5	2	16	3	0	6	0	1	6	0	0	1	9									
10	Число действительных избирательных бюллетеней	9709	210	572	682	702	625	390	366	594	52	103	427	253	145	314	400	207	150	406	189	669	192	85	300	126	271	417	132	160	382	188									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	208	10	15	15	15	15	10	10	10	3	3	6	3	3	15	5	3	3	12	3	10	3	3	5	3	3	5	3	3	8	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	135	3	6	7	11	11	10	2	10	1	0	6	0	3	15	4	2	3	10	0	9	3	0	5	0	0	5	0	0	8	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	115	2	4	5	10	9	4	8	2	2	0	1	2	1	3	2	2	2	1	6	22	2	1	3	2	2	6	2	3	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	73	7	9	8	4	4	0	8	0	2	3	0	3	0	0	1	1	0	2	3	1	0	3	0	3	3	0	3	3	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	3	1	2	2	3	0	1	1	0	2	4	0	2	1	1	1	3	2	0	2	0	0	1	0	1	0	0	2	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
