Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Тугуро-Чумиканская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703					
1	"Число избирателей, внесенных в список избирателей"	1728	304	93	885	67	56	323					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1800	311	111	881	81	71	345					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	13	6	0	4	0	3	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	922	201	50	375	39	33	224					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	67	4	0	34	0	0	29					
6	Число погашенных избирательных бюллетеней	798	100	61	468	42	35	92					
7	Число избирательных бюллетеней в переносных ящиках для голосования	80	10	0	38	0	3	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	922	201	50	375	39	33	224					
9	Число недействительных избирательных бюллетеней	13	0	1	5	1	0	6					
10	Число действительных избирательных бюллетеней	989	211	49	408	38	36	247					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	15	5	45	5	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	30	3	0	12	5	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	13	1	0	11	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	60	12	5	33	0	0	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	7	1	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	123	21	2	60	3	1	36					
		12.28%	9.95%	4.00%	14.53%	7.69%	2.78%	14.23%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	113	25	1	62	0	6	19					
		11.28%	11.85%	2.00%	15.01%	0.00%	16.67%	7.51%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	6	1	4	1	0	1					
		1.30%	2.84%	2.00%	0.97%	2.56%	0.00%	0.40%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	122	61	2	42	2	3	12					
		12.18%	28.91%	4.00%	10.17%	5.13%	8.33%	4.74%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	9	5	0	3	0	0	1					
		0.90%	2.37%	0.00%	0.73%	0.00%	0.00%	0.40%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	605	91	43	235	32	26	178					
		60.38%	43.13%	86.00%	56.90%	82.05%	72.22%	70.36%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	4	2	0	2	0	0	0					
		0.40%	0.95%	0.00%	0.48%	0.00%	0.00%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
