Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    Апанасенковская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
1	"Число избирателей, внесенных в списки избирателей"	26154	2402	2377	1617	1561	1701	2078	596	1656	1540	1005	1413	2007	1559	552	204	242	1671	1973					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23868	2165	2170	1492	1452	1557	1873	542	1625	1367	895	1283	1833	1428	509	178	220	1514	1765					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15089	1389	1298	971	838	1261	1001	395	909	838	569	852	1099	830	364	148	151	1110	1066					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2424	137	227	84	125	189	98	51	279	261	136	174	152	193	20	10	6	154	128					
6	Число погашенных избирательных бюллетеней	6355	639	645	437	489	107	774	96	437	268	190	257	582	405	125	20	63	250	571					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2424	137	227	84	125	189	98	51	279	261	136	174	152	193	20	10	6	154	128					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15083	1387	1298	971	834	1261	1001	395	909	838	569	852	1099	830	364	148	151	1110	1066					
9	Число недействительных избирательных бюллетеней	152	16	14	9	2	16	6	6	9	5	3	9	15	8	1	4	7	14	8					
10	Число действительных избирательных бюллетеней	17355	1508	1511	1046	957	1434	1093	440	1179	1094	702	1017	1236	1015	383	154	150	1250	1186					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	320	25	15	35	15	15	15	10	50	10	10	10	50	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	209	25	14	20	7	6	9	2	34	10	8	6	38	10	6	0	0	4	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	56	11	2	3	2	1	1	5	10	1	2	3	0	2	3	2	3	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	111	0	1	15	8	9	6	8	16	0	2	4	12	0	4	10	10	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	1.Политическая партия «Аграрная партия России»	628	40	40	21	21	44	34	12	50	67	28	15	92	38	10	4	9	47	56					
		3.59%	2.62%	2.62%	1.99%	2.19%	3.03%	3.09%	2.69%	4.21%	6.10%	3.97%	1.46%	7.35%	3.71%	2.60%	2.53%	5.73%	3.72%	4.69%					
19	2.Всероссийская политическая партия «Гражданская Сила»	51	10	5	2	6	4	2	2	4	3	1	5	3	3	0	0	0	1	0					
		0.29%	0.66%	0.33%	0.19%	0.63%	0.28%	0.18%	0.45%	0.34%	0.27%	0.14%	0.49%	0.24%	0.29%	0.00%	0.00%	0.00%	0.08%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	0	1	0	2	2	0	1	0	0	0	0	0	0	2	0	1	0	0					
		0.05%	0.00%	0.07%	0.00%	0.21%	0.14%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.64%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1696	178	132	95	144	154	121	26	63	53	46	68	156	80	64	8	21	74	213					
		9.69%	11.68%	8.66%	9.00%	15.02%	10.62%	11.01%	5.83%	5.30%	4.82%	6.52%	6.63%	12.47%	7.82%	16.67%	5.06%	13.38%	5.85%	17.84%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	82	10	6	13	3	6	5	1	6	0	4	2	1	9	4	6	0	4	2					
		0.47%	0.66%	0.39%	1.23%	0.31%	0.41%	0.45%	0.22%	0.51%	0.00%	0.57%	0.19%	0.08%	0.88%	1.04%	3.80%	0.00%	0.32%	0.17%					
23	6.Политическая партия «Партия социальной справедливости»	16	3	1	1	0	2	1	0	0	2	0	3	0	0	0	0	1	2	0					
		0.09%	0.20%	0.07%	0.09%	0.00%	0.14%	0.09%	0.00%	0.00%	0.18%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.64%	0.16%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1015	92	108	46	62	54	77	24	94	94	44	55	59	50	17	7	9	63	60					
		5.80%	6.04%	7.08%	4.36%	6.47%	3.72%	7.01%	5.38%	7.91%	8.55%	6.24%	5.36%	4.72%	4.89%	4.43%	4.43%	5.73%	4.98%	5.03%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2564	248	212	187	172	163	192	35	156	207	79	163	131	240	50	27	9	192	101					
		14.65%	16.27%	13.90%	17.73%	17.94%	11.24%	17.47%	7.85%	13.13%	18.84%	11.21%	15.89%	10.47%	23.46%	13.02%	17.09%	5.73%	15.19%	8.46%					
