Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Таштагольская 																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38263	605	483	940	1112	1102	1321	1425	1191	1144	1145	1114	497	613	578	895	567	920	1085	910	1332	605	877	1677	255	1454	833	2162	2028	1280	1472	1532	1177	276	402	232	102	528	450	144	276	432	160	776	154									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38580	604	484	983	1122	1110	1325	1451	1175	1156	1144	1109	496	613	581	900	573	918	1128	929	1342	631	915	1689	256	1460	828	2116	2026	1283	1480	1560	1190	276	401	240	105	531	477	145	284	438	160	792	154									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	209	0	63	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35986	567	444	913	1065	1047	1281	1366	1092	1121	1116	1059	444	564	558	853	521	859	1031	819	1228	563	791	1565	243	1354	804	2090	1952	1240	1385	1444	1121	269	375	232	94	497	450	144	180	219	159	713	154									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	933	30	20	27	28	23	22	43	63	7	13	15	38	31	8	6	23	46	19	49	50	23	51	45	6	42	24	9	21	3	43	26	36	2	19	0	6	15	0	0	0	0	1	0	0									
6	Число погашенных избирательных бюллетеней	1295	7	20	43	29	40	22	42	20	28	15	35	14	18	15	41	29	13	78	61	64	45	73	79	7	64	0	17	53	40	52	90	33	5	7	8	5	19	27	1	10	10	0	16	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1299	30	20	27	28	23	22	43	63	7	13	15	38	31	8	6	23	46	19	49	50	23	51	45	6	42	24	9	21	3	43	26	36	2	19	0	6	15	0	0	94	209	1	63	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35967	567	444	913	1065	1047	1281	1366	1092	1121	1116	1059	444	564	558	853	521	859	1012	819	1228	563	791	1565	243	1354	804	2090	1952	1240	1385	1444	1121	269	375	232	94	497	450	144	180	219	159	713	154									
9	Число недействительных избирательных бюллетеней	34	0	0	0	0	0	0	0	1	0	14	0	0	0	1	0	0	0	0	0	0	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
10	Число действительных избирательных бюллетеней	37232	597	464	940	1093	1070	1303	1409	1154	1128	1115	1074	482	595	565	859	544	905	1031	868	1278	579	832	1610	249	1396	828	2099	1973	1243	1428	1470	1157	271	394	232	100	512	450	144	274	428	159	776	154									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	8	8	15	15	15	20	25	20	17	17	17	7	9	9	10	9	10	30	14	20	10	14	25	5	22	12	30	30	19	23	23	18	5	5	5	5	8	7	5	5	7	6	11	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	134	0	4	1	4	5	3	19	5	8	5	2	0	0	1	2	5	7	0	9	4	10	9	10	0	2	0	1	2	3	5	0	6	0	0	0	0	0	0	0	2	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	0	3	2	1	1	0	7	0	1	3	4	0	0	0	2	0	0	0	2	4	1	0	5	0	0	8	3	0	0	0	3	0	2	2	0	0	0	0	3	3	2	1	6	0									
14	Число погашенных неиспользованных открепительных удостоверений	466	8	4	14	11	10	17	6	15	9	12	15	7	9	8	8	4	3	30	5	16	0	5	15	5	20	12	29	28	16	18	23	12	5	5	5	5	8	7	5	3	7	6	11	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	9	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.18%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	23	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.17%	0.12%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.36%	0.23%	0.00%	0.00%	0.00%									
