Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Великолукская городская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	80628	1434	1488	1323	1367	1079	2004	1573	1588	2686	2315	2030	1652	1793	2317	1335	1967	913	2441	2332	1213	1077	1360	1083	2275	2701	2542	1144	899	2298	2715	771	1516	1661	1307	1793	2648	2866	2451	2727	2609	2256	2819	2260									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64400	1100	1200	1100	1100	800	1500	1200	1000	2100	1900	1700	1200	1400	1900	1000	1600	700	2000	2000	1000	1000	1100	900	1900	2200	1900	1000	700	1800	2200	600	1200	1300	1000	1400	2300	2300	2000	2200	2000	1800	2300	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31156	548	621	492	557	415	801	474	504	1030	915	832	658	743	877	594	868	331	905	962	457	397	596	458	926	1081	1121	442	256	931	966	320	561	641	433	708	1078	1254	965	1170	808	817	940	703									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	611	5	6	6	1	6	11	94	10	11	22	23	10	6	21	3	24	7	3	12	1	3	9	8	14	15	17	14	6	100	25	8	10	2	11	6	10	5	9	3	7	8	17	22									
6	Число погашенных избирательных бюллетеней	32633	547	573	602	542	379	688	632	486	1059	963	845	532	651	1002	403	708	362	1092	1026	542	600	495	434	960	1104	762	544	438	769	1209	272	629	657	556	686	1212	1041	1026	1027	1185	975	1343	1075									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	611	5	6	6	1	6	11	94	10	11	22	23	10	6	21	3	24	7	3	12	1	3	9	8	14	15	17	14	6	100	25	8	10	2	11	6	10	5	9	3	7	8	17	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31139	548	619	492	557	415	801	472	504	1030	915	830	658	743	876	594	868	331	905	962	457	397	596	457	926	1081	1117	442	256	930	964	320	561	641	433	707	1078	1254	965	1169	808	817	940	703									
9	Число недействительных избирательных бюллетеней	869	17	20	17	13	7	23	21	15	18	14	24	17	31	18	20	46	8	23	22	10	12	13	15	20	30	30	5	4	22	29	9	23	23	9	16	27	38	24	24	31	30	26	25									
10	Число действительных избирательных бюллетеней	30881	536	605	481	545	414	789	545	499	1023	923	829	651	718	879	577	846	330	885	952	448	388	592	450	920	1066	1104	451	258	1008	960	319	548	620	435	697	1061	1221	950	1148	784	795	931	700									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1290	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	293	2	4	8	5	5	8	1	6	6	8	10	7	6	10	11	9	1	11	9	7	3	4	4	15	12	12	3	3	9	9	1	5	9	3	4	9	7	13	7	9	7	6	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	215	1	2	0	2	7	20	3	2	11	3	9	5	2	3	5	0	3	3	4	4	0	1	7	6	5	11	6	3	5	5	3	6	4	5	1	14	10	5	2	4	11	7	5									
14	Число погашенных неиспользованных открепительных удостоверений	997	28	26	22	25	25	22	29	24	24	22	20	23	24	20	19	21	29	19	21	23	27	26	26	15	18	18	27	27	21	21	29	25	21	27	26	21	23	17	23	21	23	24	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	2	0	0	0	1	1	0	1	0	1	0	0	1	2	0	1	0	0	2	0	0	0	2	0	2	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	590	7	10	8	9	4	12	16	5	25	12	16	22	12	19	16	8	8	5	21	6	7	21	8	22	30	23	11	7	24	21	8	17	7	13	7	16	25	12	28	16	12	6	8									
		1.86%	1.27%	1.60%	1.61%	1.61%	0.95%	1.48%	2.83%	0.97%	2.40%	1.28%	1.88%	3.29%	1.60%	2.12%	2.68%	0.90%	2.37%	0.55%	2.16%	1.31%	1.75%	3.47%	1.72%	2.34%	2.74%	2.03%	2.41%	2.67%	2.33%	2.12%	2.44%	2.98%	1.09%	2.93%	0.98%	1.47%	1.99%	1.23%	2.39%	1.96%	1.45%	0.63%	1.10%									
