Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Лабинская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	75839	2866	2823	2385	2335	1594	2118	2055	1510	1844	1868	1127	1551	1118	894	1093	1264	1962	2763	1438	2450	2088	1588	1415	2432	2795	1380	1747	405	1374	1327	1749	1057	527	1448	1539	983	646	327	444	2312	1710	377	1618	650	781	334	399	1360	722	716	392	1329	382	428									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75229	2838	2529	2344	2297	1576	2103	2017	1488	1805	1952	1120	1519	1075	901	1099	1242	1964	2754	1408	2511	2075	1583	1398	2477	2731	1364	1769	412	1354	1315	1736	1043	541	1427	1501	989	648	324	455	2274	1699	386	1605	653	773	353	403	1357	725	736	404	1337	396	444									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26214	771	951	708	672	538	657	668	490	565	614	424	509	597	328	380	468	762	878	484	812	664	492	418	629	880	523	898	154	567	504	841	422	181	488	603	310	247	131	71	1030	581	84	574	219	204	97	178	403	220	384	134	452	144	211									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	7086	102	172	105	127	240	226	106	66	101	70	106	95	105	77	73	107	144	195	119	100	161	80	143	74	150	89	242	58	139	230	39	122	106	238	255	264	102	26	168	181	151	58	173	102	103	83	39	375	56	69	103	328	100	43									
6	Число погашенных избирательных бюллетеней	41929	1965	1406	1531	1498	798	1220	1243	932	1139	1268	590	915	373	496	646	667	1058	1681	805	1599	1250	1011	837	1774	1701	752	629	200	648	581	856	499	254	701	643	415	299	167	216	1063	967	244	858	332	466	173	186	579	449	283	167	557	152	190									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	7086	102	172	105	127	240	226	106	66	101	70	106	95	105	77	73	107	144	195	119	100	161	80	143	74	150	89	242	58	139	230	39	122	106	238	255	264	102	26	168	181	151	58	173	102	103	83	39	375	56	69	103	328	100	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26212	771	951	708	672	538	657	668	490	565	614	424	509	597	328	380	468	762	878	484	812	664	492	418	629	880	523	898	154	567	504	841	422	181	488	603	310	247	131	71	1028	581	84	574	219	204	97	178	403	220	384	134	452	144	211									
9	Число недействительных избирательных бюллетеней	595	15	23	18	17	14	26	20	11	8	9	7	7	9	0	10	4	19	16	12	18	12	9	14	23	33	18	19	8	16	10	50	18	5	0	0	7	1	4	0	19	7	0	0	6	8	3	2	10	3	8	0	12	5	2									
10	Число действительных избирательных бюллетеней	32703	858	1100	795	782	764	857	754	545	658	675	523	597	693	405	443	571	887	1057	591	894	813	563	547	680	997	594	1121	204	690	724	830	526	282	726	858	567	348	153	239	1190	725	142	747	315	299	177	215	768	273	445	237	768	239	252									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	816	29	26	24	24	16	22	21	26	19	20	15	16	11	10	17	13	20	28	15	30	22	17	15	25	28	14	14	5	14	14	18	11	6	15	16	10	7	4	5	24	18	4	17	7	8	8	4	14	7	17	4	14	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	562	13	26	13	4	16	20	10	17	7	20	14	7	6	6	14	7	19	28	14	26	17	17	15	20	28	14	14	5	14	3	7	3	6	15	2	1	5	0	5	4	8	4	17	2	0	7	0	4	1	17	4	14	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	387	7	10	6	6	9	6	4	1	14	5	4	10	24	7	4	13	3	10	5	6	3	6	3	15	24	6	95	4	12	0	0	0	0	13	1	0	4	2	3	2	5	1	1	3	10	3	2	1	1	2	0	10	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	254	16	0	11	20	0	2	11	9	12	0	1	9	5	4	3	6	1	0	1	4	5	0	0	5	0	0	0	0	0	11	11	8	0	0	14	9	2	4	0	20	10	0	0	5	8	1	4	10	6	0	0	0	2	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	1	1	2	1	3	0	0	0	2	0	0	0	1	2	1	4	2	2	1	0	1	4	0	0	2	2	4	0	0	0	0	0	1	1	0	0	0	0	1	1	3	0	0	0	1	0	0	1	0	0	0	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	576	25	23	15	23	13	22	8	11	10	15	4	16	22	5	8	13	7	23	14	28	17	14	9	23	19	16	11	4	6	10	11	23	5	9	16	3	0	0	3	7	12	1	11	2	4	2	1	4	0	11	1	13	0	3									
		1.73%	2.86%	2.05%	1.85%	2.88%	1.67%	2.49%	1.03%	1.98%	1.50%	2.19%	0.75%	2.65%	3.13%	1.23%	1.77%	2.26%	0.77%	2.14%	2.32%	3.07%	2.06%	2.45%	1.60%	3.27%	1.84%	2.61%	0.96%	1.89%	0.85%	1.36%	1.25%	4.23%	1.74%	1.24%	1.86%	0.52%	0.00%	0.00%	1.26%	0.58%	1.64%	0.70%	1.47%	0.62%	1.30%	1.11%	0.46%	0.51%	0.00%	2.43%	0.42%	1.67%	0.00%	1.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	920	34	34	33	31	24	25	30	9	8	16	9	12	17	17	15	16	26	39	15	39	14	15	23	24	37	24	18	6	10	16	17	11	11	23	20	11	6	9	6	29	33	3	18	8	8	10	3	24	9	6	3	4	4	8									
		2.76%	3.89%	3.03%	4.06%	3.88%	3.08%	2.83%	3.88%	1.62%	1.20%	2.34%	1.70%	1.99%	2.42%	4.20%	3.31%	2.78%	2.87%	3.63%	2.49%	4.28%	1.70%	2.62%	4.10%	3.41%	3.59%	3.92%	1.58%	2.83%	1.42%	2.18%	1.93%	2.02%	3.83%	3.17%	2.33%	1.92%	1.72%	5.73%	2.51%	2.40%	4.51%	2.11%	2.41%	2.49%	2.61%	5.56%	1.38%	3.08%	3.26%	1.32%	1.27%	0.51%	1.64%	3.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	768	19	24	28	29	22	21	20	13	18	17	10	30	23	10	9	18	17	23	13	20	19	14	24	16	21	19	23	7	19	9	9	6	10	17	14	7	15	4	6	20	13	3	12	4	5	2	5	19	6	2	3	10	6	15									
		2.31%	2.18%	2.14%	3.44%	3.63%	2.83%	2.38%	2.58%	2.34%	2.70%	2.49%	1.89%	4.97%	3.28%	2.47%	1.99%	3.13%	1.88%	2.14%	2.16%	2.19%	2.30%	2.45%	4.28%	2.28%	2.04%	3.10%	2.02%	3.30%	2.69%	1.23%	1.02%	1.10%	3.48%	2.34%	1.63%	1.22%	4.30%	2.55%	2.51%	1.65%	1.78%	2.11%	1.61%	1.25%	1.63%	1.11%	2.30%	2.44%	2.17%	0.44%	1.27%	1.28%	2.46%	5.91%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16508	390	520	335	313	361	469	320	294	333	256	268	256	309	211	211	276	447	487	256	382	391	236	240	277	411	256	684	92	461	464	398	243	113	400	436	370	174	63	116	801	380	76	390	226	160	117	146	454	112	273	145	427	137	145									
		49.58%	44.67%	46.30%	41.21%	39.17%	46.40%	53.11%	41.34%	52.88%	50.00%	37.43%	50.57%	42.38%	44.02%	52.10%	46.58%	48.00%	49.34%	45.39%	42.45%	41.89%	47.39%	41.26%	42.78%	39.40%	39.90%	41.83%	60.00%	43.40%	65.30%	63.22%	45.23%	44.67%	39.37%	55.10%	50.82%	64.46%	49.86%	40.13%	48.54%	66.25%	51.91%	53.52%	52.21%	70.40%	52.12%	65.00%	67.28%	58.35%	40.58%	60.26%	61.18%	54.74%	56.15%	57.09%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	238	5	8	2	4	3	6	5	7	6	6	3	10	13	4	4	5	2	5	3	8	10	2	6	4	12	6	15	0	2	3	6	5	3	4	5	3	2	3	1	8	5	0	7	2	1	0	2	5	2	2	0	1	0	2									
		0.71%	0.57%	0.71%	0.25%	0.50%	0.39%	0.68%	0.65%	1.26%	0.90%	0.88%	0.57%	1.66%	1.85%	0.99%	0.88%	0.87%	0.22%	0.47%	0.50%	0.88%	1.21%	0.35%	1.07%	0.57%	1.17%	0.98%	1.32%	0.00%	0.28%	0.41%	0.68%	0.92%	1.05%	0.55%	0.58%	0.52%	0.57%	1.91%	0.42%	0.66%	0.68%	0.00%	0.94%	0.62%	0.33%	0.00%	0.92%	0.64%	0.72%	0.44%	0.00%	0.13%	0.00%	0.79%									
24	"6. Политическая партия ""Гражданская Платформа"""	79	3	8	1	4	0	0	4	2	1	2	2	1	12	0	1	3	4	2	0	1	1	0	0	1	2	0	5	0	1	0	2	0	1	2	1	0	1	1	0	1	1	0	0	0	2	0	2	2	0	1	0	1	0	0									
		0.24%	0.34%	0.71%	0.12%	0.50%	0.00%	0.00%	0.52%	0.36%	0.15%	0.29%	0.38%	0.17%	1.71%	0.00%	0.22%	0.52%	0.44%	0.19%	0.00%	0.11%	0.12%	0.00%	0.00%	0.14%	0.19%	0.00%	0.44%	0.00%	0.14%	0.00%	0.23%	0.00%	0.35%	0.28%	0.12%	0.00%	0.29%	0.64%	0.00%	0.08%	0.14%	0.00%	0.00%	0.00%	0.65%	0.00%	0.92%	0.26%	0.00%	0.22%	0.00%	0.13%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5293	162	233	157	162	129	118	137	56	97	133	74	90	92	57	81	83	153	159	111	153	143	114	93	131	209	138	122	31	98	94	115	82	58	76	96	84	53	29	50	158	127	22	133	34	51	20	25	135	64	48	30	123	34	36									
