Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Липецкая																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749					
1	"Число избирателей, внесенных в списки избирателей"	38333	1547	1408	1584	606	517	1844	593	1043	710	492	445	1357	437	606	214	898	1300	576	663	1356	901	1119	838	843	174	1723	481	734	304	322	389	563	1721	164	149	220	150	196	105	1468	1390	2000	1922	354	126	1568	213					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37298	1471	1393	1556	588	504	1771	590	993	716	483	449	1289	422	578	204	852	1277	541	640	1331	879	1097	835	845	169	1730	476	678	278	314	377	559	1647	158	146	216	151	193	102	1407	1378	1984	1784	355	121	1559	212					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21695	1049	946	1057	382	222	889	361	487	453	277	270	741	266	363	111	524	911	349	365	680	381	544	451	497	102	1011	254	523	192	213	231	340	1156	97	105	113	94	124	40	643	596	917	959	212	72	1024	101					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3955	55	156	117	63	175	267	75	129	88	82	100	95	47	107	43	120	94	86	72	146	94	126	90	79	23	119	50	59	27	45	44	79	125	40	18	57	33	18	35	68	79	190	122	68	31	79	40					
6	Число погашенных избирательных бюллетеней	11647	367	291	382	143	107	615	154	377	175	124	79	453	109	108	50	207	272	106	203	505	404	427	294	269	44	600	172	96	59	56	102	140	366	21	23	46	24	51	27	696	703	877	703	75	18	456	71					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3955	55	156	117	63	175	267	75	129	88	82	100	95	47	107	43	120	94	86	72	146	94	126	90	79	23	119	50	59	27	45	44	79	125	40	18	57	33	18	35	68	79	190	122	68	31	79	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21694	1049	946	1057	382	222	889	361	487	453	277	270	741	266	363	111	524	911	349	365	680	381	544	451	497	102	1011	254	523	192	213	231	340	1156	97	105	113	94	124	40	643	596	917	958	212	72	1024	101					
9	Число недействительных избирательных бюллетеней	300	9	9	16	2	5	10	2	12	4	5	4	12	7	5	4	8	9	3	6	9	9	9	12	10	3	20	4	4	0	0	3	3	9	0	3	2	0	0	1	8	14	22	10	0	0	11	2					
10	Число действительных избирательных бюллетеней	25349	1095	1093	1158	443	392	1146	434	604	537	354	366	824	306	465	150	636	996	432	431	817	466	661	529	566	122	1110	300	578	219	258	272	416	1272	137	120	168	127	142	74	703	661	1085	1070	280	103	1092	139					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	376	5	5	5	5	5	10	6	9	10	5	8	15	5	7	2	10	15	5	10	15	10	10	10	10	2	20	5	7	3	3	5	5	15	2	2	2	2	2	2	15	15	14	14	3	3	36	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	231	1	0	4	0	0	10	6	7	6	4	8	5	3	7	0	6	7	3	9	1	4	7	2	6	0	20	2	7	0	1	1	5	11	0	1	1	0	1	1	6	7	12	12	0	0	36	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	218	5	3	7	12	7	4	4	5	2	7	6	3	5	7	3	12	2	8	6	4	3	7	7	4	2	2	3	7	1	4	2	6	3	4	6	6	0	3	1	5	6	6	2	0	3	9	4					
14	Число погашенных неиспользованных открепительных удостоверений	145	4	5	1	5	5	0	0	2	4	1	0	10	2	0	2	4	8	2	1	14	6	3	8	4	2	0	3	0	3	2	4	0	4	2	1	1	2	1	1	9	8	2	2	3	3	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
18	1.Политическая партия «Аграрная партия России»	478	21	19	18	8	9	31	9	6	7	6	8	11	5	13	3	12	20	10	5	7	6	12	11	20	2	28	9	8	3	2	2	6	15	0	0	6	2	4	4	15	11	19	22	8	0	31	4					
		1.86%	1.90%	1.72%	1.53%	1.80%	2.27%	2.68%	2.06%	0.97%	1.29%	1.67%	2.16%	1.32%	1.60%	2.77%	1.95%	1.86%	1.99%	2.30%	1.14%	0.85%	1.26%	1.79%	2.03%	3.47%	1.60%	2.48%	2.96%	1.37%	1.37%	0.78%	0.73%	1.43%	1.17%	0.00%	0.00%	3.53%	1.57%	2.82%	5.33%	2.11%	1.63%	1.72%	2.04%	2.86%	0.00%	2.81%	2.84%					
19	2.Всероссийская политическая партия «Гражданская Сила»	138	7	0	8	1	2	7	2	2	4	3	2	6	1	1	1	4	3	2	2	7	8	2	4	5	1	10	0	0	0	1	1	3	9	1	0	0	0	0	0	6	4	5	7	0	0	4	2					
		0.54%	0.63%	0.00%	0.68%	0.22%	0.50%	0.61%	0.46%	0.32%	0.74%	0.84%	0.54%	0.72%	0.32%	0.21%	0.65%	0.62%	0.30%	0.46%	0.46%	0.85%	1.68%	0.30%	0.74%	0.87%	0.80%	0.88%	0.00%	0.00%	0.00%	0.39%	0.36%	0.72%	0.70%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.59%	0.45%	0.65%	0.00%	0.00%	0.36%	1.42%					
20	3.Политическая партия «Демократическая партия России»	36	1	2	0	0	0	7	2	1	0	1	0	0	0	0	1	0	3	0	0	1	0	2	1	1	0	1	0	3	1	1	0	1	0	0	0	0	0	0	0	0	2	1	0	2	0	1	0					
		0.14%	0.09%	0.18%	0.00%	0.00%	0.00%	0.61%	0.46%	0.16%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.30%	0.00%	0.00%	0.12%	0.00%	0.30%	0.18%	0.17%	0.00%	0.09%	0.00%	0.52%	0.46%	0.39%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.09%	0.00%	0.71%	0.00%	0.09%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2918	155	151	167	50	46	187	69	51	49	66	33	109	28	55	17	75	95	49	89	64	37	85	70	58	13	122	21	37	32	25	22	35	135	10	4	18	3	7	12	69	58	110	123	36	8	141	22					
		11.38%	14.04%	13.70%	14.22%	11.24%	11.59%	16.18%	15.83%	8.28%	9.06%	18.38%	8.92%	13.04%	8.95%	11.70%	11.04%	11.65%	9.45%	11.26%	20.37%	7.75%	7.79%	12.69%	12.94%	10.07%	10.40%	10.80%	6.91%	6.36%	14.61%	9.69%	8.00%	8.35%	10.54%	7.30%	3.25%	10.59%	2.36%	4.93%	16.00%	9.70%	8.59%	9.94%	11.39%	12.86%	7.77%	12.78%	15.60%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	79	4	3	0	0	0	0	1	2	0	2	1	0	0	2	0	3	7	1	0	6	1	3	3	1	1	3	1	0	0	0	5	1	3	1	0	0	0	0	0	8	5	3	2	1	0	5	0					
		0.31%	0.36%	0.27%	0.00%	0.00%	0.00%	0.00%	0.23%	0.32%	0.00%	0.56%	0.27%	0.00%	0.00%	0.43%	0.00%	0.47%	0.70%	0.23%	0.00%	0.73%	0.21%	0.45%	0.55%	0.17%	0.80%	0.27%	0.33%	0.00%	0.00%	0.00%	1.82%	0.24%	0.23%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	1.13%	0.74%	0.27%	0.19%	0.36%	0.00%	0.45%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	54	3	2	1	0	0	0	0	1	0	0	0	1	1	2	1	1	3	0	1	2	2	2	2	1	0	3	2	1	0	0	0	0	3	0	0	1	0	1	0	1	5	4	5	1	0	1	0					
		0.21%	0.27%	0.18%	0.09%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.12%	0.32%	0.43%	0.65%	0.16%	0.30%	0.00%	0.23%	0.24%	0.42%	0.30%	0.37%	0.17%	0.00%	0.27%	0.66%	0.17%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.59%	0.00%	0.70%	0.00%	0.14%	0.74%	0.36%	0.46%	0.36%	0.00%	0.09%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2391	113	100	128	42	29	93	40	68	50	38	46	105	34	43	24	59	76	41	44	57	45	43	53	59	16	102	35	60	23	23	9	56	93	11	5	17	11	13	0	74	75	96	99	16	5	110	12					
		9.32%	10.24%	9.07%	10.90%	9.44%	7.30%	8.04%	9.17%	11.04%	9.24%	10.58%	12.43%	12.56%	10.86%	9.15%	15.58%	9.16%	7.56%	9.43%	10.07%	6.90%	9.47%	6.42%	9.80%	10.24%	12.80%	9.03%	11.51%	10.31%	10.50%	8.91%	3.27%	13.37%	7.26%	8.03%	4.07%	10.00%	8.66%	9.15%	0.00%	10.41%	11.11%	8.67%	9.17%	5.71%	4.85%	9.97%	8.51%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1671	99	62	100	34	22	91	47	47	16	32	18	53	16	30	15	39	49	22	19	58	32	26	27	29	5	85	14	22	14	14	10	30	68	5	11	4	2	10	6	70	53	91	90	8	4	70	2					
		6.51%	8.97%	5.63%	8.52%	7.64%	5.54%	7.87%	10.78%	7.63%	2.96%	8.91%	4.86%	6.34%	5.11%	6.38%	9.74%	6.06%	4.88%	5.06%	4.35%	7.02%	6.74%	3.88%	4.99%	5.03%	4.00%	7.52%	4.61%	3.78%	6.39%	5.43%	3.64%	7.16%	5.31%	3.65%	8.94%	2.35%	1.57%	7.04%	8.00%	9.85%	7.85%	8.22%	8.33%	2.86%	3.88%	6.35%	1.42%					
