Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Белоглинская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23382	1927	1245	1467	744	1218	1774	1556	1656	1488	97	475	861	351	127	1957	1396	673	782	1420	1592	576									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24245	1993	1284	1508	769	1246	1826	1580	1690	1517	114	515	935	387	142	2040	1451	722	802	1474	1658	592									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13307	822	728	1022	362	713	1018	636	1210	539	82	333	675	251	97	1239	887	386	361	773	800	373									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2181	268	99	50	102	77	103	110	95	120	3	20	64	32	7	147	124	90	161	129	320	60									
6	Число погашенных избирательных бюллетеней	8757	903	457	436	305	456	705	834	385	858	29	162	196	104	38	654	440	246	280	572	538	159									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2181	268	99	50	102	77	103	110	95	120	3	20	64	32	7	147	124	90	161	129	320	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13307	822	728	1022	362	713	1018	636	1210	539	82	333	675	251	97	1239	887	386	361	773	800	373									
9	Число недействительных избирательных бюллетеней	237	9	12	20	2	6	35	11	11	17	0	0	5	2	4	20	51	4	4	15	3	6									
10	Число действительных избирательных бюллетеней	15251	1081	815	1052	462	784	1086	735	1294	642	85	353	734	281	100	1366	960	472	518	887	1117	427									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	586	40	20	15	15	20	35	20	24	15	20	30	50	35	20	45	35	38	23	25	45	16									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	586	40	20	15	15	20	35	20	24	15	20	30	50	35	20	45	35	38	23	25	45	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	3	1	1	1	1	0	4	9	4	4	0	2	1	2	8	1	6	2	0	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
