Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Агидельская городская												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419					
1	"Число избирателей, внесенных в списки"	12407	1899	2724	2769	2374	2641					
2	"Число бюллетеней, полученных участковыми комиссиями"	12223	1807	2721	2709	2356	2630					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8875	1382	1958	2061	1676	1798					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	62	12	14	17	5	14					
6	Число погашенных бюллетеней	3285	413	748	631	675	818					
7	Число бюллетеней в переносных ящиках для голосования	62	12	14	17	5	14					
8	Число бюллетеней в стационарных ящиках для голосования	8875	1382	1958	2061	1676	1798					
9	Число недействительных бюллетеней	151	41	30	23	30	27					
10	Число действительных бюллетеней	8786	1353	1942	2055	1651	1785					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	789	157	157	157	158	160					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	429	61	118	69	91	90					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	13	13	17	14	29					
14	Число погашенных открепительных удостоверений	360	96	39	88	67	70					
15	Число открепительных удостоверений выданных ТИК	11	1	3	3	3	1					
16	Число утраченных бюллетеней	1	0	1	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	222	39	50	60	31	42					
		2.48%	2.79%	2.53%	2.88%	1.84%	2.31%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	341	74	76	79	52	60					
		3.81%	5.30%	3.85%	3.80%	3.09%	3.31%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	235	38	55	51	48	43					
		2.62%	2.72%	2.78%	2.45%	2.85%	2.37%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	312	55	70	71	53	63					
		3.49%	3.94%	3.54%	3.41%	3.15%	3.47%					
22	"5. ""За Русь Святую"""	11	3	2	2	4	0					
		0.12%	0.21%	0.10%	0.09%	0.23%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	28	3	4	8	5	8					
		0.31%	0.21%	0.20%	0.38%	0.29%	0.44%					
24	"7. ""Новый курс - Автомобильная Россия"""	102	18	27	20	15	22					
		1.14%	1.29%	1.36%	0.96%	0.89%	1.21%					
25	"8. ""Народно-республиканская партия России"""	19	3	2	3	6	5					
		0.21%	0.21%	0.10%	0.14%	0.35%	0.27%					
26	"9. ""Российская экологическая партия ""Зеленые"""	32	5	7	7	6	7					
		0.35%	0.35%	0.35%	0.33%	0.35%	0.38%					
27	"10. ""Аграрная партия России"""	293	52	66	77	46	52					
		3.27%	3.73%	3.34%	3.70%	2.73%	2.86%					
28	"11. ""Истинные патриоты России"""	39	0	3	15	16	5					
		0.43%	0.0%	0.15%	0.72%	0.95%	0.27%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	70	5	13	16	18	18					
		0.78%	0.35%	0.65%	0.76%	1.07%	0.99%					
30	"13. ""Демократическая партия России"""	21	3	3	9	3	3					
		0.23%	0.21%	0.15%	0.43%	0.17%	0.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	0	6	5	3	2					
		0.17%	0.0%	0.30%	0.24%	0.17%	0.11%					
32	"15. ""Партия СЛОН"""	20	4	4	4	4	4					
		0.22%	0.28%	0.20%	0.19%	0.23%	0.22%					
33	"16. ""Родина"" (народно-патриотический союз)"""	502	80	97	135	99	91					
		5.61%	5.73%	4.91%	6.49%	5.88%	5.02%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	30	5	5	7	2	11					
		0.33%	0.35%	0.25%	0.33%	0.11%	0.60%					
35	"18. ""ЛДПР"""	879	133	194	187	181	184					
		9.83%	9.54%	9.83%	8.99%	10.76%	10.15%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	148	30	33	31	27	27					
		1.65%	2.15%	1.67%	1.49%	1.60%	1.49%					
37	"20. ""Политическая партия ""Единая Россия"""	3570	483	778	852	663	794					
		39.94%	34.64%	39.45%	41.00%	39.44%	43.81%					
38	"21. ""Российская Конституционно-демократическая партия"""	17	1	6	6	1	3					
		0.19%	0.07%	0.30%	0.28%	0.05%	0.16%					
39	"22. ""Развитие предпринимательства"""	34	3	11	5	9	6					
		0.38%	0.21%	0.55%	0.24%	0.53%	0.33%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1463	231	349	330	284	269					
		16.37%	16.57%	17.69%	15.88%	16.89%	14.84%					
												
41	Против всех	382	85	81	75	75	66					
		4.27%	6.09%	4.10%	3.60%	4.46%	3.64%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
