Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Петушинская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206					
1	"Число избирателей, внесенных в списки"	56196	558	1668	1775	425	1372	1779	1800	1516	1230	562	711	892	463	195	287	495	957	491	374	603	705	840	166	909	413	177	184	118	345	221	234	167	2558	514	1545	1681	1634	1209	2728	2743	1429	1189	1413	892	381	2658	2554	632	351	348	294	264	123	261	249	213	730	2398	2573					
2	"Число бюллетеней, полученных участковыми комиссиями"	55528	545	1670	1760	410	1360	1770	1800	1470	1230	550	690	870	490	195	280	500	945	500	375	560	690	840	172	920	400	205	182	120	325	220	224	156	2425	535	1490	1660	1620	1200	2700	2750	1400	1175	1460	870	370	2600	2530	607	360	348	285	260	124	230	240	210	705	2400	2550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23584	232	750	655	158	519	826	820	517	470	215	308	363	150	89	148	272	395	215	101	278	215	363	56	396	240	74	114	62	151	93	106	81	1069	178	498	668	665	489	1170	1162	618	646	621	304	172	1252	1205	310	91	123	122	123	62	101	102	78	288	1093	942					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1798	33	24	31	20	18	19	14	65	68	15	6	9	41	20	11	0	66	35	68	9	58	28	53	33	15	14	0	6	71	35	12	13	42	0	51	24	95	23	14	20	26	25	31	11	7	26	42	41	53	73	14	17	14	44	44	46	51	15	39					
6	Число погашенных бюллетеней	30146	280	896	1074	232	823	925	966	888	692	320	376	498	299	86	121	228	484	250	206	273	417	449	63	491	145	117	68	52	103	92	106	62	1314	357	941	968	860	688	1516	1568	756	504	808	555	191	1322	1283	256	216	152	149	120	48	85	94	86	366	1292	1569					
7	Число бюллетеней в переносных ящиках для голосования	1798	33	24	31	20	18	19	14	65	68	15	6	9	41	20	11	0	66	35	68	9	58	28	53	33	15	14	0	6	71	35	12	13	42	0	51	24	95	23	14	20	26	25	31	11	7	26	42	41	53	73	14	17	14	44	44	46	51	15	39					
8	Число бюллетеней в стационарных ящиках для голосования	23527	232	750	655	158	519	825	819	517	470	215	308	363	150	89	148	271	395	215	101	278	215	363	56	396	240	74	114	62	151	93	106	81	1069	178	498	668	665	489	1156	1162	618	646	621	304	172	1214	1205	309	91	123	122	123	62	101	102	78	288	1092	942					
9	Число недействительных бюллетеней	406	4	9	8	0	7	13	10	4	9	3	3	13	1	7	4	3	13	3	3	1	0	7	0	7	1	1	2	0	1	0	2	3	14	0	10	6	11	17	19	37	13	13	8	4	6	25	10	8	2	3	3	2	0	0	0	3	7	32	11					
10	Число действительных бюллетеней	24919	261	765	678	178	530	831	823	578	529	227	311	359	190	102	155	268	448	247	166	286	273	384	109	422	254	87	112	68	221	128	116	91	1097	178	539	686	749	495	1151	1145	631	658	644	311	173	1215	1237	342	142	193	133	138	76	145	146	121	332	1075	970					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	620	10	20	10	10	10	30	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	188	2	16	7	1	5	13	9	3	1	0	2	2	1	0	1	4	2	3	0	5	0	3	1	4	3	0	0	0	3	0	0	0	10	0	4	7	6	4	5	10	3	5	3	1	0	7	10	0	3	1	1	0	1	1	3	0	0	5	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	220	1	6	7	6	4	0	1	6	3	2	1	2	0	2	3	3	1	5	1	7	1	3	3	3	1	1	0	0	4	1	3	4	9	1	3	6	7	8	1	3	3	1	3	4	2	17	5	0	5	2	2	3	1	33	1	0	3	4	8					
14	Число погашенных открепительных удостоверений	432	8	4	3	9	5	17	1	7	9	10	8	8	9	10	9	6	8	7	10	5	10	7	9	6	7	10	10	10	7	10	10	10	0	10	6	3	4	6	5	0	7	5	7	9	10	3	0	10	7	9	9	10	9	9	7	10	10	5	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	"1. ""ЕДИНЕНИЕ"""	238	0	10	1	4	2	6	7	1	1	2	2	3	1	0	1	4	5	1	4	2	1	9	3	6	1	1	5	2	2	0	5	0	12	1	4	8	4	2	14	8	12	2	6	3	4	11	11	2	2	6	3	2	1	3	3	1	5	10	6					
		0.93%	0.0%	1.29%	0.14%	2.24%	0.37%	0.71%	0.84%	0.17%	0.18%	0.86%	0.63%	0.80%	0.52%	0.0%	0.62%	1.47%	1.08%	0.4%	2.36%	0.69%	0.36%	2.30%	2.75%	1.39%	0.39%	1.13%	4.38%	2.94%	0.90%	0.0%	4.23%	0.0%	1.08%	0.56%	0.72%	1.15%	0.52%	0.39%	1.19%	0.67%	1.86%	0.29%	0.92%	0.95%	2.23%	0.88%	0.88%	0.57%	1.38%	3.06%	2.20%	1.42%	1.31%	2.06%	2.05%	0.80%	1.47%	0.90%	0.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	591	1	14	13	7	14	23	24	19	7	2	7	2	5	0	3	9	6	8	2	3	6	3	2	8	8	2	1	1	1	1	1	0	27	2	15	12	14	14	37	34	13	17	14	14	5	46	45	4	5	5	3	0	0	6	0	3	3	26	24					
		2.33%	0.37%	1.80%	1.89%	3.93%	2.60%	2.72%	2.88%	3.26%	1.30%	0.86%	2.22%	0.53%	2.61%	0.0%	1.88%	3.32%	1.30%	3.2%	1.18%	1.04%	2.19%	0.76%	1.83%	1.86%	3.13%	2.27%	0.87%	1.47%	0.45%	0.78%	0.84%	0.0%	2.43%	1.12%	2.73%	1.73%	1.84%	2.73%	3.16%	2.87%	2.01%	2.53%	2.14%	4.44%	2.79%	3.70%	3.60%	1.14%	3.47%	2.55%	2.20%	0.0%	0.0%	4.13%	0.0%	2.41%	0.88%	2.34%	2.44%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1382	24	39	56	20	53	38	53	37	27	7	12	19	17	1	6	26	20	13	3	11	10	7	5	38	12	2	5	5	21	6	8	4	42	13	30	33	37	20	72	71	36	59	49	14	5	75	59	15	5	9	7	7	1	5	4	6	10	56	37					
