Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Киренская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934					
1	"Число избирателей, внесенных в список избирателей"	17534	54	29	783	340	571	1215	1661	1373	1148	930	416	143	1549	1702	116	601	99	525	82	1315	955	163	59	267	136	74	103	448	344	43	24	55	127	84					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17812	83	34	799	365	570	1238	1673	1411	1175	881	417	149	1534	1714	122	615	94	529	85	1327	953	167	57	272	133	79	111	466	345	45	28	71	137	133					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7508	54	26	329	229	228	537	708	518	450	410	164	68	750	631	60	241	53	270	57	516	289	64	37	133	46	40	51	147	183	27	12	26	96	58					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	672	0	0	89	23	40	27	27	37	26	76	21	8	38	17	8	34	7	15	2	56	43	5	2	12	4	3	1	31	7	0	0	1	4	8					
6	Число погашенных избирательных бюллетеней	9632	29	8	381	113	302	674	938	856	699	395	232	73	746	1066	54	340	34	244	26	755	621	98	18	127	83	36	59	288	155	18	16	44	37	67					
7	Число избирательных бюллетеней в переносных ящиках для голосования	672	0	0	89	23	40	27	27	37	26	76	21	8	38	17	8	34	7	15	2	56	43	5	2	12	4	3	1	31	7	0	0	1	4	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7506	54	26	329	229	228	537	708	517	450	410	164	68	750	631	60	241	53	270	57	515	289	64	37	133	46	40	51	147	183	27	12	26	96	58					
9	Число недействительных избирательных бюллетеней	132	0	0	4	4	3	7	14	11	4	12	5	2	14	7	1	6	2	8	0	15	3	2	1	0	1	0	0	0	3	0	1	0	2	0					
10	Число действительных избирательных бюллетеней	8046	54	26	414	248	265	557	721	543	472	474	180	74	774	641	67	269	58	277	59	556	329	67	38	145	49	43	52	178	187	27	11	27	98	66					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	286	6	5	10	17	7	15	15	15	11	9	7	5	15	15	5	7	5	10	5	10	10	5	5	9	5	5	5	17	10	3	3	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	174	0	4	7	17	2	10	14	9	11	6	0	1	13	8	5	7	0	2	4	7	7	2	0	1	0	4	5	17	3	2	1	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	80	1	3	2	1	1	3	2	3	5	12	0	1	5	4	2	5	4	1	1	1	0	1	3	0	5	3	1	1	4	1	1	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	112	6	1	3	0	5	5	1	6	0	3	7	4	2	7	0	0	5	8	1	3	3	3	5	8	5	1	0	0	7	1	2	5	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	1	2	3	0	2	2	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1211	2	3	47	41	31	79	138	89	75	92	19	10	134	88	4	25	10	48	8	99	49	8	1	23	1	1	13	31	27	0	1	3	9	2					
		14.81%	3.70%	11.54%	11.24%	16.27%	11.57%	14.01%	18.78%	16.06%	15.76%	18.93%	10.27%	13.16%	17.01%	13.58%	5.88%	9.09%	16.67%	16.84%	13.56%	17.34%	14.76%	11.59%	2.56%	15.86%	2.00%	2.33%	25.00%	17.42%	14.21%	0.00%	8.33%	11.11%	9.00%	3.03%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1792	8	2	64	42	64	153	195	123	99	116	48	19	135	164	13	63	13	49	8	106	80	14	4	38	4	8	16	36	51	13	2	4	14	24					
		21.91%	14.81%	7.69%	15.31%	16.67%	23.88%	27.13%	26.53%	22.20%	20.80%	23.87%	25.95%	25.00%	17.13%	25.31%	19.12%	22.91%	21.67%	17.19%	13.56%	18.56%	24.10%	20.29%	10.26%	26.21%	8.00%	18.60%	30.77%	20.22%	26.84%	48.15%	16.67%	14.81%	14.00%	36.36%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	99	0	0	4	7	0	5	15	8	4	6	1	0	12	11	1	0	0	5	0	7	2	1	1	4	0	0	0	1	2	0	0	1	1	0					
		1.21%	0.00%	0.00%	0.96%	2.78%	0.00%	0.89%	2.04%	1.44%	0.84%	1.23%	0.54%	0.00%	1.52%	1.70%	1.47%	0.00%	0.00%	1.75%	0.00%	1.23%	0.60%	1.45%	2.56%	2.76%	0.00%	0.00%	0.00%	0.56%	1.05%	0.00%	0.00%	3.70%	1.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1397	2	8	91	20	36	117	118	116	74	76	28	2	188	114	9	34	2	35	4	129	64	7	0	17	4	1	3	34	48	0	3	2	8	3					
		17.08%	3.70%	30.77%	21.77%	7.94%	13.43%	20.74%	16.05%	20.94%	15.55%	15.64%	15.14%	2.63%	23.86%	17.59%	13.24%	12.36%	3.33%	12.28%	6.78%	22.59%	19.28%	10.14%	0.00%	11.72%	8.00%	2.33%	5.77%	19.10%	25.26%	0.00%	25.00%	7.41%	8.00%	4.55%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	142	0	0	1	2	2	13	22	15	18	6	3	2	18	9	1	3	0	6	0	6	4	1	0	4	0	0	0	0	2	1	0	1	2	0					
