Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Новодеревеньковская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9118	1909	1715	262	271	289	378	436	191	215	215	499	220	398	156	210	497	348	142	235	230	302									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9300	1898	1736	263	273	289	398	456	201	226	227	518	228	409	165	223	504	357	142	235	234	318									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4675	880	730	130	171	180	197	230	118	117	135	211	123	245	97	100	313	207	67	141	122	161									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	839	37	42	47	20	53	87	77	21	11	21	120	22	47	10	8	43	69	19	21	27	37									
6	Число погашенных избирательных бюллетеней	3786	981	964	86	82	56	114	149	62	98	71	187	83	117	58	115	148	81	56	73	85	120									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	839	37	42	47	20	53	87	77	21	11	21	120	22	47	10	8	43	69	19	21	27	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4675	880	730	130	171	180	197	230	118	117	135	211	123	245	97	100	313	207	67	141	122	161									
9	Число недействительных избирательных бюллетеней	85	13	9	1	2	0	2	0	5	4	3	6	5	1	3	9	2	4	3	8	3	2									
10	Число действительных избирательных бюллетеней	5429	904	763	176	189	233	282	307	134	124	153	325	140	291	104	99	354	272	83	154	146	196									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	177	14	15	7	7	7	9	15	7	7	8	10	7	10	5	7	10	5	5	8	7	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	123	8	15	1	2	0	9	15	3	7	8	7	7	7	0	7	1	5	1	8	7	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	4	1	3	0	2	1	1	1	1	0	4	5	2	2	2	0	0	2	1	5	3									
14	Число погашенных неиспользованных открепительных удостоверений	54	6	0	6	5	7	0	0	4	0	0	3	0	3	5	0	9	0	4	0	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	4	4	0	1	0	0	1	2	0	1	2	1	0	1	2	0	0	0	0	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	40	9	6	0	0	3	0	3	0	1	0	3	0	2	1	1	5	1	3	0	0	2									
