Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Шумерлинская городская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25546	1130	1146	1378	1399	1172	1241	1386	1312	1268	1169	1251	1269	1297	1299	1208	1317	1357	1348	511	808	612	668									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25800	1138	1170	1389	1395	1180	1251	1386	1346	1277	1236	1263	1283	1309	1312	1212	1316	1371	1348	510	816	610	682									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10619	498	509	573	534	498	510	545	538	533	522	539	551	561	607	479	551	517	582	232	307	225	208									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	445	23	19	9	40	27	7	13	22	15	33	20	17	21	17	10	28	49	22	4	24	4	21									
6	Число погашенных избирательных бюллетеней	14736	617	642	807	821	655	734	828	786	729	681	704	715	727	688	723	737	805	744	274	485	381	453									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	445	23	19	9	40	27	7	13	22	15	33	20	17	21	17	10	28	49	22	4	24	4	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10618	498	509	573	534	498	510	545	538	533	522	539	551	561	607	478	551	517	582	232	307	225	208									
9	Число недействительных избирательных бюллетеней	407	21	12	18	23	30	19	20	16	27	24	20	18	22	18	15	17	13	26	7	18	15	8									
10	Число действительных избирательных бюллетеней	10656	500	516	564	551	495	498	538	544	521	531	539	550	560	606	473	562	553	578	229	313	214	221									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	705	30	30	30	30	30	35	35	35	35	35	35	35	35	35	35	35	35	35	25	25	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	179	14	8	14	7	15	5	10	5	8	11	6	7	11	12	4	10	15	1	0	10	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	64	2	2	0	2	6	1	5	10	2	3	1	6	4	3	6	0	3	3	0	3	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	526	16	22	16	23	15	30	25	30	27	24	29	28	24	23	31	25	20	34	25	15	22	22									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	95	3	7	8	7	5	5	3	9	7	3	5	4	3	4	4	7	1	2	0	4	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	88	1	3	6	3	2	3	6	5	2	2	11	5	7	7	2	6	3	5	1	6	1	1									
		0.80%	0.19%	0.57%	1.03%	0.52%	0.38%	0.58%	1.08%	0.89%	0.36%	0.36%	1.97%	0.88%	1.20%	1.12%	0.41%	1.04%	0.53%	0.83%	0.42%	1.81%	0.44%	0.44%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	210	8	5	14	8	9	8	10	5	11	16	15	15	13	15	5	12	8	14	5	4	6	4									
		1.90%	1.54%	0.95%	2.41%	1.39%	1.71%	1.55%	1.79%	0.89%	2.01%	2.88%	2.68%	2.64%	2.23%	2.40%	1.02%	2.07%	1.41%	2.32%	2.12%	1.21%	2.62%	1.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	235	9	11	9	14	18	7	5	12	13	11	8	20	22	16	6	18	9	15	1	2	4	5									
		2.12%	1.73%	2.08%	1.55%	2.44%	3.43%	1.35%	0.90%	2.14%	2.37%	1.98%	1.43%	3.52%	3.78%	2.56%	1.23%	3.11%	1.59%	2.48%	0.42%	0.60%	1.75%	2.18%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5285	288	260	319	314	242	244	284	263	249	260	246	235	248	293	218	259	300	267	120	157	108	111									
		47.77%	55.28%	49.24%	54.81%	54.70%	46.10%	47.20%	50.90%	46.96%	45.44%	46.85%	44.01%	41.37%	42.61%	46.96%	44.67%	44.73%	53.00%	44.21%	50.85%	47.43%	47.16%	48.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	51	0	2	2	4	0	4	3	0	4	1	2	4	6	4	2	3	3	4	1	1	0	1									
		0.46%	0.00%	0.38%	0.34%	0.70%	0.00%	0.77%	0.54%	0.00%	0.73%	0.18%	0.36%	0.70%	1.03%	0.64%	0.41%	0.52%	0.53%	0.66%	0.42%	0.30%	0.00%	0.44%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	1	3	0	0	1	1	1	2	1	2	0	2	1	0	1	1	1	0	0	1	0	0									
		0.17%	0.19%	0.57%	0.00%	0.00%	0.19%	0.19%	0.18%	0.36%	0.18%	0.36%	0.00%	0.35%	0.17%	0.00%	0.20%	0.17%	0.18%	0.00%	0.00%	0.30%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1679	76	72	89	79	73	94	80	108	74	92	77	61	85	92	70	74	85	114	44	42	52	46									
		15.18%	14.59%	13.64%	15.29%	13.76%	13.90%	18.18%	14.34%	19.29%	13.50%	16.58%	13.77%	10.74%	14.60%	14.74%	14.34%	12.78%	15.02%	18.87%	18.64%	12.69%	22.71%	20.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	53	2	3	1	4	3	5	2	1	3	3	2	3	6	3	5	0	6	0	0	0	0	1									
		0.48%	0.38%	0.57%	0.17%	0.70%	0.57%	0.97%	0.36%	0.18%	0.55%	0.54%	0.36%	0.53%	1.03%	0.48%	1.02%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.44%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	59	4	2	1	4	3	2	6	4	3	2	3	6	2	2	1	1	4	6	1	2	0	0									
		0.53%	0.77%	0.38%	0.17%	0.70%	0.57%	0.39%	1.08%	0.71%	0.55%	0.36%	0.54%	1.06%	0.34%	0.32%	0.20%	0.17%	0.71%	0.99%	0.42%	0.60%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0									
		0.06%	0.00%	0.19%	0.00%	0.00%	0.19%	0.00%	0.18%	0.18%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	74	1	2	5	3	2	3	5	3	4	4	5	4	7	3	6	4	4	6	0	1	0	2									
		0.67%	0.19%	0.38%	0.86%	0.52%	0.38%	0.58%	0.90%	0.54%	0.73%	0.72%	0.89%	0.70%	1.20%	0.48%	1.23%	0.69%	0.71%	0.99%	0.00%	0.30%	0.00%	0.87%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1955	70	98	72	84	92	89	85	93	104	90	117	126	97	110	103	152	98	113	46	55	25	36									
		17.67%	13.44%	18.56%	12.37%	14.63%	17.52%	17.21%	15.23%	16.61%	18.98%	16.22%	20.93%	22.18%	16.67%	17.63%	21.11%	26.25%	17.31%	18.71%	19.49%	16.62%	10.92%	15.72%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	0	2	3	2	1	2	1	3	3	1	1	3	8	2	2	1	5	0	2	3	2	0									
