Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Новоуральская городская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332					
1	"Число избирателей, внесенных в списки"	79626	1914	2050	1643	2545	2446	2372	1566	1343	1849	2099	728	1314	1428	1772	2661	2412	2573	2651	2676	2703	2856	2842	1869	1740	2050	1816	1898	1707	1737	1566	1596	2349	2597	2043	2823	2762	273	1176	227	994	1960					
2	"Число бюллетеней, полученных участковыми комиссиями"	78067	1870	2010	1600	2470	2399	2329	1400	1310	1800	2075	575	1309	1370	1750	2650	2350	2550	2650	2660	2850	2850	2850	1850	1720	2020	1810	1870	1650	1750	1570	1580	2300	2430	1950	2700	2650	250	1190	200	1000	1900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	36513	854	834	763	1029	1165	1159	891	694	786	1004	534	725	718	885	1208	1008	1102	1242	1187	1103	1323	1304	832	818	817	849	999	794	735	689	858	1016	1255	905	1253	1177	83	505	81	434	895					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	932	11	7	11	13	28	24	18	31	70	74	0	57	13	38	32	28	20	22	11	28	17	30	25	13	21	28	18	12	12	16	30	67	58	7	10	9	5	8	0	0	10					
6	Число погашенных бюллетеней	40620	1005	1168	826	1428	1206	1146	491	585	944	996	41	527	639	827	1410	1314	1428	1386	1462	1719	1510	1516	993	889	1182	933	853	844	1003	865	692	1217	1117	1038	1437	1464	162	677	119	566	995					
7	Число бюллетеней в переносных ящиках для голосования	932	11	7	11	13	28	24	18	31	70	74	0	57	13	38	32	28	20	22	11	28	17	30	25	13	21	28	18	12	12	16	30	67	58	7	10	9	5	8	0	0	10					
8	Число бюллетеней в стационарных ящиках для голосования	36509	854	834	763	1029	1165	1159	890	693	786	1003	534	725	718	885	1208	1008	1102	1242	1187	1103	1323	1304	832	818	816	849	999	794	735	689	858	1016	1255	905	1253	1177	83	505	81	434	895					
9	Число недействительных бюллетеней	501	7	10	7	14	13	10	46	10	9	7	7	7	13	6	24	37	29	16	7	22	12	18	14	3	8	11	9	10	16	11	9	19	19	5	9	3	4	6	0	6	8					
10	Число действительных бюллетеней	36940	858	831	767	1028	1180	1173	862	714	847	1070	527	775	718	917	1216	999	1093	1248	1191	1109	1328	1316	843	828	829	866	1008	796	731	694	879	1064	1294	907	1254	1183	84	507	81	428	897					
