Выборы Президента Российской Федерации																																																																								
																																																																								
Наименование Избирательной комиссии:    Меленковская																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993					
1	"Число избирателей, внесенных в список"	33715	2393	2407	2366	2169	2419	2391	548	331	376	307	406	250	162	337	174	162	1087	146	174	337	308	385	220	472	140	440	276	173	609	231	344	1052	282	275	125	242	80	807	227	118	216	527	689	757	372	220	389	92	720	118	280	176	291	185	236	78	252	661	420	147	139	336	200	113	353					
2	Число полученных избирательных бюллетеней	31238	2200	2200	2150	2000	2200	2200	500	310	350	280	400	230	164	300	180	160	1000	144	171	320	280	350	200	430	139	400	250	174	550	210	330	1000	260	260	118	220	80	800	205	119	200	500	620	700	340	211	350	88	630	121	260	177	270	187	210	80	230	605	380	150	138	310	202	115	330					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18122	977	1130	1060	889	1037	990	404	222	230	206	297	143	122	227	119	124	592	97	59	248	189	273	156	202	49	241	190	105	423	106	267	603	192	187	84	179	34	431	154	91	150	317	404	343	223	149	273	52	417	87	192	139	208	109	105	41	157	375	187	113	53	229	154	71	245					
5	"Число избирательных бюллетеней, выданных вне помещения"	3242	138	104	87	125	109	88	29	30	41	28	15	37	6	15	17	6	170	24	68	12	16	16	11	123	56	51	21	35	52	80	22	101	26	27	16	3	31	78	25	6	24	98	55	159	62	53	55	23	110	4	35	10	18	28	64	27	58	93	117	0	61	39	26	26	52					
6	Число погашенных избирательных бюллетеней	9874	1085	966	1003	986	1054	1122	67	58	79	46	88	50	36	58	44	30	238	23	44	60	75	61	33	105	34	108	39	34	75	24	41	296	42	46	18	38	15	291	26	22	26	85	161	198	55	9	22	13	103	30	33	28	44	50	41	12	15	137	76	37	24	42	22	18	33					
7	Число избирательных бюллетеней в переносных ящиках	3242	138	104	87	125	109	88	29	30	41	28	15	37	6	15	17	6	170	24	68	12	16	16	11	123	56	51	21	35	52	80	22	101	26	27	16	3	31	78	25	6	24	98	55	159	62	53	55	23	110	4	35	10	18	28	64	27	58	93	117	0	61	39	26	26	52					
8	Число бюллетеней в стационарных ящиках для голосования	18122	977	1130	1060	889	1037	990	404	222	230	206	297	143	122	227	119	124	592	97	59	248	189	273	156	202	49	241	190	105	423	106	267	603	192	187	84	179	34	431	154	91	150	317	404	343	223	149	273	52	417	87	192	139	208	109	105	41	157	375	187	113	53	229	154	71	245					
9	Число недействительных избирательных бюллетеней	205	11	11	15	12	14	11	3	9	1	4	2	0	3	1	1	0	5	3	0	6	2	1	0	4	0	2	7	0	2	2	1	5	1	0	0	2	0	0	0	5	2	7	1	5	2	0	4	0	7	0	3	0	9	2	0	1	0	6	2	3	0	2	0	0	3					
10	Число действительных избирательных бюллетеней	21159	1104	1223	1132	1002	1132	1067	430	243	270	230	310	180	125	241	135	130	757	118	127	254	203	288	167	321	105	290	204	140	473	184	288	699	217	214	100	180	65	509	179	92	172	408	458	497	283	202	324	75	520	91	224	149	217	135	169	67	215	462	302	110	114	266	180	97	294					
11	Число полученных открепительных  удостоверений	505	10	10	10	10	10	10	20	5	10	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	10	45	15	15	10	5	5	30	5	5	5	5	15	15	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5					
