Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Большечерниговская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК  1241	УИК  1242	УИК  1243	УИК  1244	УИК  1245	УИК  1246	УИК  1247	УИК  1248	УИК  1249	УИК  1250	УИК  1251	УИК  1252	УИК  1253	УИК  1254	УИК  1255	УИК  1256	УИК  1257	УИК  1258	УИК  1259	УИК  1260	УИК  1261	УИК  1262	УИК  1263	УИК  1264	УИК  1265	УИК  1266	УИК  1267	УИК  1268	УИК  1269	УИК  1270					
1	"Число избирателей, внесенных в список"	14612	1188	455	108	307	898	638	1355	1040	1079	194	123	516	156	300	1024	315	283	302	108	621	209	251	348	408	505	236	833	230	191	391					
2	Число полученных избирательных бюллетеней	15170	1200	550	105	290	910	630	1430	1060	1080	200	140	560	170	305	1070	320	305	300	110	620	250	255	350	400	500	240	930	270	200	420					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10376	833	447	99	240	342	373	806	607	627	160	115	388	150	271	697	284	274	251	84	491	180	229	274	343	328	192	633	190	167	301					
5	"Число избирательных бюллетеней, выданных вне помещения"	872	65	8	0	7	202	84	58	58	50	0	0	48	0	1	42	0	9	0	0	23	0	0	27	21	78	1	52	7	0	31					
6	Число погашенных избирательных бюллетеней	3922	302	95	6	43	366	173	566	395	403	40	25	124	20	33	331	36	22	49	26	106	70	26	49	36	94	47	245	73	33	88					
7	Число избирательных бюллетеней в переносных ящиках	872	65	8	0	7	202	84	58	58	50	0	0	48	0	1	42	0	9	0	0	23	0	0	27	21	78	1	52	7	0	31					
8	Число бюллетеней в стационарных ящиках для голосования	10375	833	447	99	240	342	373	806	607	627	160	115	388	150	271	697	284	274	251	84	490	180	229	274	343	328	192	633	190	167	301					
9	Число недействительных избирательных бюллетеней	140	7	4	1	1	14	2	12	11	15	0	5	9	1	1	0	0	1	3	1	4	6	5	5	6	6	2	5	5	4	4					
10	Число действительных избирательных бюллетеней	11107	891	451	98	246	530	455	852	654	662	160	110	427	149	271	739	284	282	248	83	509	174	224	296	358	400	191	680	192	163	328					
11	Число полученных открепительных  удостоверений	240	15	5	5	5	10	10	20	10	10	5	15	10	5	5	10	5	5	5	5	10	5	5	10	10	10	5	10	5	5	5					
12	Число выданных открепительных удостоверений	88	9	1	0	0	4	7	14	6	8	0	11	6	2	1	1	5	0	0	0	4	0	1	0	1	1	0	6	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	5	0	2	3	1	9	4	3	5	3	2	0	0	1	0	0	2	0	2	0	0	0	1	2	1	0	4	2	0	3					
14	Число неиспользованных открепительных удостоверений	152	6	4	5	5	6	3	6	4	2	5	4	4	3	4	9	0	5	5	5	6	5	4	10	9	9	5	4	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	241	23	8	5	12	7	17	20	40	21	5	5	8	5	4	8	1	6	2	1	7	0	1	1	8	6	5	7	1	4	3					
		2.14%	2.56%	1.76%	5.05%	4.86%	1.29%	3.72%	2.31%	6.02%	3.10%	3.12%	4.35%	1.83%	3.33%	1.47%	1.08%	0.35%	2.12%	0.80%	1.19%	1.36%	0.00%	0.44%	0.33%	2.20%	1.48%	2.59%	1.02%	0.51%	2.40%	0.90%					
19	. Малышкин Олег Александрович	317	40	24	0	18	14	10	32	16	11	4	1	19	2	5	26	10	6	6	6	16	5	1	5	18	4	2	8	3	3	2					
