Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Центральная N30																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1820	УИК №1821	УИК №1823					
1	"Число избирателей, внесенных в списки избирателей"	76570	2667	1794	1696	2448	2752	2855	3006	2274	2719	2258	1749	1372	2668	2023	2234	2392	2356	2425	2408	2622	1843	2354	2570	2369	2338	2635	2078	2298	1880	2009	1840	2226	2420	290	135	265	302					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	65250	2500	1500	1500	2000	2500	2500	2500	2000	2500	2000	1500	1000	2000	1500	2000	2000	2000	2000	2000	2500	1500	2000	2000	2000	2000	2500	1500	2000	1500	1500	1500	2000	2000	300	150	300	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	35409	2095	822	797	837	1569	1222	1299	1137	1427	1106	820	587	1144	936	1016	1040	981	1078	1124	1203	805	1028	1030	1041	1057	1193	924	1035	865	811	741	1035	1012	28	84	178	302					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2007	29	37	13	528	19	22	282	14	44	25	14	12	15	15	15	26	17	45	25	20	16	33	48	21	31	29	28	11	12	76	21	55	24	262	37	86	0					
6	Число погашенных избирательных бюллетеней	27834	376	641	690	635	912	1256	919	849	1029	869	666	401	841	549	969	934	1002	877	851	1277	679	939	922	938	912	1278	548	954	623	613	738	910	964	10	29	36	198					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2002	29	37	13	528	19	22	282	14	39	25	14	12	15	15	15	26	17	45	25	20	16	33	48	21	31	29	28	11	12	76	21	55	24	262	37	86	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35333	2095	819	796	836	1569	1218	1298	1134	1426	1090	817	586	1139	936	1014	1038	981	1075	1122	1194	803	1027	1027	1041	1057	1192	922	1035	863	809	741	1030	1012	27	84	178	302					
9	Число недействительных избирательных бюллетеней	415	30	18	7	15	17	9	13	12	21	11	8	3	9	14	8	10	15	11	19	14	9	5	10	15	10	10	8	10	10	19	9	10	17	1	3	2	3					
10	Число действительных избирательных бюллетеней	36920	2094	838	802	1349	1571	1231	1567	1136	1444	1104	823	595	1145	937	1021	1054	983	1109	1128	1200	810	1055	1065	1047	1078	1211	942	1036	865	866	753	1075	1019	288	118	262	299					
